6e9ea07d2aee012b15f622c44270943fc72b6afa2965edf885a5907accad8193,d04ef1edac847e6f5ef655f98e4d5f57addbb71d5b075517e9ef55b8e41fc933,abc60927bb4ddabedb4620c0d39796453931ec59c82f6a4bd30672bd02380932,1155c0d55ade81adc906eb90953125e39d33d88b580451be41a14a1e0c1683f8,3ee20c15fb15ceaabfc1a821461142b8aabc2343802c6b1f6db38b2e32c90f67,917138dda9fbf00ac5d05b81de67b74d7631981336f1093d4f5f0aa01570d0db,ec25b0497640b0d371c84db5870a9c4ed99a2726d6e663a74c456f3067c2368a,d90898321b7c198cc33010b7dcd2e4830738cffde195673ba48fafab113e0c65,009475c1cecb5911d790be9cb3f5fac2b5223816ecada297a6a062b1cecba1c8,fbada68e01ea90a57e45782f3cbc7892f6e31f0b1cf01a9e8f723dd2105d8a1e,6457094942763ba57d94ecee5aeac2b0556dacc0f552ff2294f48ed1335a5942
"122611","1","-194","1.65","1","sjr_talk_idle","1001","40","100","1","1"
"sjr_talk_wish_look","1","","0.2","3","","1002","","1","","122611"
"vo_minigame_1010_top_talk_1_001","1","","","21","","1003","0","0","","vo_minigame_1010"
"騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","1","0","0","11","1","1004","1","10","0","122611"
"","1","","","91","","1005","","","","0"
"sjr_talk_idle","1","","0.2","3","","1006","","1","","122611"
"122611","2","-194","1.65","1","sjr_talk_idle","2001","40","100","1","1"
"sjr_talk_mouth_hidden_shy","2","","0.2","3","","2002","","1","","122611"
"vo_minigame_1010_top_talk_1_002","2","","","21","","2003","0","0","","vo_minigame_1010"
"要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","2","0","0","11","1","2004","1","5","0","122611"
"","2","","","91","","2005","","","","0"
"sjr_talk_idle","2","","0.2","3","","2006","","1","","122611"
"122611","3","-194","1.65","1","sjr_talk_idle","3001","40","100","1","1"
"sjr_talk_stepback_surprise_worry","3","1","0.2","3","","3002","sjr_talk_stepback_worry","0","0","122611"
"vo_minigame_1010_top_talk_1_003","3","","","21","","3003","0","0","","vo_minigame_1010"
"那個人的速度\n好像很快……！\n我贏得了嗎……？","3","0","0","11","1","3004","1","7","0","122611"
"","3","","","91","","3005","","","","0"
"sjr_talk_idle","3","","0.2","3","","3006","","1","","122611"
"122611","4","-194","1.65","1","sjr_talk_idle","4001","40","100","1","1"
"sjr_talk_thinking_surprise","4","","0.2","3","","4002","","1","","122611"
"vo_minigame_1010_top_talk_1_004","4","","","21","","4003","0","0","","vo_minigame_1010"
"有很多奇特的\n路線呢。\n要選哪個呢……？","4","0","0","11","1","4004","1","5","0","122611"
"","4","","","91","","4005","","","","0"
"sjr_talk_idle","4","","0.2","3","","4006","","1","","122611"
"122611","5","-194","1.65","1","sjr_talk_idle","5001","40","100","1","1"
"sjr_talk_guts2_anger","5","1","0.2","3","","5002","sjr_talk_guts2_anger_loop","0","0","122611"
