da67cc34bd0527aa7d0f092188a8ec81347143bdd238464450d15fccb3d7d0eb,961a30391970ca45df636e75b4891297af87f529bbd5018405b1ec148b655c15,156a166bc940207810cd92180fb454b8dfae58e009d299fa32a46f276265c26d,41e1840dc634bf863726671664266e01a7dd78fd1145f8927ec668118c1ef798,6dcb4a14dbf4f32a876336722c0bef8efc2cc0e28fc101a5c7b33aa06073de7b,6e0edb1c584fa607a7e7fc59c8b35336d8485a96fba4124782ad5fde0b7cd4e9,32c0ca2eb929de3a957295cbaf726efb6789733fbf04b09609bc5a37700255d5,ecd94edf7deec1dc33e9aa49598e16fc277d5e5506bcd6635ac2a02097548b8c,bff85ed881003519e75f771c3f13b89d204fe83e5a54e4d7caeb7978b9450658,7ca5263f2b1f5db9fcc23343e8c177686aba2779555089e7ed30d5f36a17552b,a1a38e67a943b9116c9b3f7e3bc8841002456564e1258dc55b107c49b31a14a3,2b277df909778ac741b6654918ef62168f11fae19bfde644e45ef370df272020,dbe6feaec45f9d2dd4444576c425b6920e5dcba8ec5559f1f4043d6a11b4c179,28413f5b9113a4c83ca429b9f9ac115584ffcab5ff0004a15e2222e3e7f53cd1,8b4326d80cd476978ac815c2aadd30690383db025c46bfabb94bf13b4824d208,049a393bb7caa1c9e20f95ff202cf536723dde980d6162e415a0358abe5487dd,77eb35409c2cb33fbe5ba0b073453454e193e4e00132cee517729d2ed4a39aee,0da0a88569c51d92c7e6dfa32e8422636630f089d987e9abe14fef45c7f9d618
"10","0","0","0","0","0","1","500","0","0","1","91002","0","0","0","0","0","8"
"100","0","0","0","0","0","2","50","0","0","11","91002","0","0","0","0","0","8"
"200","0","0","0","0","0","3","30","0","0","101","91002","0","0","0","0","0","8"
"500","0","0","0","0","0","4","10","0","0","201","91002","0","0","0","0","0","8"
"1000","0","0","0","0","0","5","5","0","0","501","91002","0","0","0","0","0","8"
"2000","0","0","0","0","0","6","3","0","0","1001","91002","0","0","0","0","0","8"
"4000","0","0","0","0","0","7","2","0","0","2001","91002","0","0","0","0","0","8"
"7999","0","0","0","0","0","8","1","0","0","4001","91002","0","0","0","0","0","8"
"8000","0","0","0","0","0","9","30","0","0","8000","91002","0","0","0","0","0","8"
"8100","0","0","0","0","0","10","30","0","0","8100","91002","0","0","0","0","0","8"
"8200","0","0","0","0","0","11","30","0","0","8200","91002","0","0","0","0","0","8"
"8300","0","0","0","0","0","12","30","0","0","8300","91002","0","0","0","0","0","8"
"8400","0","0","0","0","0","13","30","0","0","8400","91002","0","0","0","0","0","8"
"8500","0","0","0","0","0","14","30","0","0","8500","91002","0","0","0","0","0","8"
"8600","0","0","0","0","0","15","30","0","0","8600","91002","0","0","0","0","0","8"
"8700","0","0","0","0","0","16","30","0","0","8700","91002","0","0","0","0","0","8"
"8800","0","0","0","0","0","17","30","0","0","8800","91002","0","0","0","0","0","8"
"8900","0","0","0","0","0","18","30","0","0","8900","91002","0","0","0","0","0","8"
"9000","0","0","0","0","0","19","30","0","0","9000","91002","0","0","0","0","0","8"
"9100","0","0","0","0","0","20","30","0","0","9100","91002","0","0","0","0","0","8"
"9200","0","0","0","0","0","21","30","0","0","9200","91002","0","0","0","0","0","8"
"9300","0","0","0","0","0","22","30","0","0","9300","91002","0","0","0","0","0","8"
"9400","0","0","0","0","0","23","30","0","0","9400","91002","0","0","0","0","0","8"
"9500","0","0","0","0","0","24","30","0","0","9500","91002","0","0","0","0","0","8"
"9600","0","0","0","0","0","25","30","0","0","9600","91002","0","0","0","0","0","8"
"9700","0","0","0","0","0","26","30","0","0","9700","91002","0","0","0","0","0","8"
"9800","0","0","0","0","0","27","30","0","0","9800","91002","0","0","0","0","0","8"
"9900","0","0","0","0","0","28","30","0","0","9900","91002","0","0","0","0","0","8"
"10000","0","0","0","0","0","29","30","0","0","10000","91002","0","0","0","0","0","8"
"10100","0","0","0","0","0","30","30","0","0","10100","91002","0","0","0","0","0","8"
"10200","0","0","0","0","0","31","30","0","0","10200","91002","0","0","0","0","0","8"
"10300","0","0","0","0","0","32","30","0","0","10300","91002","0","0","0","0","0","8"
"10400","0","0","0","0","0","33","30","0","0","10400","91002","0","0","0","0","0","8"
"10500","0","0","0","0","0","34","30","0","0","10500","91002","0","0","0","0","0","8"
"10600","0","0","0","0","0","35","30","0","0","10600","91002","0","0","0","0","0","8"
"10700","0","0","0","0","0","36","30","0","0","10700","91002","0","0","0","0","0","8"
"10800","0","0","0","0","0","37","30","0","0","10800","91002","0","0","0","0","0","8"
"10900","0","0","0","0","0","38","30","0","0","10900","91002","0","0","0","0","0","8"
