da67cc34bd0527aa7d0f092188a8ec81347143bdd238464450d15fccb3d7d0eb,ecd94edf7deec1dc33e9aa49598e16fc277d5e5506bcd6635ac2a02097548b8c,bff85ed881003519e75f771c3f13b89d204fe83e5a54e4d7caeb7978b9450658,8b4326d80cd476978ac815c2aadd30690383db025c46bfabb94bf13b4824d208,32c0ca2eb929de3a957295cbaf726efb6789733fbf04b09609bc5a37700255d5,2b277df909778ac741b6654918ef62168f11fae19bfde644e45ef370df272020,049a393bb7caa1c9e20f95ff202cf536723dde980d6162e415a0358abe5487dd,6e0edb1c584fa607a7e7fc59c8b35336d8485a96fba4124782ad5fde0b7cd4e9,6dcb4a14dbf4f32a876336722c0bef8efc2cc0e28fc101a5c7b33aa06073de7b,41e1840dc634bf863726671664266e01a7dd78fd1145f8927ec668118c1ef798,0da0a88569c51d92c7e6dfa32e8422636630f089d987e9abe14fef45c7f9d618,7ca5263f2b1f5db9fcc23343e8c177686aba2779555089e7ed30d5f36a17552b,77eb35409c2cb33fbe5ba0b073453454e193e4e00132cee517729d2ed4a39aee,dbe6feaec45f9d2dd4444576c425b6920e5dcba8ec5559f1f4043d6a11b4c179,156a166bc940207810cd92180fb454b8dfae58e009d299fa32a46f276265c26d,961a30391970ca45df636e75b4891297af87f529bbd5018405b1ec148b655c15,28413f5b9113a4c83ca429b9f9ac115584ffcab5ff0004a15e2222e3e7f53cd1,a1a38e67a943b9116c9b3f7e3bc8841002456564e1258dc55b107c49b31a14a3
"10","500","0","0","1","91002","0","0","0","0","8","0","0","0","0","0","0","1"
"100","50","0","0","2","91002","0","0","0","0","8","0","0","0","0","0","0","11"
"200","30","0","0","3","91002","0","0","0","0","8","0","0","0","0","0","0","101"
"500","10","0","0","4","91002","0","0","0","0","8","0","0","0","0","0","0","201"
"1000","5","0","0","5","91002","0","0","0","0","8","0","0","0","0","0","0","501"
"2000","3","0","0","6","91002","0","0","0","0","8","0","0","0","0","0","0","1001"
"4000","2","0","0","7","91002","0","0","0","0","8","0","0","0","0","0","0","2001"
"7999","1","0","0","8","91002","0","0","0","0","8","0","0","0","0","0","0","4001"
"8000","30","0","0","9","91002","0","0","0","0","8","0","0","0","0","0","0","8000"
"8100","30","0","0","10","91002","0","0","0","0","8","0","0","0","0","0","0","8100"
"8200","30","0","0","11","91002","0","0","0","0","8","0","0","0","0","0","0","8200"
"8300","30","0","0","12","91002","0","0","0","0","8","0","0","0","0","0","0","8300"
"8400","30","0","0","13","91002","0","0","0","0","8","0","0","0","0","0","0","8400"
"8500","30","0","0","14","91002","0","0","0","0","8","0","0","0","0","0","0","8500"
"8600","30","0","0","15","91002","0","0","0","0","8","0","0","0","0","0","0","8600"
"8700","30","0","0","16","91002","0","0","0","0","8","0","0","0","0","0","0","8700"
"8800","30","0","0","17","91002","0","0","0","0","8","0","0","0","0","0","0","8800"
"8900","30","0","0","18","91002","0","0","0","0","8","0","0","0","0","0","0","8900"
"9000","30","0","0","19","91002","0","0","0","0","8","0","0","0","0","0","0","9000"
"9100","30","0","0","20","91002","0","0","0","0","8","0","0","0","0","0","0","9100"
"9200","30","0","0","21","91002","0","0","0","0","8","0","0","0","0","0","0","9200"
"9300","30","0","0","22","91002","0","0","0","0","8","0","0","0","0","0","0","9300"
"9400","30","0","0","23","91002","0","0","0","0","8","0","0","0","0","0","0","9400"
"9500","30","0","0","24","91002","0","0","0","0","8","0","0","0","0","0","0","9500"
"9600","30","0","0","25","91002","0","0","0","0","8","0","0","0","0","0","0","9600"
"9700","30","0","0","26","91002","0","0","0","0","8","0","0","0","0","0","0","9700"
"9800","30","0","0","27","91002","0","0","0","0","8","0","0","0","0","0","0","9800"
"9900","30","0","0","28","91002","0","0","0","0","8","0","0","0","0","0","0","9900"
"10000","30","0","0","29","91002","0","0","0","0","8","0","0","0","0","0","0","10000"
"10100","30","0","0","30","91002","0","0","0","0","8","0","0","0","0","0","0","10100"
"10200","30","0","0","31","91002","0","0","0","0","8","0","0","0","0","0","0","10200"
