ff74cf796c8c5413e9f5a8e88cda92f00438c1d8fafddc7c3972da85bf84c790,e22699ab71b70a3d0998ca24d4e9244d639a2bbe516c9cb4dbba41418246a15b,610e69d022231888299878494b83e8bf59b6cb8f81dc51201fea4523825c6bd0,dab9ff21bbc30bfe23cff72e750515c4c66aac9e643307527a616e9952630f89,505c9b48c3caafecdad6ed5c6b6a444225b49e9051eab88763b1a1c4ec1d7fa1,523661ef7b674ad149ec31563a2fd285bfbb53f6ceaf92ee0799a0acb1b59e42,b7de1ebbc978fcb7411825ed05d144c96936c6159c24147c92300ef7d9fa81c6,e877c7905107bf28261ea1880838755261d3d59b9b181725d9007385ad278ec8,5ce83993e84c42f68d3916d7e5779bdf9e1c6ea13051910c719ffb412bb5f16b,571e5160be958f7835b99c6a6501f706d497c5c309cece2f046daf2bcc6d324d,12e8a36f927336177343c12578dd0fc5569e0bca156b451d6f6a4c43c522f1db,d2a47dc454a4386aa06919f4722a82ce054a3f28f234c7a6dab3d7bb990361d8,5b69494615b3d65458ee99aa021f0c47b6cea9a7f2f9e41d00b4906de5a98441,ea6fb6d13d07b3a6468089fa0db53a86e665263e7c4e7cd57f4ebeb9735c2841,1433b350f28d263da974b058649806a6e58d0dadc4e7a19c222e895dc9630300,14a0f5e967b4c5fe3e7644569e62a243ece07d44ab5869c4f7b9e2e96dd73fd4,5e19af40d24034d69f1476ce57476aa9e07fe3ffdb3f1a946fe50198a714f52b,a9562b56e47115107f1e6878dc25a01767d02500ede754753faf3e59d06a0ae0
"0","0","0","0","0","0","1","0","0","94002","0","分數累積獲得 20000 分","5000","0","0","0","12","20000"
"0","0","0","0","0","0","2","0","0","94002","0","分數累積獲得 40000 分","10000","0","0","0","12","40000"
"0","0","0","0","0","0","3","0","0","94002","0","分數累積獲得 60000 分","15000","0","0","0","12","60000"
"0","0","0","0","0","0","4","0","0","94002","0","分數累積獲得 80000 分","20000","0","0","0","12","80000"
"0","2","0","0","0","0","5","23001","0","91002","5","分數累積獲得 100000 分","50","0","0","0","8","100000"
"0","0","0","0","0","0","6","0","0","94002","0","分數累積獲得 120000 分","25000","0","0","0","12","120000"
"0","0","0","0","0","0","7","0","0","94002","0","分數累積獲得 140000 分","30000","0","0","0","12","140000"
"0","0","0","0","0","0","8","0","0","94002","0","分數累積獲得 160000 分","35000","0","0","0","12","160000"
"0","0","0","0","0","0","9","0","0","94002","0","分數累積獲得 180000 分","40000","0","0","0","12","180000"
"0","2","0","0","0","0","10","23001","0","91002","5","分數累積獲得 200000 分","50","0","0","0","8","200000"
"0","0","0","0","0","0","11","0","0","94002","0","分數累積獲得 220000 分","55000","0","0","0","12","220000"
"0","0","0","0","0","0","12","0","0","94002","0","分數累積獲得 240000 分","35000","0","0","0","12","240000"
"0","0","0","0","0","0","13","0","0","94002","0","分數累積獲得 260000 分","40000","0","0","0","12","260000"
"0","0","0","0","0","0","14","0","0","94002","0","分數累積獲得 280000 分","45000","0","0","0","12","280000"
"0","2","0","0","0","0","15","23001","0","91002","10","分數累積獲得 300000 分","150","0","0","0","8","300000"
