100be0a5619a262e17c7b234fe71967f26a29ab2c649c58e17024f9ab5cf6069,6f509032393aa10817d9149fc2f038f919db4eb0a145919f583b92aec70710c0,a8ce0de4d72cc6bfd5ab543cd54093a6e0c5b51ea97204aebc9d42e7712eaee7,8870758d27213fd4f3e4753a292d146eec040cade81ca5d30153c96f8a991c6b,f85aa26a4f492a4f4e0d3bbd2317459726ff06419106e84e11b388b949330249,463a52ade5f6a56f5e10c8e9eb2f6c45d0de9eb4502bee1694001af8e043a874,1397fefd9912e3568a220114a033042cbd4050e228e4f14d4b1fac8c60be5f00,52e31f9d914c1f187a562859dceafd17bbdb6cd5bdc47a845b5c64aff7506e18,fb7a45b5e9fbf1281e853dbccd3254ac375b985a3569ef15e5ddac1d4c1d14d3,ed6d2c81b44abd30d59ecafe6a0f1b6dca418117c692e8e37120e28484c25eb7,d9f1757b74d77ccdef79f0c0076722fe91a7e6757f178f0a6ba8cc7a80c3f5bc,520715a808798546d695f72ee5a5b03b562d873e18e174c33995f02d43a17cf6
"20041106","20","年輕與低燒","0","10074","優衣的病歷　其一","1007401","2022/01/03 12:00:00","100201","91002","8","0"
"20041112","20","感受內心的激烈鼓動","1007401","10074","優衣的病歷　其二","1007402","2022/01/03 12:00:00","100201","91002","8","0"
"20041115","30","心煩意亂的病名是","1007402","10074","優衣的病歷　其三","1007403","2022/01/05 05:00:00","100201","91002","8","0"
"20041106","20","預料之外的訪客","0","10074","優妮的病歷　其一","1007404","2022/01/03 12:00:00","111001","91002","8","0"
"20041112","20","服藥的時間","1007404","10074","優妮的病歷　其二","1007405","2022/01/03 12:00:00","111001","91002","8","0"
"20041115","30","致親愛的你","1007405","10074","優妮的病歷　其三","1007406","2022/01/06 05:00:00","111001","91002","8","0"
"20041108","20","奇妙的外來患者","0","10074","鈴莓的病歷　其一","1007407","2022/01/03 12:00:00","102501","91002","8","0"
"20041114","20","可怕的病症","1007407","10074","鈴莓的病歷　其二","1007408","2022/01/03 12:00:00","102501","91002","8","0"
"20041115","30","現代醫學的極限","1007408","10074","鈴莓的病歷　其三","1007409","2022/01/07 05:00:00","102501","91002","8","0"
"20041108","20","統御黑夜之人的苦難","0","10074","伊莉亞的病歷　其一","1007410","2022/01/03 12:00:00","104401","91002","8","0"
"20041114","20","美麗計畫","1007410","10074","伊莉亞的病歷　其二","1007411","2022/01/03 12:00:00","104401","91002","8","0"
"20041115","30","華麗課程","1007411","10074","伊莉亞的病歷　其三","1007412","2022/01/08 05:00:00","104401","91002","8","0"
"20041110","20","不可視之敵","0","10074","杏奈的病歷　其一","1007413","2022/01/03 12:00:00","100901","91002","8","0"
"0","20","被封印的魔法","1007413","10074","杏奈的病歷　其二","1007414","2022/01/03 12:00:00","100901","91002","8","2004101"
"0","30","獨眼惡魔的特別治療","1007414","10074","杏奈的病歷　其三","1007415","2022/01/09 05:00:00","100901","91002","8","2004101"
"20041110","20","骷髏驚喜","0","10074","忍的病歷　其一","1007416","2022/01/03 12:00:00","103101","91002","8","0"
"0","30","向迷惘少女伸出援手","1007416","10074","忍的病歷　其二","1007417","2022/01/05 05:00:00","103101","91002","8","2004101"
