38e5c9282e93b848c5fefd7af6907e8970d0fca3e5f3c21dd155778dfebf4bad,5b57770fb855ee7363e725da196735e7bd5d0975e207ef907fd434b4b0d518ac,b1535b6e022a52f2f65d0d254d707b5e8949d1398f9b115dc558e5768b1c459a,0ce22a561207e83913ea347c8cf535896606c4990c3fcee41e355f174b9d9145,028370c4e5ba755ef1193845f676742d61ef0e34b1a739c4e7f566428a0d38ac,f6671f58eb7c4fa9e488d69d8bfa07ac6b0c783bce07ce95a5e5c60467783f74,fe65276d4b1bde3f6387439c10a4337add49e9673900b6683de42227d723da41,31b9103377972cd2bea3760376a4753f22571450c6699ca1b63ceca47bf8a982,03345c86181a19b4c9075af9344b3b4c31fbb5d875f0b7f53e7d32c32e879115,3a184a0ae6797a77f53d1578bac99343193c6970e39f38ee65273cb107e196d3,0c9f31f816c03f16339693b2ff33b0089185faea1cdfa41fb84c12544c58cff7,f5cf7ebec4d191a55d48372645e090abfe2008db5f51c8268f026e6463fc4059,73e7927f536bf179ea000ff234b2cf28ae3c3536e72ef410e550b21c64d6d1ea,1b51c59b857a27dafb42600efc85923477cbd764653779a61b2a4b29cdd03989,74b41dd4feb0947bb9e656f975c2f051bcb1427f946ccc7675176e04a1fdcb91,805faa30355a3895489a0c3e3f6f1f2080c06b60a8e7a6111533013d39559af2,54ac5dd29d50be0c91d9ba24da3b2a9d45aba00c9364a5e53ea12079e2c7da37,f7b8b60f82e9866a9e9b1c3b3fdb9761d4fc288afdec336af046f717bf5d8376,6ade9abfd1fef1ea72d64eca712dce2a22eb93c876e93ca02129b51f2623997a,59e456201a4b26896c91be7adbf886b0bb359d916310b1b7291eeee870ced8d9,97276de35b3f7f238b554ce7ecdb6def4efb948b9f4e9b90b8c9b16784bc7194,7e57c8f19fbf96d9f576035328db631954dd928c8f78a478807befe93a51ce0d,dd951270d672ab7ef3dbc69d1ddd0ff636da97e64a6b7bc755be73631465e0ea,f070a35e14586018e3a6e65207a45ea9f6e35022f55df00fd1febfc43179b9cc,41456bbc3ecbb3de1d5f235137c632980afb8a9b718391fbfcf3b05cdcbfa5ad,2df1adbcdad80dc53bbe5ad220694339b572855ef01b2896f12fbad569e4d3ba,50374ccf8c9806667838b3266caa7466e28a77460d1aca85944b4325c6b78332,02ea39a59498bc75bf1000764e6d2d25ad0a706f85b3a5678f2fc7d7d9b3fdc9,66682d52c7b1c70076773f140916fea9908328af1bc20125e7607113110e253d,122c5cb5b8bbd121a6a5c4048295c5e4b801c5bd0eede15fed9b2040efe4eabd,b924b1e784293f1349b02c621eac3ea7bcc371279c3c00131d4815d8df2a351e,cb32d9e16ff5136899b7a8169358485b375a4a421d03e5c7dadf1456fa9bd861,cd3d3eae25db836ed8ea7e45f167db6c63315e1acaeae497e40ae50f84727d6f,db929c579fb8a5812b2817466126060d44dd82e095ef92d44f3a80825917f0f5,c27cb048fb1c77e4f1fb8bf3931e0eeb18ef7cc8855281a311eb4630e9696472,713f3c1480a1f248dd2c9801cc38ba42e299dd29a8947f9355f64098820e36c4,fd566fcacb6289234ffa7ce476bf0634ae4ae13773ef1c5697b17d4a9c2c2a33,2b33172769c4710e8ca7daf84b26a7c720c5edc7bb9d4b072bd1e1a8bad7a8ad,26b457651ab826f8a06e35be825f9629056e0d5da2cb2d793f4fea975eddaf30,21e1e1e7a799d6e472185e7a1c882176f18263ca73fd0534c2edb83627ff8ee3,4ac0870afb4d7e065808eb8991ea52927389e77e3f96bedc657972cee859100f,6f73dc4248872ea377d2e679aa1a89cb139dbef019006ea2f2be5bc68825dc5e
"0","0","1150","71","0","0","71","0","0","600101","0","0","710000101","71","0","0","日和的闇影","0","0","0","1","200000001","71","0","0","11536","0","31","10","1","21","0","0","10","1","0","51","0","0","0","1","30"
"0","0","0","71","0","0","71","0","0","203200","0","792","710000102","71","0","0","搗蛋惡魔","0","0","0","1","200000001","71","0","0","13553","0","35","10","1","52","0","0","10","1","0","51","0","0","0","1","30"
"0","0","0","71","0","0","71","0","0","202500","0","600","710000103","71","0","0","洞窟蝙蝠","0","0","0","1","200000001","71","0","0","11969","0","35","10","1","48","0","0","10","1","0","51","0","0","0","1","30"
"0","0","1047","71","0","0","71","0","0","201200","0","0","710000104","71","0","0","魔像","0","0","0","1","200000001","71","0","0","12917","0","300","10","1","57","0","0","10","1","0","51","0","0","0","1","30"
"0","0","729","71","0","0","71","0","0","201100","0","0","710000105","71","0","0","狗頭人","0","0","0","1","200000001","71","0","0","10383","0","40","10","1","35","0","0","10","1","0","51","0","0","0","1","30"
"0","0","1150","72","0","0","72","0","0","600301","0","0","710000201","72","0","0","怜的闇影","0","0","0","1","200000001","72","0","0","13844","0","32","10","1","20","0","0","10","1","0","52","0","0","0","1","30"
"0","0","897","72","0","0","72","0","0","203700","0","0","710000202","72","0","0","堅果射手","0","0","0","1","200000001","72","0","0","16614","0","40","10","1","31","0","0","10","1","0","52","0","0","0","1","30"
"0","0","673","72","0","0","72","0","0","203500","0","0","710000203","72","0","0","鑽頭鼴鼠","0","0","0","1","200000001","72","0","0","17787","0","48","10","1","35","0","0","10","1","0","52","0","0","0","1","30"
"0","0","1310","72","0","0","72","0","0","203800","0","0","710000204","72","0","0","獸人","0","0","0","1","200000001","72","0","0","25070","0","48","10","1","35","0","0","10","1","0","52","0","0","0","1","30"
"0","0","0","72","0","0","72","0","0","202600","0","973","710000205","72","0","0","岩窟蝸牛","0","0","0","1","200000001","72","0","0","14842","0","31","10","1","44","0","0","10","1","0","52","0","0","0","1","30"
"0","0","1169","73","0","0","73","0","0","602101","0","0","710000301","73","0","0","胡桃的闇影","0","0","0","1","200000001","73","0","0","14709","0","34","10","1","21","0","0","10","1","0","53","0","0","0","1","30"
"0","0","853","73","0","0","73","0","0","203300","0","0","710000302","73","0","0","哥布林護衛","0","0","0","1","200000001","73","0","0","8081","0","300","10","1","40","0","0","10","1","0","53","0","0","0","1","30"
"0","0","1193","73","0","0","73","0","0","202901","0","0","710000303","73","0","0","岩石蜥蜴","0","0","0","1","200000001","73","0","0","20072","0","53","10","1","35","0","0","10","1","0","53","0","0","0","1","30"
"0","0","1125","73","0","0","73","0","0","202700","0","0","710000304","73","0","0","寄居蟹騎士","0","0","0","1","200000001","73","0","0","16153","0","66","10","1","53","0","0","10","1","0","53","0","0","0","1","30"
"0","0","0","73","0","0","73","0","0","203100","0","856","710000305","73","0","0","幼年巨蜥","0","0","0","1","200000001","73","0","0","14384","0","36","10","1","49","0","0","10","1","0","53","0","0","0","1","30"
"0","0","1169","74","0","0","74","0","0","600401","0","0","710000401","74","0","0","禊的闇影","0","0","0","1","200000001","74","0","0","14709","0","33","10","1","22","0","0","10","1","0","54","0","0","0","1","30"
"0","0","1246","74","0","0","74","0","0","201200","0","0","710000402","74","0","0","魔像","0","0","0","1","200000001","74","0","0","18818","0","300","10","1","58","0","0","10","1","0","54","0","0","0","1","30"
"0","0","816","74","0","0","74","0","0","200100","0","0","710000403","74","0","0","擲岩猴","0","0","0","1","200000001","74","0","0","12818","0","40","10","1","36","0","0","10","1","0","54","0","0","0","1","30"
