cdbe0cf0916768f4d0fe91503132b191d31aedc424ecf5b7d4681337e26c9ad4,61daf009b241e4840e0dc1b51fefe5845b8d3d48c9fb9bb3ab89e9387259aef5,c5598c154a3bea927fac82ea1889e90f9814c2af51de0f5cf2cee983d3896afd,ff2b46f91f0e2de7c010d52a390a62519631e9bf901d9ad141f3dc2b1786055a,fb53d732141b0e92ae678edbc0762af41e60d42e52de1e48507b3d25b8f27b48,f0265a314ac4b0aea992018f127769717caa538ce36f874f34b5c53577e6c4bf,c9bb85b760545991f1e26773b948b626d7b18c7fdacb90da049d2778faff8bd4,8f95b1016bb95a9695ce5693be31e4cc3031f0cad7a22b1179a63ecacb99f0b1,7695058dba8d556bc2c1365ef62b18bfac39385d00ea9052adf56044b118d91d,9bf93e7828f16ed0d907fede970501c79fea0edd62e199304a754831615a1103,bd3bf8fde7b797e183bfe253803467fb49da0bdbf86271efc0fae72cb59361be,fb257bc18c06915fb947b2b8f66e056f583c697488f36d57d56608ae895c98e8,ffcb31d44a3cf1063c3599d2f8a86870fffe61a3b7a0bfca638620880c931741,b7659f45cd1b42d9793e65825214a3c4f59372471802ca235dc4fe7e4d635d17,509de97aa77e743e991f5cde715133dd11f8834b4d5c664061c9b0adb9ee19e0,0beb312b377f898a9ca6434164b269addb98060d96dfe628d2e560bf76958c2a
"94002","0","1","0","0","0","0","12","1","20000","0","0","收集 15 種布丁","0","15","0"
"94002","0","1","0","0","0","0","12","2","30000","0","0","收集 30 種布丁","0","30","0"
"91002","0","1","0","0","0","0","8","3","50","0","0","收集 40 種布丁","0","40","0"
"94002","0","1","0","0","0","0","12","4","50000","0","0","收集 50 種布丁","0","50","0"
"91002","0","1","0","0","0","0","8","5","50","0","0","收集 55 種布丁","0","55","0"
"94002","0","1","0","0","0","0","12","6","100000","0","0","收集 60 種布丁","0","60","0"
"11001164","0","1","0","0","91002","8","15","7","1","0","0","收集所有 66 種布丁","100","66","0"
"94002","0","2","0","0","0","0","12","8","50000","0","0","完成 25％ 布丁筆記本","0","25","0"
"91002","0","2","0","0","0","0","8","9","50","0","0","完成 50％ 布丁筆記本","0","50","0"
"94002","0","2","0","0","0","0","12","10","100000","0","0","完成 75％ 布丁筆記本","0","75","0"
"9000100","0","2","100","0","11001165","15","16","11","1","91002","8","完成 100％ 布丁筆記本","1","100","0"
