33f2e67bcb3130a37d8a138c037af155b9df00cae5ae4db471f48f408406841b,c305dab32ac7f65c7d14dfcd660a38660f31674fcae9b30174da63238d743712,b51570773dc4d6fe2483a84eda0c4a11a1d2847c27c3609ad091869e4431f499,af2dd5743bf94f035d198088180a5cef7cb1ae92373d5a8cb3e08ce51f7429dc,774f5f07233bcbb3b5cc3865836012cdb9fa891f8e882200e2762404aa0e5f53,e3c292b498aaffab170ba2779e92558b8c36639b2246d7e5ea2088592b68a689,b32bc39ddcdd77c6175e22d7c5c5cb9cfc8b0be687c696b3ac26fa01e5243282,b04d80d1c42d37885a8e6fb054572fb44f137feecb271030fc620b9c23351faf,8bc33db4e03960a8c69c4cd6a9afe1650aabe63c679726a88dafc75a6b177e49,823519203358d35c751f1421fdfdde496c647ffb746274cdcb293eeb733f50bc,3b99ec465443f907e867fc199ef9bc705ddca1e2bffe218ec8a20b8b930c412f,7b5568590b731ffe6366422739aeebc87fd941e4ad7b02c6ef8f5301f5c48c8a,a8940a973ef37a2f7ce0f360b98a9b26d6bc9ec37801a48cd39ea415c20200b5,d57d2070295cfa220d158c317c669d25d7eebd32192dc823af8fa39f7fee4391
"1","1","105","160","0","1.5","110","101","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","1","0.029","122601","1","0"
"2","0","111","120","0","2.5","105","102","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","3","0.014","122401","2","1"
"3","0","105","350","1","2.5","110","103","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","2","0.017","122501","3","0"
"4","0","105","130","0","1.5","110","104","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","3","0.016","107501","4","1"
"5","1","105","160","0","2.5","110","105","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","1","0.014","107601","5","0"
"6","0","103","255","1","3.5","120","106","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","2","0.029","107801","6","0"
"7","1","103","160","0","3.5","120","107","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","1","0.013","110601","7","0"
"8","0","103","350","1","2.5","110","108","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","2","0.014","110401","8","0"
"9","0","100","130","0","1.5","105","109","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","3","0.012","110501","9","1"
"10","1","103","200","0","2.5","105","110","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","1","0.014","115701","10","0"
"11","0","103","350","1","2.5","105","111","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","2","0.071","113601","11","0"
"12","0","103","130","0","1.5","120","112","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","3","0.014","107901","12","1"
