103e61e69ad48ef0d25502caf1f7e6e9d727a77582d46fb5ea68cda39beb3fa0,b9cfd7e7831d1f08030588de330e4d25eec26fab563b85a218ca1186f6c50d9d,ca20f31e3570bab63462494571226b08b88bbad7931e25fce184eaa2adb4f607,caa62c1b37b2e68fc874a27105f560e7e8134629a401d2f66f5ada60f7c38e80,cce6af57bb0ef908419dee2c6d2b0d17f811cffb4629ea071ce6dc11d7e25474,002e275fc6ef4c76430a3613405904950e513bc7a80298da889952f739081f66,3d5c4e3dc1f952c2b1b5b76d208ddcae5a1fb2fef1824fd28b987911041274ae,3825505d73e582faacda01d1ded742e46e566b1a91d412f2315e5aa81b36eff7,0f9fb7fc0d50e33ef3a85bd0d6bdfe8cb37499bae757fb4246e0742ab84bf5f2,3634fd2b6a2e06948985cfada118789ca01619e0b3f336c470fb2172c0614e26,b7c99e9163f3329198e94371b74db38abc7300c853527115db0e47969570644c,e74c719bb0d1a51691948245cc2ceb22a27805f78131f37e8fe26ce07a35b1f4,3745a870a8e86e37c3a6ca44d4c60d251cf5c4295a5a066fbf730492e4bae35d,8577257b57b222c5314505109a785d2214c74b4e6dc86097bc64290d856cd57a,98b4915c48a31ce5b4b2c77810fc84b6a191c6a9c00d35f5e30bd425d0f5acbd,de54b3c3d98133dbb1db740a72ac687d37f115f7546dad8ecb0d917f26959806
"8","2","0","破曉之星","A","日和","最愛幫助別人！　正向思考的格鬥少女","27","44","155","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","100101","助人、打氣加油","16","獸人族","東山奈央"
"4","2","0","破曉之星","O","優衣","擅長支援戰鬥，心地善良的少女","5","47","158","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","100201","料理、觀察人類","17","人族","種田梨沙"
"1","2","0","破曉之星","B","怜","冷酷又率直的劍士","12","46","163","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","100301","讀書、騎馬、茶","18","魔族","早見沙織"
"8","5","0","小小甜心","O","禊","愛好冒險的搗蛋鬼","10","27","128","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","100401","惡作劇、探險","9","人族","諸星すみれ"
"11","8","0","王宮騎士團","O","茉莉","仰慕英雄的見習騎士少女","25","40","146","？？？","100501","英雄扮演遊戲","12","獸人族","下田麻美"
"11","7","0","惡魔偽王國軍","O","茜里","愛撒嬌又受大家喜歡","22","42","150","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","100601","薩克斯風","13","魔族","浅倉杏美"
"1","7","0","惡魔偽王國軍","B","宮子","最愛布丁的幽靈少女","23","32","130","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","100701","吃布丁","14","魔族","雨宮天"
"10","15","0","純白之翼 蘭德索爾分部","AB","雪","我比任何人都還要美麗","10","40","150","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","100801","欣賞鏡中的自己","14","精靈族","大空直美"
"7","13","0","暮光流星群","A","杏奈","相信前世的中二病患「疾風之冥姬」","5","45","159","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","100901","寫小說","17","魔族","髙野麻美"
"9","10","0","哞哞自衛隊","O","真步","真步真步王國的公主","22","42","155","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","101001","幻想、蒐集玩偶","16","獸人族","内田真礼"
