aed408370ee186d06af45a7ba5196bae0055b02081e93ac2de6450ffab758031,4cabce08ed28dce4a5021b97496649bd848779cca7d4a3586a7d60c572e5eb16,34d0e0b2cced56862cca55b911c305b3cb04d3436421f2be18a8936126277815,713d9a209ca3f3d6082b7908436aceb90670aa4dcc33c7d84a714aa175bfc04f,cfde0cb16c520325c75c9a4dcab3cea2a5f88efcf401f26259e58c1f3b7360b7,540a9c928a2ca315d148ae046ce56c989ccf17f5422fa7deac98d66706d25155,b9ef8ccc3050bea6d66544225c63b7f40d05bc62070f10473963c3e6e0af1b6a,26185802740ad7ba83d306819a327de360f53430601e7c7a27658f66c507009f,a1a4cf2abe28b1b74e1db7b3829ea3652a7b843d5ec750e555ce95842d9b77c4,f510fce4e182f843acd5c463a43d463bb8e52156f463fc7ed56bf475c8120996,b37eb82d66a9dbc32c1a0612f2af187d24b346341343cc4b6acdabdc7ae340e1,9df51822740dc8c44ced24622c42405ec35fd1ad68f5b86e562d40d1f3cbe739,bed6fc5b09a2af2b3316d2ea56f5252c3f453e33790bc21c18eafad297a23f8d,a547593742a2f2bcd305742c0cc4aca298f6635066f931398a0a5db29238d82c,deaa5ec396772910fe275103d2acb5b3c2696f13d2bbd46271fbb1909e4833bd,74df77c569054baaf41726fcccac5e8d5e9a7e399c2b7c653f0a3029014c0df2
"2018/08/28 16:00:00","0","0","0","0","1","201","10001","0","0","0","bgm_M32","bgm_M32","2018/09/17 15:59:59","10001101","塔爾格姆地區"
"2018/08/28 16:00:00","0","0","0","0","1","201","10001","0","0","0","bgm_M32","bgm_M32","2018/09/17 15:59:59","10001201","塔爾格姆地區"
"2018/10/03 16:00:00","0","0","0","0","1","201","10002","0","0","0","bgm_M98","bgm_M98_2","2018/10/24 15:59:59","10002101","馬席納地區"
"2018/10/03 16:00:00","0","0","0","0","1","201","10002","0","0","0","bgm_M98","bgm_M98_2","2018/10/24 15:59:59","10002201","馬席納地區"
"2018/11/01 15:59:59","0","0","0","0","1","201","10003","0","0","0","bgm_M106","bgm_M106","2018/11/20 15:59:59","10003101","蘭德索爾郊外"
"2018/11/01 15:59:59","0","0","0","0","1","201","10003","0","0","0","bgm_M106","bgm_M106","2018/11/20 15:59:59","10003201","蘭德索爾郊外"
"2018/12/01 16:00:00","0","0","0","0","1","201","10004","0","0","0","bgm_M112","bgm_M112","2018/12/20 15:59:59","10004101","塔帕斯海灘 周邊"
"2018/12/01 16:00:00","0","0","0","0","1","201","10004","0","0","0","bgm_M112","bgm_M112","2018/12/20 15:59:59","10004201","塔帕斯海灘 周邊"
"2019/01/03 16:00:00","0","0","0","0","1","201","10005","0","0","0","bgm_M121","bgm_M121","2019/01/22 15:59:59","10005101","伊爾席翁的孤島"
"2019/01/03 16:00:00","0","0","0","0","1","201","10005","0","0","0","bgm_M121","bgm_M121","2019/01/22 15:59:59","10005201","伊爾席翁的孤島"
"2019/02/01 12:00:00","0","0","0","0","1","201","10006","0","0","0","bgm_M128","bgm_M128","2019/02/19 15:59:59","10006101","王城蘭德索爾"
"2019/02/01 12:00:00","0","0","0","0","1","201","10006","0","0","0","bgm_M128","bgm_M128","2019/02/19 15:59:59","10006201","王城蘭德索爾"
"2019/03/06 16:00:00","0","0","0","0","1","201","10007","0","1","0","bgm_M135","bgm_M135","2019/03/25 15:59:59","10007101","蘭德索爾郊外"
"2019/03/06 16:00:00","0","1","202","208","1","201","10007","0","2","80","bgm_M29","bgm_M29","2019/03/25 15:59:59","10007102","靈界"
"2019/03/06 16:00:00","1","1","202","209","1","201","10007","0","3","0","bgm_M135","bgm_M135","2019/03/25 15:59:59","10007103","蘭德索爾中央地區"
"2019/03/06 16:00:00","1","0","0","0","1","201","10007","0","1","0","bgm_M135","bgm_M135","2019/03/25 15:59:59","10007201","蘭德索爾郊外"
"2019/04/03 16:00:00","0","0","0","0","1","201","10008","35","0","0","bgm_M162","bgm_M162","2019/04/17 15:59:59","10008101","蘭德索爾近郊"
"2019/04/03 16:00:00","0","0","0","0","1","201","10008","0","0","0","bgm_M162","bgm_M162","2019/04/17 15:59:59","10008201","蘭德索爾近郊"
"2019/05/02 16:00:00","11","0","0","0","1","201","10009","110","1","0","bgm_M171","bgm_M171","2019/05/16 15:59:59","10009101","咲戀育幼院"
"2019/05/02 16:00:00","0","0","0","0","1","201","10009","0","1","0","bgm_M171","bgm_M171","2019/05/16 15:59:59","10009201","王城蘭德索爾"
"2019/06/03 16:00:00","0","0","0","0","1","201","10010","1","1","180","bgm_M182","bgm_M182","2019/06/17 15:59:59","10010101","往神殿的參道"
"2019/06/03 16:00:00","0","0","0","0","1","201","10010","0","1","0","bgm_M182","bgm_M182","2019/06/17 15:59:59","10010201","往神殿的參道"
"2019/07/01 16:00:00","0","0","0","0","1","201","10011","0","1","0","bgm_M189","bgm_M189","2019/07/15 15:59:59","10011101","王城蘭德索爾"
"2019/07/01 16:00:00","0","0","0","0","1","201","10011","110","2","0","bgm_M189","bgm_M189","2019/07/15 15:59:59","10011102","廚房競技場"
"2019/07/01 16:00:00","0","0","0","0","1","201","10011","0","1","0","bgm_M189","bgm_M189","2019/07/15 15:59:59","10011201","廚房競技場"
"2019/07/17 16:00:00","0","0","0","0","1","201","10012","115","1","0","bgm_M206","bgm_M206","2019/07/31 15:59:59","10012101","王城蘭德索爾"
"2019/07/17 16:00:00","0","0","0","0","1","201","10012","0","1","0","bgm_M206","bgm_M206","2019/07/31 15:59:59","10012201","王城蘭德索爾"
"2019/08/01 16:00:00","0","0","0","0","1","201","10013","110","1","0","bgm_M215","bgm_M215","2019/08/15 15:59:59","10013101","加托羅斯山"
"2019/08/01 16:00:00","11","1","202","208","1","201","10013","0","2","0","bgm_M215","bgm_M215","2019/08/15 15:59:59","10013102","光之裂縫"
"2019/08/01 16:00:00","0","0","0","0","1","201","10013","0","1","0","bgm_M215","bgm_M215","2019/08/15 15:59:59","10013201","光之裂縫"
