a1a4cf2abe28b1b74e1db7b3829ea3652a7b843d5ec750e555ce95842d9b77c4,9df51822740dc8c44ced24622c42405ec35fd1ad68f5b86e562d40d1f3cbe739,b9ef8ccc3050bea6d66544225c63b7f40d05bc62070f10473963c3e6e0af1b6a,34d0e0b2cced56862cca55b911c305b3cb04d3436421f2be18a8936126277815,f510fce4e182f843acd5c463a43d463bb8e52156f463fc7ed56bf475c8120996,713d9a209ca3f3d6082b7908436aceb90670aa4dcc33c7d84a714aa175bfc04f,aed408370ee186d06af45a7ba5196bae0055b02081e93ac2de6450ffab758031,74df77c569054baaf41726fcccac5e8d5e9a7e399c2b7c653f0a3029014c0df2,4cabce08ed28dce4a5021b97496649bd848779cca7d4a3586a7d60c572e5eb16,deaa5ec396772910fe275103d2acb5b3c2696f13d2bbd46271fbb1909e4833bd,cfde0cb16c520325c75c9a4dcab3cea2a5f88efcf401f26259e58c1f3b7360b7,a547593742a2f2bcd305742c0cc4aca298f6635066f931398a0a5db29238d82c,bed6fc5b09a2af2b3316d2ea56f5252c3f453e33790bc21c18eafad297a23f8d,540a9c928a2ca315d148ae046ce56c989ccf17f5422fa7deac98d66706d25155,26185802740ad7ba83d306819a327de360f53430601e7c7a27658f66c507009f,b37eb82d66a9dbc32c1a0612f2af187d24b346341343cc4b6acdabdc7ae340e1
"0","bgm_M32","201","0","0","0","2018/08/28 16:00:00","塔爾格姆地區","0","10001101","0","2018/09/17 15:59:59","bgm_M32","1","10001","0"
"0","bgm_M32","201","0","0","0","2018/08/28 16:00:00","塔爾格姆地區","0","10001201","0","2018/09/17 15:59:59","bgm_M32","1","10001","0"
"0","bgm_M98","201","0","0","0","2018/10/03 16:00:00","馬席納地區","0","10002101","0","2018/10/24 15:59:59","bgm_M98_2","1","10002","0"
"0","bgm_M98","201","0","0","0","2018/10/03 16:00:00","馬席納地區","0","10002201","0","2018/10/24 15:59:59","bgm_M98_2","1","10002","0"
"0","bgm_M106","201","0","0","0","2018/11/01 15:59:59","蘭德索爾郊外","0","10003101","0","2018/11/20 15:59:59","bgm_M106","1","10003","0"
"0","bgm_M106","201","0","0","0","2018/11/01 15:59:59","蘭德索爾郊外","0","10003201","0","2018/11/20 15:59:59","bgm_M106","1","10003","0"
"0","bgm_M112","201","0","0","0","2018/12/01 16:00:00","塔帕斯海灘 周邊","0","10004101","0","2018/12/20 15:59:59","bgm_M112","1","10004","0"
"0","bgm_M112","201","0","0","0","2018/12/01 16:00:00","塔帕斯海灘 周邊","0","10004201","0","2018/12/20 15:59:59","bgm_M112","1","10004","0"
"0","bgm_M121","201","0","0","0","2019/01/03 16:00:00","伊爾席翁的孤島","0","10005101","0","2019/01/22 15:59:59","bgm_M121","1","10005","0"
"0","bgm_M121","201","0","0","0","2019/01/03 16:00:00","伊爾席翁的孤島","0","10005201","0","2019/01/22 15:59:59","bgm_M121","1","10005","0"
"0","bgm_M128","201","0","0","0","2019/02/01 12:00:00","王城蘭德索爾","0","10006101","0","2019/02/19 15:59:59","bgm_M128","1","10006","0"
"0","bgm_M128","201","0","0","0","2019/02/01 12:00:00","王城蘭德索爾","0","10006201","0","2019/02/19 15:59:59","bgm_M128","1","10006","0"
"0","bgm_M135","201","0","1","0","2019/03/06 16:00:00","蘭德索爾郊外","0","10007101","0","2019/03/25 15:59:59","bgm_M135","1","10007","0"
"0","bgm_M29","201","1","2","202","2019/03/06 16:00:00","靈界","0","10007102","208","2019/03/25 15:59:59","bgm_M29","1","10007","80"
"0","bgm_M135","201","1","3","202","2019/03/06 16:00:00","蘭德索爾中央地區","1","10007103","209","2019/03/25 15:59:59","bgm_M135","1","10007","0"
"0","bgm_M135","201","0","1","0","2019/03/06 16:00:00","蘭德索爾郊外","1","10007201","0","2019/03/25 15:59:59","bgm_M135","1","10007","0"
"35","bgm_M162","201","0","0","0","2019/04/03 16:00:00","蘭德索爾近郊","0","10008101","0","2019/04/17 15:59:59","bgm_M162","1","10008","0"
"0","bgm_M162","201","0","0","0","2019/04/03 16:00:00","蘭德索爾近郊","0","10008201","0","2019/04/17 15:59:59","bgm_M162","1","10008","0"
"110","bgm_M171","201","0","1","0","2019/05/02 16:00:00","咲戀育幼院","11","10009101","0","2019/05/16 15:59:59","bgm_M171","1","10009","0"
"0","bgm_M171","201","0","1","0","2019/05/02 16:00:00","王城蘭德索爾","0","10009201","0","2019/05/16 15:59:59","bgm_M171","1","10009","0"
"1","bgm_M182","201","0","1","0","2019/06/03 16:00:00","往神殿的參道","0","10010101","0","2019/06/17 15:59:59","bgm_M182","1","10010","180"
"0","bgm_M182","201","0","1","0","2019/06/03 16:00:00","往神殿的參道","0","10010201","0","2019/06/17 15:59:59","bgm_M182","1","10010","0"
"0","bgm_M189","201","0","1","0","2019/07/01 16:00:00","王城蘭德索爾","0","10011101","0","2019/07/15 15:59:59","bgm_M189","1","10011","0"
"110","bgm_M189","201","0","2","0","2019/07/01 16:00:00","廚房競技場","0","10011102","0","2019/07/15 15:59:59","bgm_M189","1","10011","0"
"0","bgm_M189","201","0","1","0","2019/07/01 16:00:00","廚房競技場","0","10011201","0","2019/07/15 15:59:59","bgm_M189","1","10011","0"
"115","bgm_M206","201","0","1","0","2019/07/17 16:00:00","王城蘭德索爾","0","10012101","0","2019/07/31 15:59:59","bgm_M206","1","10012","0"
"0","bgm_M206","201","0","1","0","2019/07/17 16:00:00","王城蘭德索爾","0","10012201","0","2019/07/31 15:59:59","bgm_M206","1","10012","0"
"110","bgm_M215","201","0","1","0","2019/08/01 16:00:00","加托羅斯山","0","10013101","0","2019/08/15 15:59:59","bgm_M215","1","10013","0"
"0","bgm_M215","201","1","2","202","2019/08/01 16:00:00","光之裂縫","11","10013102","208","2019/08/15 15:59:59","bgm_M215","1","10013","0"
"0","bgm_M215","201","0","1","0","2019/08/01 16:00:00","光之裂縫","0","10013201","0","2019/08/15 15:59:59","bgm_M215","1","10013","0"
"0","bgm_M32","201","0","1","0","2019/08/16 16:00:00","塔爾格姆地區","0","10014101","0","2019/08/23 15:59:59","bgm_M32","1","10014","0"
"0","bgm_M32","201","0","0","0","2019/08/16 16:00:00","塔爾格姆地區","0","10014201","0","2019/08/23 15:59:59","bgm_M32","1","10014","0"
"120","bgm_M223","201","0","1","0","2019/09/03 16:00:00","大江戶大街","0","10015101","0","2019/09/15 15:59:59","bgm_M223","1","10015","0"
"0","bgm_M223","201","0","1","0","2019/09/03 16:00:00","大江戶大街","0","10015201","0","2019/09/15 15:59:59","bgm_M223","1","10015","0"
"0","bgm_M98","201","0","0","0","2019/09/17 16:00:00","馬席納地區","0","10016101","0","2019/09/24 15:59:59","bgm_M98_2","1","10016","0"
"0","bgm_M98","201","0","0","0","2019/09/17 16:00:00","馬席納地區","0","10016201","0","2019/09/24 15:59:59","bgm_M98_2","1","10016","0"
"70","bgm_M228","201","0","1","0","2019/10/01 16:00:00","蘭德索爾近郊","0","10017101","0","2019/10/15 15:59:59","bgm_M228","1","10017","0"
