a45e6b0bbc3d9ede8a1b188e36a0d06a002e9cbad4aa3db82ded2c53851708e0,806df8b3a83e0c16fb2cc20df0b172c3eebfc66706aa286d13d5e9f2d375b4f2,be98ec47b250fa5c90e1421d7179352eb57bcb0ea3ecdcddcac1262ec8a16773,d1767c7356cb14167b6e15d3d99a3f97226241d9c1a4eae76d37ee79372a628e
"1001","180701","1","4"
"1002","180701","2","4"
"1003","180701","3","4"
"1004","180701","4","4"
"1005","180701","5","4"
"1014","180701","6","2"
"1015","180701","7","2"
"1016","180701","8","2"
"1017","180701","9","2"
"1010","180701","10","2"
"1011","180701","11","2"
"1012","180701","12","2"
"1013","180701","13","2"
"1001","180801","14","6"
"1002","180801","15","6"
"1003","180801","16","6"
"1004","180801","17","6"
"1005","180801","18","6"
"1014","180801","19","3"
"1015","180801","20","3"
"1016","180801","21","3"
"1017","180801","22","4"
"1010","180801","23","3"
"1011","180801","24","3"
"1012","180801","25","3"
"1013","180801","26","3"
"1009","180801","27","3"
"1001","180901","28","4"
"1002","180901","29","4"
"1003","180901","30","4"
"1004","180901","31","4"
"1005","180901","32","4"
"1014","180901","33","2"
"1015","180901","34","2"
"1016","180901","35","2"
"1017","180901","36","4"
"1010","180901","37","2"
"1011","180901","38","2"
"1012","180901","39","2"
"1013","180901","40","2"
"1001","181001","41","4"
"1002","181001","42","4"
"1003","181001","43","4"
"1004","181001","44","4"
"1005","181001","45","4"
"1009","181001","46","2"
"1010","181001","47","2"
"1011","181001","48","2"
"1012","181001","49","2"
"1013","181001","50","2"
"1014","181001","51","2"
"1015","181001","52","2"
"1016","181001","53","2"
"1017","181001","54","2"
"1001","181101","55","4"
"1002","181101","56","4"
"1003","181101","57","4"
"1004","181101","58","4"
"1005","181101","59","4"
"1009","181101","60","2"
"1010","181101","61","2"
"1012","181101","62","2"
"1013","181101","63","2"
"1014","181101","64","2"
"1015","181101","65","2"
"1016","181101","66","2"
"1017","181101","67","2"
