cc0a72396f0c03f6a0aa4f3bb47b19e99f36c5c681f4bd7beaf29ae07500c263,1cc2ff0d23ae2de5087f542bc98eb6acaea7028afae0e8f156e84238a02e4a10,9c70598885b8e39bbc4f4f3eb99a414396f4df51d0e627ae8782b01621841dae,24b492b6bb262291be33ef8951147350175f305ec80374406d9df94c0796e7b5,57741df5a513d122b78900b736531340daf80c619b5ad0fbf59afc772cbabe12,dfa3801f333a5c7488902ec110c8974e24e03bddaaca6c8055585b7db2108bd6,ec78f17884245cc1d7b724d883b607f19b4fc63913c1906a6dc483006729c283,2eb770c15fe49baaa371533554d738ee37fd81491db75b7a0a24cb85e7c85c44,8e81ee89d5b6e3f807f3920a45b3606f36c71ac40cc0ffea6cb563b69855c297,8a082fb055be3570417a030569cbb36841ec7d3d1230dc632ad1272be6fac0aa,3965d1bc3485696b670e3c466609b6c08e8c6b6544d99ef849f874faeb14988a,cba156c1f8db876a96d9320af42a517e0b636dcbe3f73c0996be648fed6b1ad3,241368510632daec724680b6b762526a6143efc7bfeee53ec94d6503d7541a88,56aa34f6d4ee11d893e02d71f77170bc3a231f09a1ef9f6581a7d4e2900d31fb
"0","0","24","1","4","2.3","1","香織（夏日）","24015","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","啊啊～好可惜～\n難道你的魂被奄美魔物奪走了嗎～？","10021"
"0","0","24","1","4","2.3","2","香織（夏日）","24016","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","今天的舞蹈也跳得很糟糕呢～\n吃點像苦瓜的東西恢復元氣吧～！","10021"
"0","0","24","1","4","2.3","3","香織（夏日）","24017","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","到處都是奄美魔物，看得我眼花瞭亂～！\n腦袋也昏昏的～！","10021"
"0","0","24","1","1","2.3","4","香織（夏日）","24018","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","船到橋頭自然直、船到橋頭自然直\n下次再努力就好了～！\n到海邊游泳，讓自己煥然一新吧～！","10021"
"0","0","24","1","5","2.3","5","香織（夏日）","24019","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","丟臉的一面\n被你看見了～\n泳裝？　我指的不是泳裝喔～？","10021"
"0","0","24","3","2","2.3","6","香織（夏日）","24020","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","狀態絕佳～！　就按照這個步調\n取回大海的和平吧～！\n歡樂的夏天正在等著我們～！","10021"
"0","0","24","3","1","2.3","7","香織（夏日）","24021","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","不管有幾隻魔物來襲，\n我都不會嚇掉魂喔～！\n哈啾！　啊……不過可能會因為剛剛的噴嚏而掉魂～？","10021"
"0","0","24","3","2","2.3","8","香織（夏日）","24022","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","咿――呀――呀――啊――♪\n戰鬥結束後跳個舞蹈，\n精神百倍呀～！","10021"
"0","0","24","3","6","2.3","9","香織（夏日）","24023","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","咦～？　戰鬥途中\n泳衣不知道跑去哪了～？\n喂，你有看到嗎～？\n為什麼要離開呢～？","10021"
"0","0","24","3","1","2.3","10","香織（夏日）","24024","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","我還很有精神喔～！\n不管是奄美魔物還是別的，\n儘管來～吧～♪","10021"
"0","0","24","3","2","2.3","11","香織（夏日）","24025","2030/12/17 14:59:59","2019/12/02 16:00:00","110501","我的空手道可是世界最強的～！\n只要夏日陽光和蔚藍大海常伴左右，\n我們就能所向無敵喔～！","10021"
