10366b9bf7182cbf7cf99b14cdc173882bc956721139e59fedb2bb9d402bf25d,b896c2f3d96610f308566d13df2b2b93a669eef3919b051519ec383de88a38dd,4831ee0a1346ce592971b008c595cbeca8110a1d036b99734e8c83e0a1098712,e488e8f4619cdf4a14d34c1096273278a57f9353f195ba5aecda2f7d771c5357,c54782082d8e740b977160809a06ae274648b4841ae5e12cacc07c71acef8e44,493168e08fd42c9f3b6a6ebd6018f74bbdab797ca54d60fd41cbf54e68847fd0,3632b5e7ce6df99ec5f81c29de928ea907b27cf8f765a04c7428f6fc232cd007,d35bc7a5905619c3029cf6faa2bb5fa461d7918584c0a0c0e70b70667c4b3517,5e65895774c63f1d23df0dccf1960d52d6a440fc4d8126a6a46d2583f7ea4eb8,1595ac1a4ddc5ea0981854d61e3c6c30a8208da137f30dca4c74d687e017a57b,8f8a9d1b88b102d1e9db035fe46824ac4e533a95b98953178cf6c07dfce03524,f99e19aebce153395b4675046cc630116c49171196c7c3c84f46696fcd7ac21c,b14b055c24313b06f8beccec95917c743ec583a16d835589698c774dc63ff0f2,fc2145c8915ed523451b6808d69e233e24560a0e7045aa1eefe268fe8957c693,854bdc3dee7c7f93bae385ed1f756d8bfd96b0dc668323c4120dd0f538bcf9f5,c94c7c5ad539e68023638eab543b4e4d4371e4f5f921bc3872f4c058b6db9a3e,0d36f656c0bc951ad05a000edffd41833100eefdcc04440ba26e8b319a398694,24afe3c097dafe1d2fb9424bed3fb2b3ae9a254ed1618999d7509286d8583c50,289b8ec93e1069d1c72496d5d5f620dc6ddaf9ca459072956ad5ab81519baf92,18a3e0323a31b073487f55bc2eb076ccb7f102bc90d7612d942bbdd12ed05393,a74d31a23ea046797eb39058a9b3137691d66744167a5b99dfa7a9c4c0647066,ee2eefe9bedac53fa2899d4eed9ecdf510c383f0839f94c3c5cc6ea20bfbf501
"0.8","0.7","1","1","10","1","101001","1001","-120","0","0.6","-30","1","-480","1","bgm_M64","250","10010101","0","210","-30","101001"
"1.2","1","1","1","10","2","101001","1001","-120","0","0.75","0","1","-260","2","bgm_M64","0","10010102","0","200","-30","101001"
"1.1","1","1","1","0","3","101001","1001","0","-50","0.75","-10","1","-40","3","bgm_M64","100","10010103","0","200","-30","101001"
"1","1","1","1","0","4","101001","1001","-50","0","0.7","0","1","240","4","bgm_M64","0","10010104","0","200","-30","101001"
"1.3","1","1","1","0","5","101011","1001","-40","0","1.2","0","1","480","5","bgm_M55","200","10010105","0","250","-30","101011"
"0.8","0.7","1","1","10","1","101021","1002","-155","0","0.6","-30","1","-480","1","bgm_M64","250","10020101","0","210","-30","101001"
"1.2","1","1","1","10","2","101021","1002","-120","0","0.75","0","1","-265","2","bgm_M64","250","10020102","0","200","-30","101001"
"1.4","1","1","1","0","3","101021","1002","30","-30","0.9","-10","1","-30","3","bgm_M64","100","10020103","-15","200","-30","101001"
"1.5","1.25","1","1","0","4","101021","1002","-90","-30","1","0","1","220","4","bgm_M64","100","10020104","0","200","-30","101001"
"1.8","1.6","1","1","0","5","101031","1002","0","0","1.4","0","1","440","5","bgm_M55","200","10020105","0","250","-30","101011"
"0.8","0.7","1","1","10","1","101041","1003","-155","0","0.6","-30","1","-470","1","bgm_M64","250","10030101","0","210","-30","101041"
"1.2","1","1","1","10","2","101041","1003","-95","0","0.75","0","1","-210","2","bgm_M64","250","10030102","0","200","-30","101041"
"1.1","1","1","1","0","3","101041","1003","-120","-50","0.75","-10","1","50","3","bgm_M64","100","10030103","0","200","-30","101041"
"1.5","1.2","1","1","0","4","101041","1003","35","-30","0.8","0","1","195","4","bgm_M64","100","10030104","0","200","-30","101041"
