6781daedf30eac79ede6d789ad7dd3eb587914b8f26f334abfb19b2d147c4c92,fca0657727d33d6dd5180791f7d3cf28bafc8c3ef7b1e630932e8b5c8b084b8c,4c6c6ce759e857206a3176e1d5e38cd11d7acfaff1093edc9de195ea0dc98675,938e70b23554d9f3267f43114f710d7f3012c2f7105094ecd49c24554918876d,5a99cf7c8d00990443dba1f14e51c14e81ca075dbe54945a549b5d4051a5a350,989498a6e887078e7df0cbe2642a48c30465ea39e4930b5e28edefbb6467cc1f,7f35c1f7f044bdd684402c350f36e3eace57044532b23904e8fb75c4879161a5,4adaa80d17d70103a5be0ff936fb756ef9fe38faa7cf104721cf89f850672c98,e4341aa9de0c6a0435ebcbe672e749b9ebb2f70e6de2dfe68da38dfe2a997c6d,0c5bf428dbebc0fdbd0f694e1db76df5354f35d31d1b0d2df82d10fdebabdf6f,f6491eddbb90de4844e7fd7c4ea2b4d8cb229372ddcf4343534e8dee4ab74d24
"1.7","1","0","1001","-220","psy_miyako_idle","1","100","-200","1","119931"
"1.7","1","1","1002","-220","psy_idle_normal","5","100","1000","1","1"
"1.7","1","0","1003","-220","psy_fairy_idle","5","105","-50","1","2"
"1","1","","1004","1","","31","0","0","1","11"
"0.2","1","","1005","","","3","1","","1","psy_item00_run"
"","1","","1006","0","","2","-220","2.5","1","285"
"","1","","1007","","","93","","","2.5",""
"0.2","1","","1008","","","3","1","","1","psy_item00_idle"
"","1","","1009","","","93","","","0.5",""
"0.2","1","","1010","","","3","1","","119931","psy_miyako_talk1"
"","1","","1011","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_0101"
"0","1","0","1012","0","0.5","11","5","1","119931","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！"
"","1","","1013","","","93","","","6","1"
"0.2","1","0.2","1014","1","","3","0","psy_miyako_doya_loop","119931","psy_miyako_doya_in"
"","1","","1015","","","91","","","1012",""
"","1","","1016","","","22","","","0","0"
"0.2","1","","1017","","","3","1","","2","psy_fairy_talk"
"","1","","1018","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_9901"
"0","1","0","1019","0","0.5","11","3","1","2","啾啾！"
"","1","","1020","","","91","","","0",""
"0.2","1","","1021","","","3","1","","2","psy_fairy_idle"
"0.2","1","","1022","","","3","1","","119931","psy_miyako_talk2"
"","1","","1023","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_0102"
"0","1","0","1024","0","0.5","11","3","1","119931","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！"
"","1","","1025","","","93","","","2","1"
"0.2","1","","1026","","","3","1","","119931","psy_miyako_talk_joy2"
"","1","","1027","","","91","","","1024",""
"","1","","1028","","","22","","","0","0"
"0.2","1","","1029","","","3","1","","119931","psy_miyako_idle"
"","1","","1030","","","4","","","2","1"
"0.2","1","0","1031","1","","3","0","psy_fairy_run","2","psy_fairy_run_in"
"","1","","1032","","","93","","","1.3",""
"","1","","1033","0","","2","-220","1","2","1000"
"","1","","1034","","","93","","","2",""
"0.2","1","0.2","1035","1","","3","0","psy_miyako_doya_loop","119931","psy_miyako_doya_in"
"","1","","1036","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_0103"
"0","1","0","1037","0","0.5","11","4","1","119931","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！"
"","1","","1038","","","91","","","0",""
"","1","","1039","","","22","","","0","0"
"0","1","0","1040","0","0","12","1","0","1","11"
"0.2","1","0.2","1041","1","","3","0","psy_item00_idle_guts","1","psy_item00_talk_guts"
"","1","","1042","","","93","","","2",""
"0.2","1","","1043","","","3","1","","119931","psy_miyako_talk_joy2"
"","1","","1044","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_0104"
"0","1","0","1045","0","0.5","11","4","1","119931","把所有人都\n變成好吃的布丁喲～♪"
"","1","","1046","","","93","","","4","1"
"0.2","1","0.2","1047","1","","3","0","psy_miyako_fight_loop","119931","psy_miyako_fight_in"
"0.2","1","0.2","1048","1","","3","0","psy_item00_handsup_loop","1","psy_item00_handsup"
"","1","","1049","","","93","","","1.5",""
"","1","","1050","","","91","","","1045",""
"","1","","1051","","","22","","","0","0"
"1.7","2","0","2001","-200","psy_miyako_start","1","100","-300","1","119931"
"1.7","2","1","2002","-220","psy_walk","1","100","300","1","106011"
"1","2","","2003","1","","31","0","0","1","11"
"1.7","2","0","2004","-200","psy_smoke_start","5","101","-300","1","1"
"","2","","2005","0","","2","-220","2","106011","185"
"","2","","2006","","","93","","","2",""
"0.2","2","0","2007","1","","3","0","psy_kyaru_talk_arm_crossed_loop","106011","psy_kyaru_talk_arm_crossed"
"","2","","2008","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_0305"
"0","2","0","2009","0","0.5","11","5","1","106011","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……"
"","2","","2010","","","91","","","0",""
"","2","","2011","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_0306"
"0.2","2","","2012","","","3","1","","106011","psy_talk_sad"
"0","2","0","2013","0","0.5","11","7","1","106011","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。"
"","2","","2014","","","93","","","4","1"
"0.2","2","","2015","","","3","1","","106011","psy_talk_sad"
"","2","","2016","","","91","","","2013",""
"0.2","2","","2017","","","3","1","","106011","psy_idle_sad"
"0.2","2","0.2","2018","1","","3","0","psy_miyako_thinking4","119931","psy_miyako_appear"
"0","2","0","2019","0","","3","0","psy_smoke_start","1","psy_smoke_appear"
"","2","","2020","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_0301"
"0","2","0","2021","0","1","11","4","1","119931","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……"
"","2","","2022","","","93","","","1","1"
"0.2","2","0.2","2023","1","","3","0","psy_idle_surprise2","106011","psy_surprise"
"","2","","2024","","","91","","","2021",""
"","2","","2025","","","22","","","0","0"
"0.2","2","","2026","","","3","1","","119931","psy_miyako_idle_thinking"
"0.2","2","","2027","","","3","1","","106011","psy_talk_surprise2"
"","2","","2028","","","21","0","0","vo_minigame_1008","vo_minigame_1008_drama_0307"
"0","2","0","2029","0","0.5","11","6","1","106011","呀啊！？\n妳突然冒出來是幹什麼呀！"
"","2","","2030","","","91","","","0",""
"0.2","2","","2031","","","3","1","","106011","psy_idle_surprise2"
