1ba1ef9d5c0201ccbc73ad38ddcf8bd5ecabbf2e40021d977d8898b61310edb5,61b5bd4d250860824b2910db0d8cfbb94e2e477b5b60c5575b50df1afb6b66e6,b14f779369ac3949c80d1328a5f0f1a68db41a0b10e122ab653f21f64b731a77,d8a7dfce62d1e481a64427c35f5fe16e02423c9f670b1dddb33f98c22a4cbb17,9bbc6c6794188de9ee6891c8b24d2411e296cbd4c0886a83bd4058621dc946c3,27d6ff4ed08896be74e8d72a07d4214e742773897e5db282ab8b3ff9006765fb,eb47a6894ed1e2c0c32ee8d39aa9d5d67d5677be975e36a65db8c1e168830612,9edf8eb3a3ae94cf58e1c0786a68c222228e28790502899e114980d805ad6c48,cdf7140aace327de9c56c9cb68f6c213d557cccf7fa1fd3916de64bfdfc4e6a1,59c6a78f91c4140802a18487bf5a7758e22a3bcaa9418ce0bc8c8fdc89a87a41,4b60bb65560d19423fb7ac499d0164a88d742f7116e76f7b6bee9d88533ceffb,f2d19c0d5d25e10bb415b37d863d7f3b2d0323270a70d231609681fd0e28f9d8
"1","105901","5146061","10146","1","大蜂蜜雲霄飛車1","8","2024/10/01 16:00:00","105801","20","106001","91002"
"1","0","5146062","10146","1","大蜂蜜雲霄飛車2","8","2024/10/02 16:00:00","100901","20","0","91002"
"1","0","5146063","10146","1","大蜂蜜雲霄飛車3","8","2024/10/04 16:00:00","106601","20","0","91002"
"2","131501","5146064","10146","1","漂浮之花摩天輪1","8","2024/10/02 16:00:00","105801","20","0","91002"
"2","131001","5146065","10146","1","漂浮之花摩天輪2","8","2024/10/04 16:00:00","130901","20","0","91002"
"2","0","5146066","10146","1","漂浮之花摩天輪3","8","2024/10/03 16:00:00","104001","20","0","91002"
"3","106601","5146067","10146","1","莓果糖咖啡杯1","8","2024/10/01 16:00:00","106501","20","0","91002"
"3","106001","5146068","10146","1","莓果糖咖啡杯2","8","2024/10/03 16:00:00","105801","20","0","91002"
"3","131401","5146069","10146","1","莓果糖咖啡杯3","8","2024/10/02 16:00:00","131301","20","0","91002"
"4","0","5146070","10146","1","潛入3D世界1","8","2024/10/03 16:00:00","102101","20","0","91002"
"4","0","5146071","10146","1","潛入3D世界2","8","2024/10/01 16:00:00","130901","20","0","91002"
"0","0","5146072","10146","2","表演者介紹：植物羊","8","2024/10/01 16:00:00","0","20","0","91002"
"0","0","5146073","10146","2","表演者介紹：啾二＆啾三","8","2024/10/01 16:00:00","0","20","0","91002"
"0","0","5146074","10146","2","表演者介紹：玩具王","8","2024/10/01 16:00:00","0","20","0","91002"
"0","0","5146075","10146","2","表演者介紹：招財貓","8","2024/10/01 16:00:00","0","20","0","91002"
"0","0","5146901","10146","3","魔物遊行","15","2024/10/01 16:00:00","0","1","0","11001313"
