c5e5a7dadb3bc252f42c2c827d300debff3bd822559c4b476387a0b20a55ea3a,96a5eaf43a73e0230f0dbd60f32f7d22ddffdd8e2c074525fcf644db4ca6f2eb,3ac873451de19aed832ba34ada55bb2afa8240de290941cd4b479f1c6038ce6f,77dd177464c00d7952b1a17dcb59d5e261cbd91f4f5a6bda8bbfccc044440630,060ed84eb315e28c45231be443840ee368290f03cfd07f51bd258e240f4fdf89,72ba1937a49c508b9c72dee64d0eb907686de5eb35a49f07ef08f61df1f17ca6,74c1dd48d1584c95c867a47f039a2225de0910d4d3e004eef8071016a503f1f2
"0","1","1","0","9999999","50","50"
"0","2","2","0","9999999","20","80"
"0","3","3","0","2000","70","30"
"30","4","3","0","5000","30","40"
"40","5","3","20","10000","0","40"
"40","6","3","30","15000","0","30"
"40","7","3","35","20000","0","25"
"40","8","3","40","25000","0","20"
"40","9","3","45","30000","0","15"
"40","10","3","50","35000","0","10"
"35","11","3","55","40000","0","10"
"35","12","3","60","45000","0","5"
"30","13","3","65","50000","0","5"
"30","14","3","70","55000","0","0"
"25","15","3","75","60000","0","0"
"20","16","3","80","65000","0","0"
"15","17","3","85","70000","0","0"
"10","18","3","90","75000","0","0"
"5","19","3","95","80000","0","0"
"0","20","3","100","9999999","0","0"
