59fc9128ed6cf22b463146a854718a0315f43de0b93093d3c95794ce525cc723,7262469a90fcc6d6f6664effb67ca57c7e065cfd705acb5cbbc551fa216c85bc,9350b0d499808a4687b5162de8dbd07164d1a17508570344f7888e3c86ff3791,53e8033c5b6b50af3eaf3a3a611fdc9e6009820807f6fdbaab6053c9c52d3b6a,5c202ebef0965468c5d044de5c20e609e3ef1d8d3b72e4148951b9652b55561d,3ee7af3c05939869880754cc7563cd368084329adaca5e626a3bef482206b48b,609c2faf66080dd2e7c4c47717791091312230e213ea5107abfb29c5cfe8ac44,d1267223bfa493b4c5b327cc62b59bb8b6d949a1dcc02c94005d3bd5f715d310
"0","10012","0","0","1001201","0","1","10012103"
"0","10012","0","0","1001202","0","2","10012107"
"0","10012","0","0","1001203","0","3","10012109"
"1001201","10012","0","0","1001204","0","4","10012114"
"1001202","10012","0","0","1001204","0","5","10012114"
"1001203","10012","0","0","1001204","0","6","10012114"
"0","20012","0","0","2001201","0","7","20012103"
"0","20012","0","0","2001202","0","8","20012107"
"0","20012","0","0","2001203","0","9","20012109"
"2001201","20012","0","0","2001204","0","10","20012114"
"2001202","20012","0","0","2001204","0","11","20012114"
"2001203","20012","0","0","2001204","0","12","20012114"
