8c1b24db8de1d3ef47f4d58262963f5d5d15272daae36b0e5fee940d1deb7699,982f394303b4e66a0f6ade5a40fd56982a33ce48e8bcc65a7d5b643115bccc57,a35e12800da00651174dd24479dc66889bc0dbaccefd716afcfe315d2a6faa2f,af3337a4060a3e86c60e7ec85a2a185c44b9689a659a3f480fe3b1daa8495b07,0197bd7c6088b7ae518f119b48248fad4146db154af5efe4fb907110719e8e06,b4d7b12ee2fd0270fc708764fca4aa2323e1d8afdd20c98cf0e1534410be6514,7f170e6124f0811f985db7ce32c42764c6f024e5872153795b3ef4582555e08d,1bc8340e46acb1006902c975bb258b674d1a100370e6f556d91fc1615f8c772f,38212c08e62b6fb00a7d42c78dbe7b9eb0ca0f7a54959b13c6f547cc627a38dc,2c0532e3c11288c88e0ba6df929243ac744ef43882be8ad4b7208f82c6412640,e3988afbbb1e4e28fb7a7ddd5141cadab9de763de4b0f12ebd4678f16b42b676,3e0b57526089584c9d9c68269a42aed5ce23df290b7c9eede65744b90347af55
"TP提升250","-1","戰鬥開始時，我方的TP提升250。","3001","0","2","1","3001","0","3001","3","0"
"TP提升250","-1","戰鬥開始時，我方的TP提升250。","3002","0","2","1","3002","0","3002","3","0"
"TP提升250","-1","戰鬥開始時，我方的TP提升250。","3003","0","2","1","3003","0","3003","3","0"
"TP提升250","-1","戰鬥開始時，我方的TP提升250。","3004","0","2","1","3004","0","3004","3","0"
"TP提升1000","-1","戰鬥開始時，我方的TP提升1000。","3006","0","2","3","3006","0","3006","3","0"
"TP提升1000","-1","戰鬥開始時，我方的TP提升1000。","3007","0","2","3","3007","0","3007","3","0"
"提升物理攻擊90秒","25200","戰鬥開始90秒內，使我方的物理攻擊力提升。","30011","0","3","1","30011","3500000000000","3001","3","9006503"
"降低物理防禦90秒","72000","戰鬥開始90秒內，使敵人的物理防禦力下降","30012","0","3","1","30012","2400000000000","3001","3","9006504"
"每秒HP恢復90秒","39600","戰鬥開始90秒內，每秒恢復我方的HP","30021","0","3","1","30021","2400000000000","3002","3","9006506"
"每秒TP提升90秒","72000","戰鬥開始90秒內，每秒提升我方的TP","30022","0","3","1","30022","1200000000000","3002","3","9006507"
"無敵15秒","43200","戰鬥開始15秒內，我方進入無敵狀態","30031","0","3","1","30031","2320000000000","3003","3","9006509"
