1dc30dd2087af4f7d6749efe4a17089c96fdbd0cb111dc21e26de16c4b66c695,ea45d30effc2f0657ce5944911f4d5db82efbf95246cd05a26b8554980a77c39,3a7e24a6e02a8c5a02b66d0abf10b388c51d9a732e77eadaccec0ee0db3a90aa,97740f5f99e8c7bda9a5cad2c18c080b3ea4b3851859bb4d0e7775db5d4d454f,04925fcebdf58b56df2c7cf89d9439737667a3876759fdd9466e7d872feae565,c97fb15869bd2672ee95edea59362adafa0dd65652856bc2df60a40a3e4c96bd,2547e6304c546e9cccd0eb94ebd64fe4b1211c8ba8edf99c8c8114fcfbbf9cc4,111f2c268cde466d285e9171870a1932fc2dc905b446f19be85cbc77cc0c976c,48e7cd5506c7aae571a9432442cb5f7493ef509644ee871175a352fe718c3e8a,acd96d5b3143a79df6e4ed02a9f3e1177f3a2c185e8a362ad3754fd7d9bb4817,78474ca6e8a35639bda86e77a12a2b42f945addd939a53b22823a05a224dbdd9,d8771bde6b404d33866eb6ed8af94c20903cad6bb8ea5c0e1454294f2d22a005,3a1acf1d01c080f24d858b89476dcb086c40e2b2b2c81cd78ac0e7c117cddbdd,d4546256f5260afe3270c092084607e26148f55968753eb22f315066094cc686
"1005001","1.5","0","1.7","10050","0","-30","2","100000","0","0","10","30","0"
"1005001","1.5","0.03","1.7","10050","1","25","1","100000","-40","10050101","0","-17","0"
"1005001","1.5","0","1.7","10050","0","-47","3","100000","-23","0","10","-32","0"
"1005002","1.5","0","1.7","10050","0","-30","2","100000","0","0","10","30","0"
"1005002","1.5","0.03","1.7","10050","1","25","1","100000","-40","10050201","0","-17","0"
"1005002","1.5","0","1.7","10050","0","-47","3","100000","-23","0","10","-32","0"
"1005003","1.5","0","1.7","10050","0","-30","2","100000","0","0","10","30","0"
"1005003","1.5","0.03","1.7","10050","1","25","1","100000","-40","10050301","0","-17","0"
"1005003","1.5","0","1.7","10050","0","-47","3","100000","-23","0","10","-32","0"
"1005004","1.5","0","1.7","10050","0","-30","2","100000","0","0","10","30","0"
"1005004","1.5","0.03","1.7","10050","1","25","1","100000","-40","10050401","0","-17","0"
"1005004","1.5","0","1.7","10050","0","-47","3","100000","-23","0","10","-32","0"
"1005005","1.5","0","1.7","10050","0","-30","2","100000","0","0","10","30","0"
"1005005","1.5","0.03","1.7","10050","1","25","1","100000","-40","0","0","-17","0"
"1005005","1.5","0","1.7","10050","0","-47","3","100000","-23","0","10","-32","0"
"1007701","1.5","0","1.7","10077","0","-30","2","100000","0","0","10","30","0"
"1007701","1.5","0.03","1.7","10077","1","25","1","100000","-40","10077101","0","-17","0"
"1007701","1.5","0","1.7","10077","0","-47","3","100000","-23","0","10","-32","0"
"1007702","1.5","0","1.7","10077","0","-30","2","100000","0","0","10","30","0"
"1007702","1.5","0.03","1.7","10077","1","25","1","100000","-40","10077201","0","-17","0"
"1007702","1.5","0","1.7","10077","0","-47","3","100000","-23","0","10","-32","0"
"1007703","1.5","0","1.7","10077","0","-30","2","100000","0","0","10","30","0"
"1007703","1.5","0.03","1.7","10077","1","25","1","100000","-40","10077301","0","-17","0"
"1007703","1.5","0","1.7","10077","0","-47","3","100000","-23","0","10","-32","0"
"1007704","1.5","0","1.7","10077","0","-30","2","100000","0","0","10","30","0"
"1007704","1.5","0.03","1.7","10077","1","25","1","100000","-40","10077401","0","-17","0"
"1007704","1.5","0","1.7","10077","0","-47","3","100000","-23","0","10","-32","0"
"1007705","1.5","0","1.7","10077","0","-30","2","100000","0","0","10","30","0"
"1007705","1.5","0.03","1.7","10077","1","25","1","100000","-40","0","0","-17","0"
"1007705","1.5","0","1.7","10077","0","-47","3","100000","-23","0","10","-32","0"
"1008801","0.92","0.03","0.84","10088","1","-25","1","100000","-50","10088101","10","-13","0"
"1008801","0.8","0","0.7","10088","0","-25","2","100000","-50","0","0","13","0"
"1008802","0.92","0.03","0.84","10088","1","-25","1","100000","-50","10088201","10","-13","0"
"1008802","0.8","0","0.7","10088","0","-25","2","100000","-50","0","0","13","0"
"1008803","0.92","0.03","0.84","10088","1","-25","1","100000","-50","10088301","10","-13","0"
