8c67177cd62764d2d853a40c36740b385f5278e396b36cb6547b8610684141c2,125121bcbf516b1d5f15ffe40b708bd2baf5eb70bdbb49a1956c13c9cba2aa94,4db8df36c805179cb8798088d601f6e70f1bac2e8e03b2935ac59abf96908643,fec265bf65f4e41990cb3224bcd5dc0a466443e5730f3351c43875bacfb5bc12,9400c68846169e26ff7b6ed749562c289d55de584d81ab5808a177508bf43c7c,2abc6e620674cf10cd86bfcb6c575b6fa8257f46823ab56d68b08e122196feae,d0305b71ab290185e06cfd000731eb9e58c71d09e04b64101c2860f83fecd8bc,58950e6d4d9fd3dea86aa2c89e6f022e837ee6dc05f9a7867f092139d50f5409,1482964f9aebf4e2216e6d2b09364a31a9a3601115d83127ec4a1106dc07ca8a,8c71cd4d36fa211b6c6efaf5568855bde379c118d317ad94c7d91243700cb0ab,fe28801b9e504bd498c61ef026be087f2271aced52407fb70d62f22762f9edeb,9ff002622ceae9478b47ee50ed0c78578fd88736bcb5f213f1c3e0829691f505,04482d2d02cb0bc00a45263fb0faa72be43080c4039698a44cff2164a9875be8,201a72fe74932fcb066fc7c9f8a8bb77027eb7fde80f040c76abd2d891afa416,823999135f6f16aa63d5e6c92d05de8d630682110cd6b5e60fbe7afab89eaea0,813235bc7b4008dbe88fb12405e998d2f2d81f1740017a03509b31b2c8f642ff,0a640af1150ddfaa0667362de395ab6ff469325841eaa7aa90e6a7d54437ff0f,78c7bf73fe0e2ad8d7c343cf2e5a19005bf06df22b03be03063772d47f249ff4,90d9f84dbfbeda046c428319fe3442a03b13c5feab29b4836889bdb1280bd7ff,e5fab68258878820593087b5c513aae6889814e750d97d17c2d3b9ce665e7e9a,6cebf289f13500a2a41ff687db33b223f2b00f0168539176de570bda89a54f7a,82d36aace32cbe7aeaf3cd2dd5c93d6449049d3b6b3952539c9151dd34a8780e,4aa9eb97b10357ba8357355b6059d138ffa59e7a8eb99173a1b0b00842bd674a,08b0a8003ff2549a0dfaaa69f9249a55e63952be5f5a6536f1da104d86c72ccd,8c52a008b6df19e206e51244f78a0b437bcde4ea3e7892c3a017b6286d8c29d5,cf9f81d46f86b9c79f94426da649ef3934ad974d23d4d9f73bc92f3da07a2e10,91d7831d8f59455a632b00a574ef54d954ee8e049925783b8fefac562d8a5943,4406790b925387f81cc40b0709c8ba8f69dd8ecc6f8ef7eb653aa3e69e858f15,4ac52106264bf390be8a7f01681b4b032c65c189ded40c926781607343926f77,285d96a807a15057bd958811e35757a86d90615977b7f75854aab9c6d71f218e,f6c00046acd8d6c082d0072561d3f95f07c39335da64abbf9d14576a8e5c1442,0c365f936b71e11aa55b87a2875b6ef78c2d9ac518ddafc6142c770f89c3d983,97d420ae5808682e980e399586261cdb169b52059f55166a6b687cb2ab68f940,6c571a85f1b59970aeaf2393ef99f9d64529329553ecc1480cc6a9a5f2de65b0,ca9208bf2a6259a6228df4fed2c8f0cf042c3b69f8baeeddc1e45be734ea8e4b,c15496de9d3438bb257bcb368f62fc2e68c43b808edd17f90301f48a16197a44,d9c2791b9dab3ab21614673230e8d2f5b6a0278276bdf8f1819e1f14f20057f5,a95945218456438e84fc8bf546f7169c8a931fac9a03da83a97eef868cdb577a,c685f456dc9b88d68630f7b778bd385d48a968d9a715711522aa8e27a31ad133,ab59beffd9355861ce2baa153182ddefb95e0716d7c016f66cb1ce54b24458a3,b1c47c26b780bd01819306c3343fc0e87d71200355cf9014caaaade8fd5dbd39,433f878a88ca3ece36d0fc468e093ff44292e91ce83a6b2f4f8a65404d38b5f6,49081523b231a74bd0ebf4d39cf43a2375962573ca746e8e373e546b62c10477,4274a908edda8f44a55a24bf5c782ec97d177dd07ed0101b85499fdf552636d2,1f450b739234a6f04879736fba1bb4ff0bc27ec5f1cec25d30fef14635baca4e,bd6752a33b9d808577d17bdd008c1d006256a802951aad0a6a24d36eaad2fa04,68c7e8f25bb210855297c4c0bf14f0991301d2842f42681c7055e0ec434ab59f,999d80db16e1e834f17a4aee0158b1243c60c2e5c4b00ba3c8ff8d8fcb24e750,12ba17e287f00b3e8655ebe7f8984036760b7faa2a05eb9a182acde817d14acb,0f82f7758d07af8f185244d3509a3b2798579b4fb5ea8db4d6be83429f0adf10,ac4a9f6d31d97350cb076eaa8f5fb7640e015c1dc45a2a2dcd7b1518209946f6,6b9676b419b5303835281cb3bb4564fcc43471f3efc35adfec74093ac7130166,164505d93ab684cbd1ce3c85f163785927d2e1621c02d0ecc7a260215899f6bc
"96","0","0","0","0","110010012","8","11001","bgm_M06","90","0","0","101010103","-500","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","6","朱諾平原 1-1","110010013","0","0","101011","100023","-20","0","0","0","110010011","101581","0","0","0","101281","6","0","0","0","0","100022","211001000","101010102","101010104","110010011","100022","100050","bgm_M06","11001001","bgm_M06","bgm_M06","bgm_M06","100021"
"120","0","0","0","0","110010022","8","11001","bgm_M06","90","0","0","101010203","-330","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","朱諾平原 1-2","110010023","0","0","101251","100063","30","0","0","0","110010021","101551","0","0","0","101521","8","0","101010202","0","0","100062","211001000","101010203","101010202","110010021","100062","100010","bgm_M06","11001002","bgm_M06","bgm_M06","bgm_M06","100061"
"120","0","0","0","0","110010032","8","11001","bgm_M06","90","0","0","101010303","-220","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","朱諾平原 1-3","110010033","0","0","101161","100069","-100","0","0","0","110010031","101611","0","0","0","101431","8","0","0","0","0","100068","211001000","101010303","101010304","110010031","100068","100010","bgm_M06","11001003","bgm_M06","bgm_M06","bgm_M06","100067"
"120","0","0","0","0","110010042","8","11001","bgm_M06","90","0","0","101010403","-135","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","朱諾平原 1-4","110010043","0","0","101101","100113","30","0","0","0","110010041","101551","0","0","0","101371","8","0","0","0","0","100112","211001000","101010402","101010404","110010041","100112","100050","bgm_M06","11001004","bgm_M06","bgm_M06","bgm_M06","100111"
"120","0","0","0","0","110010052","8","11001","bgm_M06","90","0","0","101010504","-43","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","朱諾平原 1-5","110010053","0","0","101161","100074","-75","0","0","0","110010051","101011","0","0","0","101521","8","0","101010505","0","0","100073","211001000","101010504","101010503","110010051","100073","100010","bgm_M06","11001005","bgm_M06","bgm_M06","bgm_M06","100072"
"120","0","0","0","0","110010062","8","11001","bgm_M06","90","0","0","101010605","100","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","朱諾平原 1-6","110010063","0","0","101071","100113","-101","0","0","0","110010061","101401","0","0","0","101431","8","0","0","0","0","100112","211001000","101010601","101010606","110010061","100112","100050","bgm_M06","11001006","bgm_M06","bgm_M06","bgm_M06","100111"
"120","0","0","0","0","110010072","8","11001","bgm_M06","90","0","0","101010705","227","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","朱諾平原 1-7","110010073","0","0","101191","100113","-48","0","0","0","110010071","101611","0","0","0","101251","8","0","101010704","0","0","100112","211001000","101010705","101010706","110010071","100112","100050","bgm_M06","11001007","bgm_M06","bgm_M06","bgm_M06","100111"
"120","0","0","0","0","110010082","8","11001","bgm_M06","90","0","0","101010804","188","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","朱諾平原 1-8","110010083","0","0","101101","100079","70","0","0","0","110010081","122311","0","0","0","101281","8","0","0","0","0","100078","211001000","101010804","101010805","110010081","100078","100010","bgm_M06","11001008","bgm_M06","bgm_M06","bgm_M06","100077"
"120","0","0","0","0","110010092","8","11001","bgm_M06","90","0","0","101010905","360","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","朱諾平原 1-9","110010093","0","0","101131","100016","25","0","0","0","110010091","122371","0","0","0","101551","8","0","101010904","0","0","100015","211001000","101010902","101010906","110010091","100015","100020","bgm_M06","11001009","bgm_M06","bgm_M06","bgm_M06","100014"
"120","0","0","0","0","110010102","8","11001","bgm_M63","90","0","0","0","455","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M63","0","8","朱諾平原 1-10","110010103","0","9001105","101011","100359","-120","0","0","0","110010101","102611","0","0","0","101401","8","9001106","0","0","0","100358","211001000","0","101011001","110010101","100358","100020","bgm_M17","11001010","bgm_M17_02","bgm_M17_02","bgm_M17","100357"
"130","0","0","0","0","110020012","8","11002","bgm_M06","90","0","0","101020101","-470","2015/12/17 15:00:00","2030/12/31 14:59:59","bgm_M06","0","8","帕拉斯高原 2-1","110020013","0","0","102011","100033","-200","0","0","0","110020011","101011","0","0","0","101191","8","0","0","0","0","100032","211001000","101020106","101020105","110020011","100032","100010","bgm_M06","11002001","bgm_M06","bgm_M06","bgm_M06","100031"
