da46583bc08d7031770cd8f4769d1718a02c5b7f2627425b8fd4535b72b4d2d1,261825a8e6ea5a0edccfdae8d573e9d5b7724413af728ece2d5ae349776a685a,56f1c279c6599cb86c2e99c283f88b988877aea185d5295c1602dab2ef7cec41,56185e52725bd3fee3fb28c521317b613213243bed525bd22f9443c79fd01259,a36e6f1aa8151feb5ef33de347eaafd3902cb2012c2ccbb879b7bc41f7f7d188,e67966593699e75fe2c1f8ada79b35435cb01606541ec876811126c642dab37d,7a6b96383ce0b7a1ad8c2482b55420bf60b43ad1e581c91090ab16456ceac02b,18a39790d6dbdb293165e4dadf5378628e185317d75f2f5cb065f896ee628225,f8a547f8b8820578562c52f514707970a2d5e2db98b57830b038c9e1f175eb26,ad5dc843bb2bcb93b942c6cbfe2f8a9133c33e15ea60d2cf6456020710a49ad4,1559a3dd9ade33bfb9ae70c24d4ec291dfd540c8795bb46c6dc4bb9ba36e626b,0a42887223becf0bceea15b5d04f0d53852dedbf5d81c24172b165560a95140e,ffd2131a8d49b5524acdd381fa74217cf110263220f6d7599f5bb95e8ab73b1f,ada3267be325af1ca8794b7760aee766b6db350aec43992b9e1c1ce18e91c64b
"0","0","0","就算是我\n該做的時候還是會做的！","10040","1","102601","鈴","24001","2020/08/01 16:00:00","2030/12/17 14:59:59","0","1","24"
"0","1","0","呼…\n這樣子我的工作\n就結束了呢","10040","1","102601","鈴","24002","2020/08/01 16:00:00","2030/12/17 14:59:59","0","1","24"
"0","2","0","結束了結束了\n即使一個人\n也會有辦法的","10040","1","102601","鈴","24003","2020/08/01 16:00:00","2030/12/17 14:59:59","0","1","24"
"0","3","0","太棒了！\n這麼一來\n我終於可以偷懶了…","10040","2","102601","鈴","24004","2020/08/01 16:00:00","2030/12/17 14:59:59","0","2","24"
"0","4","0","想要吃起司的話\n就好好工作\n自己買來吃啦","10040","1","102601","鈴","24005","2020/08/01 16:00:00","2030/12/17 14:59:59","0","1","24"
"0","5","0","你們終於知道\n與我為敵的\n恐怖了吧！","10040","2","102601","鈴","24006","2020/08/01 16:00:00","2030/12/17 14:59:59","0","2","24"
"0","6","0","我意外地\n還蠻行的嘛？","10040","2","102601","鈴","24007","2020/08/01 16:00:00","2030/12/17 14:59:59","0","2","24"
"0","7","0","好累喔…\n老鼠逃跑的速度\n實在太快了啦…","10040","4","102601","鈴","24008","2020/08/01 16:00:00","2030/12/17 14:59:59","0","4","24"
"0","8","0","再這樣下去\n會被\n真陽罵的","10040","4","102601","鈴","24009","2020/08/01 16:00:00","2030/12/17 14:59:59","0","4","24"
"0","9","0","我明明\n就很認真做啊…\n真不甘心～","10040","4","102601","鈴","24010","2020/08/01 16:00:00","2030/12/17 14:59:59","0","4","24"
"0","10","0","被擺了一道…\n老鼠還真是意外的\n難纏啊","10040","4","102601","鈴","24011","2020/08/01 16:00:00","2030/12/17 14:59:59","0","4","24"
"0","11","0","你這傢伙～\n竟然敢偷\n我的起司～！","10040","4","102601","鈴","24012","2020/08/01 16:00:00","2030/12/17 14:59:59","0","4","24"
"0","12","0","好累喔…\n不過，下次\n我一定會守住的…","10040","1","102601","鈴","24013","2020/08/01 16:00:00","2030/12/17 14:59:59","1.81","4","24"
