7bf2c327f9bf1c8000a505b2145541dfe7b08f1a4055923ad7650aaac2191c2e,33525db1cb12b68c04eefd7bef3ce4e80b0a9b63b2b8104fdd2cd12e31fcfb1f,0702c8c6c635d69961cb3c7af007df131ee728cb5c0056f4a082b26ab1b39c31,481c5ab9195765fa8f028533f1022fd52eebecec91112a187f006860a610f396,53725820b9f24841efebcd4e87db1cd43cd37bcbdf5d9098987f6b86fc5714fb,407380308a798a9579de019c6f2b21745e0863846bb52461cde6e1df7562b9df,faf19c7c431205a3e2f75cfefdd583c66fe30c3ca5df2dca71d83cf864e75de8,c734a8a6bbdcc67cd09ada3a36b246ed08441bf5070c56b15ed11144bad0de95
"完成石像鬼（EASY）","110001","1","90110001","110001","111","70000","0"
"完成石像鬼（NORMAL）","110002","1","90110002","110001","112","70000","0"
"完成石像鬼（HARD）","110003","1","90110003","110001","113","70000","0"
"完成石像鬼（VERY HARD）","110004","1","90110004","110001","114","70000","0"
"完成石像鬼（EXTREME）","110005","1","90110005","110001","115","70000","0"
"完成法師石像鬼（EASY）","120001","1","90120001","110001","121","70000","0"
"完成法師石像鬼（NORMAL）","120002","1","90120002","110001","122","70000","0"
"完成法師石像鬼（HARD）","120003","1","90120003","110001","123","70000","0"
"完成法師石像鬼（VERY HARD）","120004","1","90120004","110001","124","70000","0"
"完成法師石像鬼（EXTREME）","120005","1","90120005","110001","125","70000","0"
"完成守衛石像鬼（EASY）","130001","1","90130001","110001","131","70000","0"
"完成守衛石像鬼（NORMAL）","130002","1","90130002","110001","132","70000","0"
"完成守衛石像鬼（HARD）","130003","1","90130003","110001","133","70000","0"
"完成守衛石像鬼（VERY HARD）","130004","1","90130004","110001","134","70000","0"
"完成守衛石像鬼（EXTREME）","130005","1","90130005","110001","135","70000","0"
"完成石像鬼‧炸裂（EASY）","140001","1","90140001","110001","141","70000","0"
"完成石像鬼‧炸裂（NORMAL）","140002","1","90140002","110001","142","70000","0"
"完成石像鬼‧炸裂（HARD）","140003","1","90140003","110001","143","70000","0"
"完成石像鬼‧炸裂（VERY HARD）","140004","1","90140004","110001","144","70000","0"
"完成石像鬼‧炸裂（EXTREME）","140005","1","90140005","110001","145","70000","0"
"完成石像鬼‧魔幻（EASY）","150001","1","90150001","110001","151","70000","0"
"完成石像鬼‧魔幻（NORMAL）","150002","1","90150002","110001","152","70000","0"
"完成石像鬼‧魔幻（HARD）","150003","1","90150003","110001","153","70000","0"
"完成石像鬼‧魔幻（VERY HARD）","150004","1","90150004","110001","154","70000","0"
"完成石像鬼‧魔幻（EXTREME）","150005","1","90150005","110001","155","70000","0"
