caa73ea950edb54a37382ea1f2dd4053288418b422db930ed62bf52f124bbbca,ab7395115a954d681d999f7fead7f3faa45ff1cdafd8e2471c22e3f98fb803ba,29623f5531a56e19e9189010e37b93aaf664723f14065eea05388c1210b02d7b,2ec902253ce7dce8e5c9cb0b367d428bd673dd5094d3fd6e82e58d8a9502bb23,db1b72c3c6281cd99376bb620a966bb2ad9f35c75ead265a28c3bee9a81328fa,dcc441ac9c330e0c779bb80a15ff9e4a371a00f97751a657050c12d3e4f3e298,e7b283129c422d02634e190f0a1eb00f43021745fdd8e6ba14731f5948765a87,308df63703d7cfb2554ac8d0b56b928ef191c202567f105d0f0180d9277e5d2b,e774b6bf67423e86d8a5ec8d20cd6d4b8ab8f74af20480e39541b5f72a3551a0,f40214b25ec8977fc406921116be3ea6e411f82f35dcd9c2df9bfe8dd7f18c44,a76783e61607692b2d977fb8b887ad45deaedc9cdd0ee6ba39f70ff3dc0aaf60
"5128071","0","0","0","8","25","10128","20070115","2","只有兩人的元旦日出","91002"
"5128072","5128071","0","0","8","25","10128","0","2","新家的必備條件","91002"
"5128073","5128072","0","0","8","25","10128","0","2","其實比誰都還要","91002"
"5128074","5128073","0","0","8","25","10128","0","2","想要一家人\n一起珍惜的事","91002"
"5128075","5128074","0","0","8","50","10128","0","2","誓約的諾言","91002"
"5128081","0","0","0","8","25","10128","20070115","3","染血的訂婚通知","91002"
"5128082","5128081","0","0","8","25","10128","0","3","漂泊之人的尋家路","91002"
"5128083","5128082","0","0","8","25","10128","0","3","珍愛時光","91002"
"5128084","5128083","0","0","8","25","10128","0","3","東國的\n家族文化","91002"
"5128085","5128084","0","0","8","50","10128","0","3","傳達真誠的愛","91002"
"5128091","5128075","0","5128085","0","0","10128","0","4","口頭約定是禍端","0"
"5128092","5128091","11001271","0","0","0","10128","0","4","不容退讓的家庭味道","0"
"5128161","0","0","0","0","0","10128","20070115","1","夢境說書人的邀請","0"
