c1f5464014d4a039240f553ee00c1cf556cd65dee744fa88f69e3de5d65775c5,2bb80566ea3b45d95020e7f3634030f10e52f48e1ebd39493609ad93865ed93e,fbcb6f5563e19ca5cecc02257318165d993b5bc3d2ee64fe760360c03ca89b1a,49698b168c21491e070c824b59a36263d0061525da22cdf0a9dd6ec3fb4168ea,549e06be1341bfa06e95f2efe65ab4d0f68dbd64e30c77db9e3aacb6294a39ee,4e097b7c97ddbcd28167462c3d6a7c03cfa76526cf3bf63b8f7c579c460445f0,3fe2c40dd2826248b434e64dd2e9c8de06923e2a7c51aac0cc772803b13eeee3,87435072a58ddb3412775edc4339febdbb451bcaca5d5e463108990491c2bc30,46231a1c3e5ec191cc22662c3069d2a805a04311ef202b446b1bb00d2726fdcd,74bc0c10dc6b79e01d6e5a75136e43ebbc8d599231bcb29311e1eddfbe3abcf4,0a0a45bcf93e8e4a5d964a18120c881cb87ff651cdc904d40eb8d76c93a71cfc,3b50b33664cd6add1510c180377dc97ca92f064f1fa326cde300ded597b9afa5,f97acc39e44bf4f8b73aabf94cf73f4a5c1a14baad1dd89656bbd56d3a9118c6,cfb84e4e49622c2f9ec9adf892bd969d40a4d568028ca44a794fd63de66e6c8b
"1001","101","0","0","201","51001001","0","","0","2030/04/01 14:59:59","402001","11001010","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001002","0","","0","2030/04/01 14:59:59","402001","11002012","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001003","0","","0","2030/04/01 14:59:59","402001","11003012","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001004","0","","0","2030/04/01 14:59:59","402001","11004013","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001005","0","","0","2030/04/01 14:59:59","402001","11005013","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001006","0","","0","2030/04/01 14:59:59","402001","11006014","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001007","0","","0","2030/04/01 14:59:59","402001","11007014","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001008","0","","0","2030/04/01 14:59:59","402001","11008015","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001009","0","","0","2030/04/01 14:59:59","402001","11009015","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001010","0","","0","2030/04/01 14:59:59","402001","11010017","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001011","0","","0","2030/04/01 14:59:59","402001","11011017","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001012","0","","0","2030/04/01 14:59:59","402001","11012017","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001013","0","","0","2030/04/01 14:59:59","402001","11013017","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001014","0","","0","2030/04/01 14:59:59","402001","11014014","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001015","0","","0","2030/04/01 14:59:59","402001","11015014","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001016","0","","0","2030/04/01 14:59:59","402001","11016014","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001017","0","","0","2030/04/01 14:59:59","402001","11017014","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001018","0","","0","2030/04/01 14:59:59","402001","11018014","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001019","0","","0","2030/04/01 14:59:59","402001","11019014","1","2015/04/01 15:00:00"
"1001","101","0","0","201","51001020","0","","0","2030/04/01 14:59:59","402001","11020014","1","2020/02/18 16:00:00"
"1001","101","0","0","201","51001021","0","","0","2030/04/01 14:59:59","402001","11021014","1","2020/02/18 16:00:00"
"1001","101","0","0","201","51001022","0","","0","2030/04/01 14:59:59","402001","11022014","1","2020/02/18 16:00:00"
"1001","101","0","0","201","51001023","0","","0","2030/04/01 14:59:59","402001","11023014","1","2020/02/18 16:00:00"
"1001","101","0","0","201","51001024","0","","0","2030/04/01 14:59:59","402001","11024014","1","2020/02/18 16:00:00"
"1003","102","0","0","201","51003001","0","","0","2030/04/01 14:59:59","403001","12001003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003002","0","","0","2030/04/01 14:59:59","403001","12002003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003003","0","","0","2030/04/01 14:59:59","403001","12003003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003004","0","","0","2030/04/01 14:59:59","403001","12004003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003005","0","","0","2030/04/01 14:59:59","403001","12005003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003006","0","","0","2030/04/01 14:59:59","403001","12006003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003007","0","","0","2030/04/01 14:59:59","403001","12007003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003008","0","","0","2030/04/01 14:59:59","403001","12008003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003009","0","","0","2030/04/01 14:59:59","403001","12009003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003010","0","","0","2030/04/01 14:59:59","403001","12010003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003011","0","","0","2030/04/01 14:59:59","403001","12011003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003012","0","","0","2030/04/01 14:59:59","403001","12012003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003013","0","","0","2030/04/01 14:59:59","403001","12013003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003014","0","","0","2030/04/01 14:59:59","403001","12014003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003015","0","","0","2030/04/01 14:59:59","403001","12015003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003016","0","","0","2030/04/01 14:59:59","403001","12016003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003017","0","","0","2030/04/01 14:59:59","403001","12017003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003018","0","","0","2030/04/01 14:59:59","403001","12018003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003019","0","","0","2030/04/01 14:59:59","403001","12019003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003020","0","","0","2030/04/01 14:59:59","403001","12020003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003021","0","","0","2030/04/01 14:59:59","403001","12021003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003022","0","","0","2030/04/01 14:59:59","403001","12022003","1","2015/04/01 15:00:00"
"1003","102","0","0","201","51003023","0","","0","2030/04/01 14:59:59","403001","12023003","1","2015/04/01 15:00:00"
