70ba4702380c532f34dc27e5ff7ba1e3d3e3b0afa21cd5d613484e11c90178ed,6214e1963996be9e05029c28adcf2ffaabb49f327c2a60dbf72e3c2d49754dfd,a7343ae2495c69bef8607bc4ae9090d30c89bb7de9d0a984b2b38d30a028583b,c87d77cf9efd950b6e411c94e667563c88ec418ff721fa8aec0c5da20ce0c6a5,4cb58e5e0647c62dd6fe26daadf18a2635942a84794324c1688ddabc5cc816e7,269f4207b2e9aeb66b6b6f6919bfffc3c8d439a4af798042ad1d7b223dcd4b88,8dee347ce41c251f44fb82cd53f2dbf0d493dab24bc8d04aded45c515a2b7eb0
"0.8","0","0.8","100721","300900","31001","-10"
"0.7","0","0.7","100722","302300","31002","-40"
"0.8","0","0.8","100261","302400","31003","-40"
"0.9","0","0.9","100283","302500","31004","-20"
"0.9","0","0.9","101611","301700","31005","-10"
"0.7","0","0.7","102174","310100","31006","-40"
"0.3","-80","0.3","102751","399800","31007","-60"
"0.9","-20","0.9","103001","314901","31008","20"
"0.7","30","0.7","103232","318405","31009","-110"
"1","0","1","103371","320100","31010","-10"
