5e8b2f77bf0aa53a3f15b7ef5c555464a2559d169118129b4cfe76886b14d380,2f1d70f1fc899dcf402d92a4fc9fe274b9ed9c6da43636e367fd4f15ecabefc4,0d230db5928b410db6ef902f28d489a49d85a9a3f3422ef0d833eb47fafdb41c,09f960a1dec3810e020394981291f885e4187a0e37d67e52fa68a4b017d24f0d,6ffd5043ebd1890a4aecdcc8dc6af9070a63264792f0eb407fac0881b793d91a,4839b7ff389ff730b659b7daee127fc244611d7935964b8526700e644e0762a1,7fbad3549a4f38b5806448c706f7ee4614b7080c34395de66b1abfebd888a4d5,b84b5fad410bfd8473fd3d3e735256b8d53ff799d108a1e9d348f52ae488513f,fcbc311d30a300d0f53e2ad432b2843c783feef8f9a2b557b6c11373c450484c,5b31e9c598f86f5043d7929e6ad31bf4af1ede5ff40c37553fbbcd62e1b12707,58dc26dbaf4f1a51ca3daa22e51f7cd873914810c301edd2c04af68a9a2cb412,d87ffc7d879cd681a417b958270eb8abf9804f9ae4e0ce02dacaf9472ab27db5,032de4d6102acca49106ec811c11e773318eb17ccf25089dc4eac9bfe7ab4b74,c3612a8930c2083bfff4ad3b87a8162e3f6392ae753e6bccf0d4c36603bba76c
"0","2023/11/01 16:00:00","1","-470","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","2024/01/16 15:59:59","2","1.47","2002","1","1","克蘿茜","10001","126401"
"0","2023/11/01 16:00:00","2","-470","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","2024/01/16 15:59:59","1","2.15","2002","2","1","克蘿茜","10002","126401"
"0","2023/11/01 16:00:00","2","-470","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","2024/01/16 15:59:59","2","0","2002","1","1","萊拉耶爾","10003","126501"
"0","2023/11/01 16:00:00","1","-470","還請在此商店\n購買東西，\n享受愉快的旅途吧","2024/01/16 15:59:59","1","0","2002","2","1","萊拉耶爾","10004","126501"
"0","2024/01/16 16:00:00","2","-470","歡迎光臨\n可以利用巡遊幣\n來買東西喔","2024/04/23 15:59:59","2","0","2002","1","2","琳德","10005","127702"
"0","2024/01/16 16:00:00","2","-470","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","2024/04/23 15:59:59","2","0","2002","2","2","琳德","10006","127702"
"0","2024/01/16 16:00:00","1","-470","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","2024/04/23 15:59:59","1","0","2002","1","2","烏爾姆","10007","127802"
"0","2024/01/16 16:00:00","2","-470","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","2024/04/23 15:59:59","1","6.5","2002","2","2","烏爾姆","10008","127802"
"0","2024/04/16 16:00:00","2","-470","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","2024/07/23 15:59:59","1","0","2002","1","3","安涅默涅","10009","129602"
"0","2024/04/16 16:00:00","2","-470","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","2024/07/23 15:59:59","1","0","2002","2","3","安涅默涅","10010","129602"
