7f2b7dd237e5f1b78f609d86d3a790dcdf067fc2894fd48686d0d1f2a569fba7,328e4b1652607b54f22ed46c0956a6f5b18a8597687afac20c17182906109095,8695a2f68da8c2fca4640d1a62c6565476f03d664d90a59793bce4ed87ab0a7a,e4386791777ed0e6276efc65114089d981d59e0747f1eeb5efb2261e08924ea0,945ed6b8e327425333790db1238ee835a90c2c349e43edda8a53d24e9525fd01,f5957da7b5540a0da6406dab20958b49aa5f0463ca9a40ca1861fa1ee2a6bcda,49f07d5821c9fa9fbd6005c95a9c97a89eb0aeb77946203484936b0c004f6089,2607f14cfcd9168ddf10a676419978a6ef03d4ea98d2e642498cac0852abd7dc,aee89d83405ea540e48c5699cad152fba217ea46252d45f2041336c32f908049,f4018cff6b6d65a5c2cfa27ba863ff5dc6a5ed5c5d33e78675b814da65f8dc8b,49503eb8a5e6e98cc8623779c8e9eef21c35a05c7e6f712420a70c17c0f0af6b
"8","5128071","0","2","0","91002","25","只有兩人的元旦日出","10157107","0","10128"
"8","5128072","0","2","0","91002","25","新家的必備條件","0","5128071","10128"
"8","5128073","0","2","0","91002","25","其實比誰都還要","0","5128072","10128"
"8","5128074","0","2","0","91002","25","想要一家人\n一起珍惜的事","0","5128073","10128"
"8","5128075","0","2","0","91002","50","誓約的諾言","0","5128074","10128"
"8","5128081","0","3","0","91002","25","染血的訂婚通知","10157107","0","10128"
"8","5128082","0","3","0","91002","25","漂泊之人的尋家路","0","5128081","10128"
"8","5128083","0","3","0","91002","25","珍愛時光","0","5128082","10128"
"8","5128084","0","3","0","91002","25","東國的\n家族文化","0","5128083","10128"
"8","5128085","0","3","0","91002","50","傳達真誠的愛","0","5128084","10128"
"0","5128091","5128085","4","0","0","0","口頭約定是禍端","0","5128075","10128"
"0","5128092","0","4","11001271","0","0","不容退讓的家庭味道","0","5128091","10128"
"0","5128161","0","1","0","0","0","夢境說書人的邀請","10157107","0","10128"
