308b7b25889033d139f88e29024aa60a2882063b7932c049060e8d8298aa1674,96c598c423d509961537c3910cb8770656d9000b13dd0a19b4b77d77849fec6c,9b1bc23e1e21d00599149bdb1f6d56dfbcec53fe303ce9b4632bc2e688bf6b8d,7753298df78b27fa5c226796c7adfb2976ccf25e12a78e66daa0fc73d1ab9d34,69b661bf24a86fcaa92878dc080d546bf791074524d83904b0681ee92a49eef7,c8795cc2b00cc5b02084974c4d2f9bc7a9d8f21e10f15e3413a04b48a836116f,f75e076376996ca2f17b8b2ca9dc0a9e2e15459ffc79e5b2d186a1c2896699b8,8dfe68fd1a6df52f9b030180b8f0e18d228d7de2e958e4665c424c49eac4cb73,e36c22d7a765fe8aa9814413f70532840c8cf70a37b66262e463c831e4b4233e,462cf9e74cadbe8f0bcad94095b47434b4e2ef2c708e60869f9e8f6717ccedfd,71ccc5a5d2d6b9b139f15926b5b24831c03c2130108c3620fce8539287555f6e,67e357b3de3f47a469b875ef4905700ed5e147298dabf3a6fc33f87e38c274c2,c2ba2d90f18def309370f1df2730976297b0e3ca450ef8083cff88e98deb4925,25bc836d92139c447bb59c22a838975b0e692425dc222e35c9338bd13047d702
"1","0","1","-1","-1","0","-1","1","-1","-1","-1","180","19","180"
"2","0","1","-1","-1","0","-1","1","-1","-1","-1","180","19","180"
"3","0","1","-1","-1","0","-1","1","-1","-1","-1","180","19","180"
"4","0","0","-1","-1","0","-1","1","-1","-1","-1","180","19","180"
"5","0","1","-1","-1","0","-1","1","-1","-1","-1","180","19","180"
"6","0","1","-1","-1","0","-1","1","-1","-1","-1","180","19","180"
"7","0","1","-1","-1","0","-1","1","-1","-1","-1","180","19","180"
"8","0","1","-1","-1","0","-1","1","-1","-1","-1","180","19","180"
"9","0","1","-1","-1","0","-1","1","-1","-1","-1","215","23","215"
"10","0","1","-1","-1","0","-1","1","-1","-1","-1","215","23","215"
"11","0","0","-1","-1","0","-1","1","-1","-1","-1","215","23","215"
"12","0","1","-1","-1","0","-1","1","-1","-1","-1","215","23","215"
"13","0","1","-1","-1","0","-1","1","-1","-1","-1","215","23","215"
"14","0","1","-1","-1","0","-1","1","-1","-1","-1","215","23","215"
"15","0","1","-1","-1","0","-1","1","-1","-1","-1","215","23","215"
"16","0","1","-1","-1","0","-1","1","-1","-1","-1","215","23","215"
"17","0","1","-1","-1","0","-1","1","-1","-1","-1","250","26","250"
"18","0","0","-1","-1","0","-1","1","-1","-1","-1","250","26","250"
"20","0","1","-1","-1","0","-1","1","-1","-1","-1","250","26","250"
"21","0","1","-1","-1","0","-1","1","-1","-1","-1","250","26","250"
"22","0","1","-1","-1","0","-1","1","-1","-1","-1","250","26","250"
"23","0","0","-1","-1","0","-1","1","-1","-1","-1","260","28","260"
"24","0","1","-1","-1","0","-1","1","-1","-1","-1","250","26","250"
"25","0","1","-1","-1","0","-1","1","-1","-1","-1","250","26","250"
"26","0","0","-1","-1","0","-1","1","-1","-1","-1","280","29","280"
"27","0","1","-1","-1","0","-1","1","-1","-1","-1","280","29","280"
"28","0","1","-1","-1","0","-1","1","-1","-1","-1","280","29","280"
