186b726af10003cb19d3f5849ea52e1e8a583b0d6c2835d03dbd58302910391c,f04b62c96a485f1ae9dc303b0183a807d265a74ded8edd6b33b6027609044b00,b92de49c2b6b0f2f0bc10dd9b8cc9e96cbdd695ee658c6daad0ea655c6ee4e19,44da535a5f5ac574081d4ceb74551ad6ea238b8bc12dffe60505c624c732d8c8,9c1c60fdddbafd7c3c23fee66acfa808c1463fade0472d592a8a23605cf0fab9,7e5d8bd6451ea27e4ed219d6b6ad0c4fac6685f7d7a507356ff03852be3f4aac
"10201001","10201","5201083","2","201","5"
"10213001","10213","5213062","2","1021301","3"
"10213002","10213","1021301","3","5213063","2"
"10213003","10213","5213064","2","1021302","3"
"10213004","10213","1021302","3","5213065","2"
"10213005","10213","5213066","2","1021303","3"
"10213006","10213","1021303","3","5213067","2"
"10213007","10213","5213068","2","1021304","3"
"10213008","10213","1021304","3","5213069","2"
"10213009","10213","5213070","2","1021305","3"
"10213010","10213","1021305","3","5213071","2"
"10213011","10213","5213072","2","1021306","3"
"10213012","10213","1021306","3","5213073","2"
"10213013","10213","5213074","2","1021307","3"
"10213014","10213","1021307","3","5213075","2"
"10213015","10213","5213076","2","1021311","3"
"10213016","10213","1021311","3","5213077","2"
"10213017","10213","5213078","2","1021312","3"
"10213018","10213","1021312","3","5213079","2"
"10213019","10213","5213080","2","1021313","3"
"10213020","10213","1021313","3","5213081","2"
"10213021","10213","5213082","2","1021314","3"
"10213022","10213","1021314","3","5213083","2"
"10213023","10213","5213084","2","1021315","3"
"10213024","10213","1021315","3","5213085","2"
"10213025","10213","5213086","2","1021316","3"
"10213026","10213","1021316","3","5213087","2"
"10213027","10213","5213088","2","1021317","3"
"10213028","10213","1021317","3","5213089","2"
"10213029","10213","5213090","2","1021321","3"
"10213030","10213","1021321","3","5213091","2"
"10213031","10213","5213092","2","1021322","3"
"10213032","10213","1021322","3","5213093","2"
"10213033","10213","5213094","2","1021323","3"
"10213034","10213","1021323","3","5213095","2"
"10213035","10213","5213096","2","1021324","3"
"10213036","10213","1021324","3","5213097","2"
"10213037","10213","5213098","2","1021325","3"
"10213038","10213","1021325","3","5213099","2"
"10213039","10213","5213100","2","1021326","3"
"10213040","10213","1021326","3","5213101","2"
"10213041","10213","5213102","2","1021327","3"
"10213042","10213","1021327","3","5213103","2"
