e69694bbed3703ccf351db40034ef2f75c5e6a7e05309ace15d0cc56f54ded93,fdb47db4d8b2871a4fed21a6e1d2c4432965a1584ebaf40fbe6ce7191ca54cdb,45e76a47311f8a59fc6cf6e790bd26fe17fc04dbb95b5d99eb9d4ca05369c0cf,d727f26b90d64181f3bc465ddf90ed21e3b27a33db165b22f830c829b00e5bb2,645e219a3671772f51b0b42cb4f13b061d8231b5c2bfcf1ca8de18b0650a2520,65c2b73fdccd14368e40f2e3119ff7a294f29f864ded4345ca0ace684d3db752
"10011","0","0","0","100111","100112"
"10012","100124","100125","100123","100121","100122"
"10013","100134","100135","100133","100131","100132"
"10021","0","0","0","100211","0"
"10022","0","0","0","100221","0"
"10023","0","0","0","100231","100232"
"10031","0","0","0","100311","0"
"10032","0","0","0","100321","0"
"10033","100334","100335","100333","100331","100332"
"10041","0","0","0","100411","100412"
"10042","0","0","0","100421","100422"
"10043","0","0","0","100431","100432"
"10051","0","0","0","100511","0"
"10052","100524","100525","100523","100521","100522"
"10053","100534","100535","100533","100531","100532"
"11001","0","0","0","110011","0"
"11002","0","0","0","110021","0"
"11003","0","0","0","110031","0"
"11004","0","0","0","110041","0"
"11005","0","0","0","110051","0"
"12001","0","0","0","120011","0"
"12002","0","0","0","120021","0"
"12003","0","0","0","120031","0"
"12004","0","0","0","120041","0"
"12005","0","0","0","120051","0"
"13001","0","0","0","130011","0"
"13002","0","0","0","130021","130022"
"13003","0","0","0","130031","0"
"13004","0","0","0","130041","130042"
"13005","0","0","0","130051","0"
"14001","0","0","0","140011","0"
"14002","0","0","0","140021","0"
"14003","0","0","0","140031","0"
"14004","0","0","0","140041","140042"
"14005","0","0","0","140051","140052"
"15001","0","0","0","150011","0"
"15002","0","0","0","150021","0"
"15003","150034","150035","150033","150031","150032"
"15004","150044","150045","150043","150041","150042"
"15005","0","0","0","150051","0"
"21001","0","0","0","210011","0"
"21002","0","0","0","210021","0"
"21003","0","0","0","210031","0"
"21004","0","0","0","210041","0"
"21005","0","0","0","210051","0"
"22001","0","0","0","220011","0"
"22002","0","0","0","220021","0"
"22003","0","0","0","220031","0"
"22004","0","0","0","220041","0"
"22005","0","0","0","220051","0"
"23001","0","0","0","230011","0"
"23002","0","0","0","230021","230022"
"23003","0","0","0","230031","0"
"23004","0","0","0","230041","230042"
"23005","0","0","0","230051","0"
"24001","0","0","0","240011","0"
"24002","0","0","0","240021","0"
"24003","0","0","0","240031","0"
"24004","0","0","0","240041","240042"
"24005","0","0","0","240051","240052"
"25001","0","0","0","250011","0"
"25002","0","0","0","250021","0"
"25003","250034","250035","250033","250031","250032"
"25004","250044","250045","250043","250041","250042"
"25005","0","0","0","250051","0"
"30001","0","0","0","300011","0"
"31001","0","0","0","310011","0"
"31002","0","0","0","310021","0"
"31003","0","0","0","310031","0"
"31004","0","0","0","310041","0"
"31005","0","0","0","310051","0"
"31006","0","0","0","310061","0"
"32001","0","0","0","320011","0"
"32002","0","0","0","320021","0"
"32003","0","0","0","320031","0"
"32004","0","0","0","320041","0"
"32005","0","0","0","320051","0"
"32006","0","0","0","320061","0"
"33001","0","0","0","330011","0"
"33002","0","0","0","330021","330022"
"33003","0","0","0","330031","0"
"33004","0","0","0","330041","330042"
"33005","0","0","0","330051","0"
"33006","0","0","0","330061","330062"
"34001","0","0","0","340011","0"
"34002","0","0","0","340021","0"
"34003","0","0","0","340031","0"
"34004","0","0","0","340041","340042"
"34005","0","0","0","340051","340052"
"34006","0","0","0","340061","0"
"35001","0","0","0","350011","0"
"35002","0","0","0","350021","0"
"35003","350034","350035","350033","350031","350032"
"35004","350044","350045","350043","350041","350042"
"35005","0","0","0","350051","0"
"35006","0","0","0","350061","0"
"40001","0","0","400013","400011","400012"
"40002","0","0","0","400021","0"
"40003","0","0","0","400031","0"
"40004","400044","0","400043","400041","400042"
"40005","0","0","0","400051","0"
"50001","0","0","0","500011","500012"
"50002","0","0","0","500021","0"
"50003","0","0","0","500031","0"
"50004","0","0","0","500041","0"
"50005","0","0","0","500051","0"
