1814f73b5826be447a80415afe410fc10863e2130cb2d975eb5e1977600ea5ac,906fd5793c4924ad876c3cb558a5bc480f69d6f0ac096ce42d1ca3b02d41e956,b698d47fe591aebbcff6467e63f7eb5e63043f906764d0e95e8b9de81b8e134f,d33ba51e489ad9908d4a9c3c9e29d81cd3b6697d2cc38928cf6732a49dfca82b,1dddb8ce8ba4e5b356c2306452a5a0727b53140d61ce3af69a193bf8b4a7535d,f1702d2206b76c77e0d01171e3381b794c221235cfa9cc9ddd01031f8df1bcc3,e86bce1895830710960a8ca7469ae03c16700977bfd58c8d4f935819ef1e08a3
"3","0","1","獲得料理活動","0","0","1"
"1","0","2","獲得骰子活動1","0","0","2"
"2","0","2","獲得骰子活動2","0","0","3"
"0","0","3","跳過計算回合數","3","1","4"
"100","1","4","里程+100%","2","0","5"
"100","1","5","小遊戲里程+100%","2","0","6"
"300","1","6","商店打折活動","3","0","7"
"300","1","6","商店打折活動","3","0","8"
"0","0","3","跳過計算回合數1","3","2","98001"
"0","0","3","跳過計算回合數1","3","1","98011"
"0","0","3","跳過計算回合數2","3","2","98012"
