1dddb8ce8ba4e5b356c2306452a5a0727b53140d61ce3af69a193bf8b4a7535d,e86bce1895830710960a8ca7469ae03c16700977bfd58c8d4f935819ef1e08a3,906fd5793c4924ad876c3cb558a5bc480f69d6f0ac096ce42d1ca3b02d41e956,1814f73b5826be447a80415afe410fc10863e2130cb2d975eb5e1977600ea5ac,f1702d2206b76c77e0d01171e3381b794c221235cfa9cc9ddd01031f8df1bcc3,d33ba51e489ad9908d4a9c3c9e29d81cd3b6697d2cc38928cf6732a49dfca82b,b698d47fe591aebbcff6467e63f7eb5e63043f906764d0e95e8b9de81b8e134f
"0","1","0","3","0","獲得料理活動","1"
"0","2","0","1","0","獲得骰子活動1","2"
"0","3","0","2","0","獲得骰子活動2","2"
"3","4","0","0","1","跳過計算回合數","3"
"2","5","1","100","0","里程+100%","4"
"2","6","1","100","0","小遊戲里程+100%","5"
"3","7","1","300","0","商店打折活動","6"
"3","8","1","300","0","商店打折活動","6"
"3","98001","0","0","2","跳過計算回合數1","3"
"3","98011","0","0","1","跳過計算回合數1","3"
"3","98012","0","0","2","跳過計算回合數2","3"
