3f54e08ecb204f69cd5c7b6b6a3a055f3fb8f785bcce897b0ae796c94923f755,e12e312a5e5d0cdec6578a8aa6f03e6d41ecd8ff56e4463d87e7dca5e110b508,f7a5e9c5eee15d6a54a3288ad54b31aaf7e6b1bfe2430724a28661301deb1e3e,2b802eb8c2f4f736b63e0548377f1350979f3bc1fc7f5d88536388b74324b544,b1096ace5df32966d7a29b75e27f90aec0829928e8c4c4873d7a6a2c1ea04134,8f7f9fe453b5a83c3ee8208d6b40697637071eedb79e72534fbaf5b975fac26b,a5f347e4d0a9b2091d8d7255c17b486a1cf280a23ad4d40509b908f542ada681
"810100101","810010011","810100103","810100104","810100105","1","810100102"
"810100201","810010021","810100203","810100204","810100205","2","810100202"
"810100301","810010031","810100303","810100304","810100305","3","810100302"
"810100401","810010041","810100403","810100404","810100405","4","810100402"
"810100501","810010051","810100503","810100504","810100505","5","810100502"
"810100601","810010061","810100603","810100604","810100605","6","810100602"
"810100701","810010071","810100703","810100704","810100705","7","810100702"
"810100801","810010081","810100803","810100804","810100805","8","810100802"
"810100901","810010091","810100903","810100904","810100905","9","810100902"
"810101001","810010101","0","0","0","10","0"
"810101101","810010111","810101103","810101104","810101105","11","810101102"
"810101201","810010121","810101203","810101204","810101205","12","810101202"
"810101301","810010131","810101303","810101304","810101305","13","810101302"
"810101401","810010141","810101403","810101404","810101405","14","810101402"
"810101501","810010151","810101503","810101504","810101505","15","810101502"
"810101601","810010161","810101603","810101604","810101605","16","810101602"
"810101701","810010171","810101703","810101704","810101705","17","810101702"
"810101801","810010181","810101803","810101804","810101805","18","810101802"
"810101901","810010191","810101903","810101904","810101905","19","810101902"
"810102001","810010201","0","0","0","20","0"
"810102101","810010211","810102103","810102104","810102105","21","810102102"
"810102201","810010221","810102203","810102204","810102205","22","810102202"
"810102301","810010231","810102303","810102304","810102305","23","810102302"
"810102401","810010241","810102403","810102404","810102405","24","810102402"
"810102501","810010251","810102503","810102504","810102505","25","810102502"
"810102601","810010261","810102603","810102604","810102605","26","810102602"
"810102701","810010271","810102703","810102704","810102705","27","810102702"
"810102801","810010281","810102803","810102804","810102805","28","810102802"
"810102901","810010291","810102903","810102904","810102905","29","810102902"
"810103001","810010301","0","0","0","30","0"
"810103101","810010311","810103103","810103104","810103105","31","810103102"
"810103201","810010321","810103203","810103204","810103205","32","810103202"
"810103301","810010331","810103303","810103304","810103305","33","810103302"
"810103401","810010341","810103403","810103404","810103405","34","810103402"
"810103501","810010351","810103503","810103504","810103505","35","810103502"
"810103601","810010361","810103603","810103604","810103605","36","810103602"
"810103701","810010371","810103703","810103704","810103705","37","810103702"
"810103801","810010381","810103803","810103804","810103805","38","810103802"
"810103901","810010391","810103903","810103904","810103905","39","810103902"
"810104001","810010401","0","0","0","40","0"
"810104101","810010411","810104103","810104104","810104105","41","810104102"
"810104201","810010421","810104203","810104204","810104205","42","810104202"
"810104301","810010431","810104303","810104304","810104305","43","810104302"
"810104401","810010441","810104403","810104404","810104405","44","810104402"
"810104501","810010451","810104503","810104504","810104505","45","810104502"
"810104601","810010461","810104603","810104604","810104605","46","810104602"
"810104701","810010471","810104703","810104704","810104705","47","810104702"
"810104801","810010481","810104803","810104804","810104805","48","810104802"
"810104901","810010491","810104903","810104904","810104905","49","810104902"
"810105001","810010501","0","0","0","50","0"
"820100101","820010011","820100103","820100104","820100105","51","820100102"
"820100201","820010021","820100203","820100204","820100205","52","820100202"
"820100301","820010031","820100303","820100304","820100305","53","820100302"
"820100401","820010041","820100403","820100404","820100405","54","820100402"
"820100501","820010051","820100503","820100504","820100505","55","820100502"
"820100601","820010061","820100603","820100604","820100605","56","820100602"
"820100701","820010071","820100703","820100704","820100705","57","820100702"
"820100801","820010081","820100803","820100804","820100805","58","820100802"
"820100901","820010091","820100903","820100904","820100905","59","820100902"
"820101001","820010101","0","0","0","60","0"
"820101101","820010111","820101103","820101104","820101105","61","820101102"
"820101201","820010121","820101203","820101204","820101205","62","820101202"
"820101301","820010131","820101303","820101304","820101305","63","820101302"
"820101401","820010141","820101403","820101404","820101405","64","820101402"
"820101501","820010151","820101503","820101504","820101505","65","820101502"
"820101601","820010161","820101603","820101604","820101605","66","820101602"
"820101701","820010171","820101703","820101704","820101705","67","820101702"
"820101801","820010181","820101803","820101804","820101805","68","820101802"
"820101901","820010191","820101903","820101904","820101905","69","820101902"
"820102001","820010201","0","0","0","70","0"
"820102101","820010211","820102103","820102104","820102105","71","820102102"
"820102201","820010221","820102203","820102204","820102205","72","820102202"
"820102301","820010231","820102303","820102304","820102305","73","820102302"
"820102401","820010241","820102403","820102404","820102405","74","820102402"
"820102501","820010251","820102503","820102504","820102505","75","820102502"
"820102601","820010261","820102603","820102604","820102605","76","820102602"
"820102701","820010271","820102703","820102704","820102705","77","820102702"
"820102801","820010281","820102803","820102804","820102805","78","820102802"
"820102901","820010291","820102903","820102904","820102905","79","820102902"
"820103001","820010301","0","0","0","80","0"
"820103101","820010311","820103103","820103104","820103105","81","820103102"
"820103201","820010321","820103203","820103204","820103205","82","820103202"
"820103301","820010331","820103303","820103304","820103305","83","820103302"
"820103401","820010341","820103403","820103404","820103405","84","820103402"
"820103501","820010351","820103503","820103504","820103505","85","820103502"
"820103601","820010361","820103603","820103604","820103605","86","820103602"
"820103701","820010371","820103703","820103704","820103705","87","820103702"
"820103801","820010381","820103803","820103804","820103805","88","820103802"
"820103901","820010391","820103903","820103904","820103905","89","820103902"
"820104001","820010401","0","0","0","90","0"
"820104101","820010411","820104103","820104104","820104105","91","820104102"
"820104201","820010421","820104203","820104204","820104205","92","820104202"
"820104301","820010431","820104303","820104304","820104305","93","820104302"
"820104401","820010441","820104403","820104404","820104405","94","820104402"
