20428a8cd5c864c942d5dd58a22b510d53cc4fbf079894e713241c986db13e29,f4a26500e19aaae6b6b801b64dde683c72b19b8ee19af547af9a6b9d0d4887ab,3342e1eaf616d458d772c07a767b047009d7e0effd5a69dd2d07ec0f96fc375d,93d3200f755e7923d5bfa20a6ce09132d42e7ab93cf1d0ebd4d381de91b67ec0,78c52fe485284f5b4966d701a6d49f814ec97c2d61842bd8cd233111dd96b4a9
"1","3","2","10201","1"
"2","3","2","10202","2"
"3","3","2","10203","3"
"4","10","2","10301","4"
"5","10","2","10302","5"
"6","10","2","10303","6"
"7","10","2","10304","7"
"8","20","2","10401","8"
"9","20","2","10402","9"
"10","20","2","10403","10"
"11","20","2","10404","11"
"12","20","2","10405","12"
"13","20","2","10406","13"
"14","20","2","10407","14"
"15","20","2","10408","15"
"16","20","2","10409","16"
"1","3","1","10701","17"
"2","3","1","10601","18"
"3","3","1","10602","19"
"4","3","1","10603","20"
"5","3","1","10604","21"
"6","10","1","11301","22"
"7","10","1","11302","23"
"8","10","1","11303","24"
"9","20","1","11401","25"
"10","20","1","11402","26"
"11","20","1","11403","27"
"12","20","1","11601","28"
"13","20","1","11602","29"
"14","20","1","11603","30"
"15","20","1","11604","31"
"16","20","1","11605","32"
"17","20","1","11606","33"
"18","20","1","11101","34"
"19","20","1","11102","35"
"20","20","1","11103","36"
"21","20","1","11701","37"
"22","20","1","11702","38"
"23","20","1","11703","39"
"1","3","3","10501","40"
"2","3","3","10502","41"
"3","3","3","10503","42"
"4","10","3","11201","43"
"5","10","3","10801","44"
"6","10","3","10802","45"
"7","10","3","10803","46"
"8","10","3","10804","47"
"9","20","3","10901","48"
"10","20","3","10902","49"
"11","20","3","10903","50"
"12","20","3","10904","51"
"13","20","3","11001","52"
"14","20","3","11002","53"
"15","20","3","11003","54"
"16","20","3","11501","55"
"17","20","3","11502","56"
"18","20","3","11503","57"
"19","20","3","11504","58"
"20","20","3","11505","59"
"21","20","3","11506","60"
