12595658e0ace2da8e9a2bb529d78b5e245cf1b9dbcb0c16cba776e181c4ba46,f50ccf1c5213a752f7b8fe9b48adfca58cdf879b5c40997b350eeafaee617bee,7ecbd098e34e8d411a1ad7c6e52daffaa21903563f09cbab1266a090c55575d8,a85e5c82dd0c2984874cb7a204760d9ba4cda784655d1edee12f0f736ad25817,78508224def46a4d04eb3dab725840c74ce1a0aace98d35ec8d2f1697c3f8c5d,6b76de29793167c94fedc37dfbc05d9db2870ac18f3020acbb9f0560fd8e69d1,c509fedc4ad89c66deb4950bc9bee886b5480a707f14d98b09ad13087a50663b,2a46939fdc47bef19ee6fd1a8c997d2d3a3283f06be17f84fa3d206a9c34f1b5,5ab16c2af3f3898d8a6cd3d25297600cf1d70c0e8dc717321fa64e89df15da4f,a9a687eb0c10d53d2758f46311029d98747b91b8ab4fa1a4433af2855cea61a9,1997780d4e3fc66a6615868744f81628b9bb1fbb9f9f3d36402a43a750c9572a,574fa4962557be09ed2b64fcd04662b7b80fe0fdf40bab699b6db5f830583ce6,3000cb744689b9ec1eb4cb638e91773b99a9993e0db270bafd8c7e3d84030e25,4710a73823b594c986aa3f2b8775831832c737089e237ca9739f717bda3c31e9
"7","1","1","1","30","1001","1","6","4","1","1","-1","1","30"
"11","1","1","1","60","1002","1","6","31","1","1","-1","1","60"
"15","1","1","1","90","1003","1","6","61","1","1","-1","1","90"
"19","1","1","1","120","1004","1","6","91","1","1","-1","1","120"
"23","1","1","1","150","1005","1","6","121","1","1","-1","1","150"
"27","1","1","1","180","1006","1","6","151","1","1","-1","1","180"
"29","1","1","1","210","1007","1","6","181","1","1","-1","1","210"
"31","1","1","1","240","1008","1","6","211","1","1","-1","1","240"
"31","1","1","1","270","1009","1","6","241","1","1","-1","1","270"
"31","1","1","1","300","1010","1","6","271","1","1","-1","1","300"
"31","1","1","1","-1","1011","1","6","301","1","1","-1","1","310"
"7","1","1","1","30","1101","1","5","4","1","2","-1","1","30"
"11","1","1","1","60","1102","1","5","31","1","2","-1","1","60"
"15","1","1","1","90","1103","1","5","61","1","2","-1","1","90"
"19","1","1","1","120","1104","1","5","91","1","2","-1","1","120"
"23","1","1","1","150","1105","1","5","121","1","2","-1","1","150"
"27","1","1","1","180","1106","1","5","151","1","2","-1","1","180"
"29","1","1","1","210","1107","1","5","181","1","2","-1","1","210"
"31","1","1","1","240","1108","1","5","211","1","2","-1","1","240"
"31","1","1","1","270","1109","1","5","241","1","2","-1","1","270"
"31","1","1","1","300","1110","1","5","271","1","2","-1","1","300"
"31","1","1","1","-1","1111","1","5","301","1","2","-1","1","310"
"7","1","1","1","30","1201","1","5","4","1","3","-1","1","-1"
"11","1","1","1","60","1202","1","5","31","1","3","-1","1","-1"
"15","1","1","1","90","1203","1","5","61","1","3","-1","1","-1"
"19","1","1","1","120","1204","1","5","91","1","3","-1","1","-1"
"23","1","1","1","150","1205","1","5","121","1","3","-1","1","-1"
"27","1","1","1","180","1206","1","5","151","1","3","-1","1","-1"
"29","1","1","1","210","1207","1","5","181","1","3","-1","1","-1"
"31","1","1","1","240","1208","1","5","211","1","3","-1","1","-1"
"31","1","1","1","270","1209","1","5","241","1","3","-1","1","-1"
"31","1","1","1","300","1210","1","5","271","1","3","-1","1","-1"
"31","1","1","1","-1","1211","1","5","301","1","3","-1","1","-1"
"7","1","1","1","30","1301","1","5","4","1","4","-1","1","30"
"10","1","1","1","60","1302","1","5","31","1","4","-1","1","60"
"13","1","1","1","90","1303","1","5","61","1","4","-1","1","90"
"16","1","1","1","120","1304","1","5","91","1","4","-1","1","120"
"19","1","1","1","150","1305","1","5","121","1","4","-1","1","150"
"22","1","1","1","180","1306","1","5","151","1","4","-1","1","180"
"25","1","1","1","210","1307","1","5","181","1","4","-1","1","210"
"28","1","1","1","240","1308","1","5","211","1","4","-1","1","240"
"28","1","1","1","270","1309","1","5","241","1","4","-1","1","270"
"28","1","1","1","300","1310","1","5","271","1","4","-1","1","300"
"28","1","1","1","-1","1311","1","5","301","1","4","-1","1","310"
"7","1","1","1","30","1401","1","5","4","1","5","-1","1","-1"
"10","1","1","1","60","1402","1","5","31","1","5","-1","1","-1"
"13","1","1","1","90","1403","1","5","61","1","5","-1","1","-1"
"16","1","1","1","120","1404","1","5","91","1","5","-1","1","-1"
"19","1","1","1","150","1405","1","5","121","1","5","-1","1","-1"
"22","1","1","1","180","1406","1","5","151","1","5","-1","1","-1"
"25","1","1","1","210","1407","1","5","181","1","5","-1","1","-1"
"28","1","1","1","240","1408","1","5","211","1","5","-1","1","-1"
"28","1","1","1","270","1409","1","5","241","1","5","-1","1","-1"
"28","1","1","1","300","1410","1","5","271","1","5","-1","1","-1"
"28","1","1","1","-1","1411","1","5","301","1","5","-1","1","-1"
"7","1","1","1","30","1501","1","3","4","1","6","-1","1","-1"
"10","1","1","1","60","1502","1","3","31","1","6","-1","1","-1"
"13","1","1","1","90","1503","1","3","61","1","6","-1","1","-1"
"16","1","1","1","120","1504","1","3","91","1","6","-1","1","-1"
"19","1","1","1","150","1505","1","3","121","1","6","-1","1","-1"
"22","1","1","1","180","1506","1","3","151","1","6","-1","1","-1"
"22","1","1","1","210","1507","1","3","181","1","6","-1","1","-1"
"22","1","1","1","240","1508","1","3","211","1","6","-1","1","-1"
"22","1","1","1","270","1509","1","3","241","1","6","-1","1","-1"
"22","1","1","1","-1","1510","1","3","271","1","6","-1","1","-1"
"7","1","1","1","30","1601","1","6","4","1","7","5","1","30"
"11","1","1","1","60","1602","1","6","31","1","7","5","1","60"
"15","1","1","1","90","1603","1","6","61","1","7","5","1","90"
"19","1","1","1","120","1604","1","6","91","1","7","5","1","120"
"23","1","1","1","150","1605","1","6","121","1","7","5","1","150"
"27","1","1","1","180","1606","1","6","151","1","7","5","1","180"
"29","1","1","1","210","1607","1","6","181","1","7","5","1","210"
"31","1","1","1","240","1608","1","6","211","1","7","5","1","240"
"31","1","1","1","270","1609","1","6","241","1","7","5","1","270"
"31","1","1","1","300","1610","1","6","271","1","7","5","1","300"
"31","1","1","1","-1","1611","1","6","301","1","7","5","1","310"
"7","1","1","1","30","1701","1","5","4","1","8","5","1","30"
"11","1","1","1","60","1702","1","5","31","1","8","5","1","60"
"15","1","1","1","90","1703","1","5","61","1","8","5","1","90"
"19","1","1","1","120","1704","1","5","91","1","8","5","1","120"
"23","1","1","1","150","1705","1","5","121","1","8","5","1","150"
"27","1","1","1","180","1706","1","5","151","1","8","5","1","180"
"29","1","1","1","210","1707","1","5","181","1","8","5","1","210"
"31","1","1","1","240","1708","1","5","211","1","8","5","1","240"
"31","1","1","1","270","1709","1","5","241","1","8","5","1","270"
"31","1","1","1","300","1710","1","5","271","1","8","5","1","300"
"31","1","1","1","-1","1711","1","5","301","1","8","5","1","310"
