fc4f65716c4c340f56b65a60e329ae11a8d5193f524eb6f7a24b508099456c66,a8ab3888ec51052e42a93ace3f83108053ade6dd1b920db8c1035db96a7ea575,89de2e1516182725f6cd75a582f2907433bbf6ffc635595b591f8dd996382123,14b5a41ba5113a3c17b8c78edcfff382477013b654538c434b55bcda5de4205c,2b83fcbc1b7930f1a71eda1cca3e164d8ebc7db37f476d91cf5c1eab56a5e925,9636589107f9e3dfb5a09f8cb4221ba1110c4eca471a26ee2c362fe48ff2b375,13a14087e19522f9d96cc6bf7a44e79be233af69912efb624f7204b6db9f44b3
"0.8","31001","300900","-10","0.8","100721","0"
"0.7","31002","302300","-40","0.7","100722","0"
"0.8","31003","302400","-40","0.8","100261","0"
"0.9","31004","302500","-20","0.9","100283","0"
"0.9","31005","301700","-10","0.9","101611","0"
"0.7","31006","310100","-40","0.7","102174","0"
"0.3","31007","399800","-60","0.3","102751","-80"
"0.9","31008","314901","20","0.9","103001","-20"
"0.7","31009","318405","-110","0.7","103232","30"
"1","31010","320100","-10","1","103371","0"
