48f9da11b05c783ac58eeb79e5d65a9d65c777a96877b00229df4fbeff54c2ef,1dcfdeef4dabce04c9d521c2c1a4b6fe314274d0f7b40cdab92a3537eb6d8e56,c25fd11d310972814cdfdeae8bcf0e21746b96fa465eae8430305b335b01ef04,eaea0d728ee90f73b13be0fbfe0f3d354ed452d8c6155e0aa8139b87ece670f7,2264a164d15f1f1440a6059b7058491b0d772546db2b1a20a033b31e52016a3e,adb99dc453ae21f9c832e34c75fc844c832dca9038a1627b5b5253e6f028cd7a,4be733ace7567f2a91f22e75a349408270f06cebcde351354f996e2a52b8fd6d,7c593661713c709716f999bd4badd853bab84087a7f1adaf12e164471dbce3c7,8c5c6a75569378a24c961f194963dd1a0bb13348573d529527f046d9800e97d3,8a6a9f69ab3da7f8c7a1b1a474125d34b22c9fb919f2cc9ba5be2fae41ef5813,9f48cf311967d4966a07645d1fc80a7df939d62cacbf80307719154a05db7a56,d29b65686359ba4a1977aa789f77599a5dc118bc27d4d844ef863e9ca8663382,fb1130fe67167861835adb8b504e5ba56dc34b69f08fe8cac7ff9e45827102b0,a583304233afce966dcf759c40bd63df04a146baf4524ebea0675d3857e1e27e,80c7ff742329bbb13b30b67667b5474326695f434e1d0ec68afbcf2eae40026b,94bee5fcabbcc40846a13e9c2693eb1455645246abca2e56e6e5ed480112dccf,45f6b9cea9e182fdf6469928e4fefc1429ace714dda97600fbbe79b87ccf51ee,aee8cc9dfaac5b2875387fdd197e78887c1af8d9302e48e30c8b4f758763a763,c44e836f84e7215042c3287635073487ce0b20644e3568c71f2372da5787a586,1697fc525d17e2559d80c4994f368d9d18ddf862e6ced91d61d58bf067c2828c
"20","0","0","3100104","0","1","5","90006","1","0","2","1001201","0","2","0","0","1","0","0","20003"
"15","0","0","3100103","0","2","4","90006","2","0","2","1001201","0","2","0","0","3","0","0","20003"
"10","0","0","3100102","0","3","3","90006","4","0","2","1001201","0","2","0","0","10","0","0","20003"
"5","0","0","3100101","0","4","1","90006","11","0","2","1001201","0","2","0","0","30","0","0","20003"
"20","0","0","3100104","0","5","5","90006","1","0","2","1001202","0","2","0","0","1","0","0","20003"
"15","0","0","3100103","0","6","4","90006","2","0","2","1001202","0","2","0","0","3","0","0","20003"
"10","0","0","3100102","0","7","3","90006","4","0","2","1001202","0","2","0","0","10","0","0","20003"
"5","0","0","3100101","0","8","1","90006","11","0","2","1001202","0","2","0","0","30","0","0","20003"
"20","0","0","3100104","0","9","5","90006","1","0","2","1001203","0","2","0","0","1","0","0","20003"
"15","0","0","3100103","0","10","4","90006","2","0","2","1001203","0","2","0","0","3","0","0","20003"
"10","0","0","3100102","0","11","3","90006","4","0","2","1001203","0","2","0","0","10","0","0","20003"
"5","0","0","3100101","0","12","1","90006","11","0","2","1001203","0","2","0","0","30","0","0","20003"
"20","0","0","3100104","0","13","5","90006","1","0","2","1001204","0","2","0","0","1","0","0","20003"
"15","0","0","3100103","0","14","4","90006","2","0","2","1001204","0","2","0","0","3","0","0","20003"
"10","0","0","3100102","0","15","3","90006","4","0","2","1001204","0","2","0","0","10","0","0","20003"
"5","0","0","3100101","0","16","1","90006","11","0","2","1001204","0","2","0","0","30","0","0","20003"
"40","0","0","3100104","0","17","10","90006","1","0","2","1001205","0","2","0","0","1","0","0","20003"
"30","0","0","3100103","0","18","8","90006","2","0","2","1001205","0","2","0","0","3","0","0","20003"
"20","0","0","3100102","0","19","6","90006","4","0","2","1001205","0","2","0","0","10","0","0","20003"
"10","0","0","3100101","0","20","2","90006","11","0","2","1001205","0","2","0","0","30","0","0","20003"
"5","0","0","3100104","0","21","4","90006","1","0","2","1001206","0","2","0","0","1","0","0","20003"
"4","0","0","3100103","0","22","3","90006","2","0","2","1001206","0","2","0","0","3","0","0","20003"
"3","0","0","3100102","0","23","2","90006","4","0","2","1001206","0","2","0","0","10","0","0","20003"
"2","0","0","3100101","0","24","1","90006","11","0","2","1001206","0","2","0","0","30","0","0","20003"
"5","0","0","3100104","0","25","4","90006","1","0","2","1001207","0","2","0","0","1","0","0","20003"
"4","0","0","3100103","0","26","3","90006","2","0","2","1001207","0","2","0","0","3","0","0","20003"
"3","0","0","3100102","0","27","2","90006","4","0","2","1001207","0","2","0","0","10","0","0","20003"
"2","0","0","3100101","0","28","1","90006","11","0","2","1001207","0","2","0","0","30","0","0","20003"
"5","0","0","3100104","0","29","4","90006","1","0","2","1001208","0","2","0","0","1","0","0","20003"
"4","0","0","3100103","0","30","3","90006","2","0","2","1001208","0","2","0","0","3","0","0","20003"
"3","0","0","3100102","0","31","2","90006","4","0","2","1001208","0","2","0","0","10","0","0","20003"
"2","0","0","3100101","0","32","1","90006","11","0","2","1001208","0","2","0","0","30","0","0","20003"
"5","0","0","3100104","0","33","4","90006","1","0","2","1001209","0","2","0","0","1","0","0","20003"
