66b682992fc275cb56d9bbc74c2f004abe1a97cc6efea2e0168b19abcebed8bc,3c81b914d43713f319f9a1bce1922d4ba6e00166402525d239b0f6b67e8740b9,b8e720b5fe3ded7415075c0928d2b6694bbc33aef43ddb4ca8d23c18f1c6ad0a,c2fd2d54f579d8be293df3d7c91b398fa30e88bf6d9adf9aeacf525a3fb2d162,8e813be69d0c480fae7c4d035b1a07f0921df1ba14f0e6ac570f54c718a4b4e6,bc9f6bd9eadf7b9c346cf86e68e30b9327596c8f7e3d5d8c92b56038df8a7e7a,3bdda613fce550435aef12080617f180f496e398b19564bbd6999346bf5aed50
"10070","0","20039101","圖畫日記之1","0","1007001","0"
"10070","0","20039101","圖畫日記之2","1007001","1007002","0"
"10070","0","20039103","圖畫日記之3","1007002","1007003","0"
"10070","0","20039106","圖畫日記之4","1007003","1007004","0"
"10070","0","20039107","圖畫日記之5","1007004","1007005","0"
"10070","0","20039110","圖畫日記之6","1007005","1007006","0"
"10070","0","20039112","圖畫日記之7","1007006","1007007","0"
"10070","0","0","圖畫日記之8","1007007","1007008","2003901"
"10070","0","0","惠理子的圖畫日記","1007007","1007009","2003901"
"10070","0","0","靜流的圖畫日記","1007007","1007010","2003901"
"10070","2021/11/15 16:00:00","20039101","圖畫日記之1(批閱)","0","1007011","0"
"10070","2021/11/15 16:00:00","20039101","圖畫日記之2(批閱)","0","1007012","0"
"10070","2021/11/15 16:00:00","20039103","圖畫日記之3(批閱)","0","1007013","0"
"10070","2021/11/15 16:00:00","20039106","圖畫日記之4(批閱)","0","1007014","0"
"10070","2021/11/15 16:00:00","20039107","圖畫日記之5(批閱)","0","1007015","0"
"10070","2021/11/15 16:00:00","20039110","圖畫日記之6(批閱)","0","1007016","0"
"10070","2021/11/15 16:00:00","20039112","圖畫日記之7(批閱)","0","1007017","0"
"10070","2021/11/15 16:00:00","0","圖畫日記之8(批閱)","0","1007018","2003901"
"10070","2021/11/15 16:00:00","0","惠理子的圖畫日記(批閱)","0","1007019","2003901"
"10070","2021/11/15 16:00:00","0","靜流的圖畫日記(批閱)","0","1007020","2003901"
