fe8b335223e3e3f103731b379b1b32865750faa48e19232b1a31d203d3e5efbd,b0145204c5f9fbf016110da25c96dc7337f787a470d60d85ba363ff00ba2e3e4,7ad8ea4d2c62fd40499af981413ee4e0276db831ebe3183ab3ae4c2dc3e51bb5,1970622c0bb5b0d3a0cf5f0074bf8cbd8d60a3f4d5e2cf89d407063718ffe030,744d76c0951baa13c0a2885a54fbe6a227453f5c5f2debf26f95a9e7049edd95,986c5b6a66b27b7230eaa2be3875763892f8e9ad378ca55773277bd98d5218bd,881d9ab62f49c9f906322b4bcd314e35c380f588c38d783518788f48fe729609,2ddaa4656f599aab853d3b33f8063709c8feb6ef3bad8e097da96c00b2eef77b,c4593eeb2eaad90f90ceb73537b59815ef379bac81dab21f5df242a9f739224d,1d44644869250c721724a8b94b960c669c1e48d91bbdd3779d0035f4788f1267,2263d67d84cd354140608b746babdbca66933c51d38bdd201842e3c8e1591eff
"1002","1001","2020-06-22 16:00:00","10000","2030/12/31 15:00:00","來動手製作\n充滿愛意的巧克力蛋糕吧！\n超可愛的點擊遊戲！","bgm_M199_juke","2030/12/31 15:00:00","bgm_M199","","哥哥爭奪戰！\n誰的巧克力更好吃SHOW"
"1003","1002","2020-06-22 16:00:00","10000","2030/12/31 15:00:00","大旋轉！空花！\n最棒的絕頂體驗就在這裡！\n一起往上飛翔，空中的旅行！","bgm_M227_juke","2030/12/31 15:00:00","bgm_M227","","空花大旋轉\n飛行絕頂體驗"
"1004","1003","2020-06-22 16:00:00","10000","2030/12/31 15:00:00","這就是琉球魂！\n打倒蜂擁而上的奄美魔物\n令人爽快的動作遊戲！","bgm_M249_juke","2030/12/31 15:00:00","bgm_M249","","香織的靈魂式空手道場"
"1005","1004","2020-06-22 16:00:00","10000","2030/12/31 15:00:00","戰鬥白熱化！\n龍族巢穴流的\n單挑動動腦接龍！","bgm_M277_juke","2030/12/31 15:00:00","bgm_M277","","大激戰！龍人們的接龍競賽"
"1006","1005","2020-09-01 16:00:00","10000","2030/12/31 15:00:00","你有辦法保護好起司嗎！？\n考驗瞬發力的\n訓練反射神經休閒小遊戲！","bgm_M355_Lofi_juke","2030/12/31 15:00:00","bgm_M355_Lofi","","啾啾大恐慌！\n保衛起司大作戰！"
"1007","1006","2021-01-06 16:00:00","10000","2030/12/31 15:00:00","目標成為全壘打強打！\n掌握關鍵時機擊球的\n運動類型動作小遊戲！","bgm_M399","2030/12/31 15:00:00","bgm_M399","","猛訓打擊道！\n美里的全壘打訓練場"
"1008","1007","2022-01-03 16:00:00","10000","2030/12/31 15:00:00","慈樂之音粉絲大興奮！\n獲得演唱會加油周邊，\n成為「慈樂之音神推」為目標！","bgm_M500","2030/12/31 15:00:00","bgm_M500","","慈樂之音的夏日演唱會\n演唱會會場 周邊區 "
"1009","1008","2022-04-25 16:00:00","10000","2030/12/31 15:00:00","Let's cooking！\n和宮子一起製作蒐集布丁，\n精通布丁之道吧！","bgm_M540","2030/12/31 15:00:00","bgm_M540","","宮子廚房　通往究極之路"
"1010","1009","2022-08-01 21:00:00","0","2022/08/01 21:00:00","5人小隊合力挑戰各式各\n樣類型的謎題！\n以當上猜謎公主為目標吧！","bgm_M569","2022/08/21 23:59:59","bgm_M569","蘭德索爾猜謎連結！","Happy Anniv.特別版　\n蘭德索爾猜謎連結！"
"1011","1010","2022-11-25 16:00:00","10000","2030/12/31 15:00:00","於沙灘上奔馳的公主！\n挑戰亂七八糟的路線的\n南島沙灘搶旗！","bgm_M605","2030/12/31 15:00:00","bgm_M605","","飛奔吧常夏！\n極限沙灘搶旗"
"1012","1012","2024-01-17 16:00:00","10000","2030/12/31 15:00:00","目標是全部答對！\n與凱留和鈴奈在放學後的教室中\n進行兩人獨處的猜謎讀書會！","bgm_MC068","2030/12/31 15:00:00","bgm_MC068","放學後的猜謎讀書會　{0}","凱留與鈴奈的\n放學後的猜謎讀書會"
"1013","1013","2024-08-15 16:00:00","10000","2030/12/31 15:00:00","前往突破魔物橫行的街道！\n率領【王宮騎士團】\n的士兵們，挑戰訓練吧！","bgm_MC141","2030/12/31 15:00:00","bgm_MC141","行軍A-Go-Go！","惠理子和真琴的\n行軍A-Go-Go！"
"1014","1014","2030-01-01 00:00:00","10000","2030/12/31 15:00:00","","bgm_MC140","2030/12/31 15:00:00","bgm_MC140","","衝突！破壞！\n非法坦克大戰"
