a61db79c382c9b9235a519314b426b3dc0863160897aa9410d521b0613fbd7a3,661765254c19fde6ec77e759e97139e0e5421c978ed6f4acce8797a698cec7c4,e4da90d4cc0999d6ef408d9fc07b4b0f43022d3466faba44d89251ace336d90e,868be88eaaff27462470dd9a15ec31f465e5fed05a7871808572754ab6069f24,cc4a3d8b63c3ee19e4d771b57b60b574f352290c9a9ab63a3c498b6b5d2d6541,ae30dc6c18d9928595349e3705bda7c98b205e9c7fa7f2ba38f2057e845e135a,e846605bdc7b09f55a77c75bf1b16316049d8b65d4b1834fe9d5f4201d2ad04a,898a82e070fcfb66d4f22b84eff96f2804ee57d954b78f815a7c160cb8112ff5,8cd356496ecd1c4a7b86171e6080f0c8932e863ec3e0b22a846f815dd51c5f2e
"1","2","6","100101","3","3","1","2","2"
"3","1","5","100201","2","3","2","1","1"
"1","3","7","100301","3","2","3","2","1"
"1","2","13","100401","3","2","3","2","2"
"2","2","18","100501","1","3","2","3","2"
"1","2","25","100601","2","3","2","3","1"
"3","3","26","100701","2","3","2","1","2"
"3","3","40","100801","1","2","3","1","2"
"1","3","34","100901","3","2","2","3","1"
"3","1","8","101001","2","3","2","1","1"
"2","2","56","101101","2","3","2","1","3"
"1","2","43","101201","3","1","2","2","3"
"1","2","33","101301","1","3","3","3","1"
"3","1","11","101401","1","2","2","2","1"
"3","1","42","101501","2","2","3","1","1"
"2","2","46","101601","1","3","3","1","3"
"1","2","10","101701","1","3","2","2","3"
"3","1","45","101801","1","2","3","2","1"
"2","1","12","102001","3","3","1","2","2"
"1","1","30","102101","2","3","3","2","1"
"1","1","24","102201","2","1","3","2","3"
"1","2","31","102301","3","3","1","3","2"
"3","1","29","102501","1","2","2","1","3"
"3","1","51","102601","2","3","1","1","2"
"2","3","36","102701","3","1","3","1","2"
"2","1","28","102801","1","2","3","1","2"
"2","1","52","102901","2","3","2","1","2"
"2","2","39","103001","1","3","3","2","1"
"3","3","27","103101","3","2","1","1","2"
"3","2","19","103201","3","1","2","1","2"
"2","2","48","103301","3","3","1","2","1"
"2","1","20","103401","2","1","2","3","2"
"3","3","14","103601","1","1","2","3","2"
"1","3","17","103701","1","2","3","3","2"
"3","3","49","103801","2","2","1","3","1"
"2","1","44","104001","2","1","1","3","3"
"3","3","53","104201","1","2","2","2","2"
"1","3","9","104301","3","2","2","1","3"
"3","3","23","104401","3","2","1","2","1"
"2","1","38","104501","2","2","2","3","1"
"3","2","21","104601","2","2","1","1","3"
"1","3","15","104701","1","2","2","3","3"
"1","3","22","104801","2","1","3","2","3"
"2","1","55","104901","3","2","2","1","2"
"2","1","47","105001","1","3","2","2","3"
"3","3","35","105101","1","1","1","2","3"
"2","2","50","105201","2","3","2","1","2"
"1","3","37","105301","3","2","3","1","2"
"2","2","54","105401","2","3","1","1","3"
"2","1","41","105501","3","2","1","3","1"
"1","3","32","105601","2","3","2","1","3"
"1","1","67","105701","2","3","2","2","2"
"2","2","1","105801","2","3","2","1","2"
"3","1","2","105901","2","2","2","2","1"
"2","3","3","106001","1","2","1","3","3"
"1","2","58","106101","3","3","2","2","2"
"1","1","68","106301","3","3","1","2","2"
"1","1","4","106401","2","3","2","3","2"
"1","3","61","106501","1","3","2","3","2"
"3","2","62","106601","1","3","1","3","2"
"2","3","60","106701","1","2","2","2","1"
"1","1","57","106801","1","1","2","3","2"
"3","3","59","107001","2","1","1","2","1"
"1","3","16","107101","2","1","3","2","2"
"2","1","70","109201","2","2","2","2","1"
"2","2","72","109301","2","3","2","1","3"
"1","3","71","109401","1","2","3","2","3"
"1","1","64","110801","2","2","2","2","3"
"2","2","65","110901","1","2","3","1","2"
"3","3","63","111001","1","3","1","2","1"
"2","2","69","111401","2","2","1","3","3"
"3","2","66","118001","1","1","2","2","3"
