60c4f6cdea23713a22bec825ba3b5ee4a2c79d75633ee8ad35b69a74c6b8238c,d96fc8455ad43f069b57ee6564a2d3d9138cad0841fd57144b99be3daa97124e,a762d715df19a9e49a0f42ca66cc290256a2f3be7ba62be9865d641a97143f48,02c005636e081eccfd913ec5cae57483191726b147a65b32389710cb759e7e46
"1","8","緩速","1"
"2","8","加速","2"
"3","8","麻痺","3"
"4","8","凍結","4"
"5","8","束縛","5"
"6","8","睡眠","6"
"7","8","暈眩","7"
"8","8","石化","8"
"9","8","拘留","9"
"10","9","拘留(傷害)","0"
"11","9","毒","1"
"12","9","火傷","2"
"13","9","詛咒","3"
"14","11","魅惑","0"
"15","12","黑暗","-1"
"16","13","沉默","-1"
"17","30","即死","-1"
"18","3","擊退","-1"
"19","11","混亂","1"
"20","9","猛毒","4"
"21","56","千里眼","-1"
"22","59","妨礙恢復","-1"
"23","61","恐慌","0"
"24","60","給予刻印","-1"
"25","62","畏懼","-1"
"26","69","馴鹿化","-1"
"27","8","暈眩","10"
"28","9","詛咒","5"
"29","70","HP變化","-1"
"30","8","時間停止","11"
"31","76","HP回復量減少","-1"
"32","78","虛弱個體受到的傷害上升","-1"
"33","79","行動時毒傷","1"
"34","8","暈眩（另計）","14"
"35","9","毒（另計）","7"
"36","9","詛咒（另計）","8"
"37","11","混亂（另計）","2"
"38","8","結晶化","13"
"39","83","緩速(可加成)","1"
"40","83","加速(可加成)","2"
"41","49","消除增益","3"
"42","49","消除護盾","10"
"43","9","黑炎","9"
"44","99","加速領域","2"
"45","99","緩速領域","1"
"46","49","消除增益（指定）","20"
"47","101","擊打烙印（攻擊命中）","5"
"48","79","行動時界雷傷害","10"
"49","112","延長狀態異常時間","9"
"50","116","執著狀態","1"
"51","117","阿剌克涅拘束","15"
"52","11","操絲","3"
"53","9","絕怠靈度","11"
"54","46","比例傷害","-1"
"55","61","遮絕之操絲","1"
