d5ce645f9e7a51113cfefc0232216b9337175fb4c36e5ae0a3c2bd93dc13a0d5,994ad4423ce282559cee3a9c1ed902710694dfa44b1fb88b53a59e5f037dbd60,226285098d8c400790cc594d77eaad19285501d04161538c43a31ab44d807926,d08055ab7686e26e2856db5269ebdb55d4be128d7c989e547fd2e02bf8b0bb00,48c794b063e6296c7767f545665822e54d3216e0a39c61216aef4458f62ac672,f5fb0d9ae449beb2b788cb68ab74b48652e2461b8b622f3e16ab2e58edd4979c,3fb377cffa9df8015c78bd34d73c9f4241eeccd5356b4bdccc33f46a72f69ef5,d3190688efdc8f689de21b9133f54e97c4358fc7efcd09170d23c002cdffdd44,f338391999cbbbd8abd150e5e740fc59ca7cfbe240da2d44f619f8bbbb83878a,0cd217e193c18e4f12ec0824cb5a27e25b132f80b7c356f126178c694e4d637d,43275006c501221bf2ea47ca0f05fc8d70762d7c7c6e9721bfda0d507b287521,c2f63372db1ba598b073a5cce088bcab0e93c5d15b27078d36cc337b8c817455,310568620567196fdc806c6b05b1b050f7ce6c476198a4871bfc4b6a5307c0fc,685e7db4d686995a3652254cbcf115a3d5d51119df031e0a724a3ec16fbecc76,b757f75cbf66df309f056b9031cbcb259a399db65ae079ac43103d75c713570f,fefd18c6c0bc70176c67a465361c01af51492ea39e94314cbd6e7f6b4d5ffc8a,e6f1d5b83b12d514b56f423804b86ef7315d06bba0649013dfd41296492958d8
"4201401","7200","克梅利亞洞窟","4101351","11001001","108","1","4101401","-470","4104401","11001001","4104351","1","10","43200","100000","11001"
"4203401","7200","盧可拉諾大瀑布","4106351","11001002","90","1","4106401","-235","4110401","11001002","4110351","2","10","43200","100000","11001"
"4201401","7200","艾里巨木","4102351","11001003","108","1","4102401","0","4105401","11001003","4105351","3","10","43200","100000","11001"
"4203401","7200","伊雷亞溪谷","4108351","11001004","90","1","4108401","235","4109401","11001004","4109351","4","10","43200","100000","11001"
"4201401","7200","史達爾斷崖","4103351","11001005","108","1","4103401","470","4107401","11001005","4107351","5","10","43200","100000","11001"
"4301401","7200","阿爾巴岸堤","4301351","11002003","108","1","4104401","-470","4201401","11002001","4101401","6","10","43200","100000","11002"
"4305401","7200","撒達爾史朵\n沙灘","4305351","11002002","90","1","4110401","-235","4203401","11002002","4106401","7","10","43200","100000","11002"
"4302401","7200","達爾里克\n巨岩","4302351","11002001","108","1","4105401","0","4201401","11002003","4102401","8","10","43200","100000","11002"
"4304401","7200","安卡爾川","4304351","11001005","90","1","4109401","235","4203401","11002004","4108401","9","10","43200","100000","11002"
"4303401","7200","達克比亞\n森林","4303351","11001001","108","1","4107401","470","4201401","11002005","4103401","10","10","43200","100000","11002"
"4109401","7200","密瑪斯\n洞穴","4201351","11003001","108","1","4101401","-470","4104401","11003001","4201401","11","10","43200","100000","11003"
"4110401","7200","雷安特河","4202351","11003002","90","1","4108401","-155","4102401","11003002","4202401","11","10","43200","100000","11003"
"4109401","7200","刻蘭德\n廢墟","4203351","11003003","108","1","4103401","160","4105401","11003003","4203401","11","10","43200","100000","11003"
"4110401","7200","迪歐涅加\n冰海","4204351","11003004","90","1","4106401","470","4107401","11003004","4204401","11","10","43200","100000","11003"
