80642156e16321369d271e8ece3af05ba4ad14685e836531f33270a8045b29ac,592d4d9be929697574af37eb6a6a3bc1850b8dc4dc471de629a786d747df3340,2a15c38f772b6cda6ce8dc862ff0fe61c178e5aee91ab88e04756a2c0e9a3804,3f35a2664e35fc856781fc6a9856494d1a921cda553b7f904dfc3bdc286880d7,614891ca9874fb7e17b4f41cb6c904f5eb643086a65e23830f44d2305cef5815,9a48808966ccf8e3bc5d8a8326b7b74a5607d42800441f054787b6f332ee0fa6,ed18b53ac5cc8ec2c8964824eecb9d1b5ca57908df9ce4adc1db3d3f080b7f40,a42ce70d89d597d719514e36e7b6d3a84f3ccdc55641e682148170a692203173
"0","GAME_START","","srt_inori_idle","start_000-start_001,start_002/start_003-boss_emote_064-start_004","","srt_kaya_idle","srt_dragon_in,srt_dragon_idle"
"2","ENEMY_FIRST","首先由我先來吧！","srt_inori_idle","","","srt_kaya_idle","srt_dragon_idle"
"2","ENEMY_TURN1","「{0}」嗎？\n由「{1}」韻來開頭的有……","srt_inori_idle","","","srt_kaya_waiting","srt_dragon_idle"
"2","ENEMY_TURN2","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞呀……","srt_inori_idle","","","srt_kaya_waiting","srt_dragon_idle"
"2","ENEMY_TURN3","「{0}」嗎？\nOK――，接著是「{1}」韻吧。","srt_inori_idle","","","srt_kaya_waiting","srt_dragon_idle"
"2","ENEMY_TURN_TW1","嘿嘿，是「{0}」嗎？\n「{1}」韻可以用\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」的注音來接呢！\n所以可以接的詞有……","srt_inori_idle","","","srt_kaya_waiting","srt_dragon_idle"
"2","ENEMY_TURN_TW2","原來是「{0}」啊？\n「{1}」的韻其實跟很多音相同喔，\n像是「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個詞，\n嗯――，所以可以用來接「{1}」韻的詞呀……","srt_inori_idle","","","srt_kaya_waiting","srt_dragon_idle"
"2","ENEMY_TURN_TW3","「{0}」嗎？\n「{1}」韻可以跟「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」\n這些單音相接喔……\n好啦，跟這個韻相同開頭的詞有……","srt_inori_idle","","","srt_kaya_waiting","srt_dragon_idle"
"0","ENEMY_HELP","","","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","srt_homare_help","srt_kaya_help",""
"0","ENEMY_FLASH","","","","","srt_kaya_flash",""
"2","ENEMY_SELECT1","是「{0}」！","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle"
"2","ENEMY_SELECT2","是「{0}」呢！","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle"
"2","ENEMY_SELECT3","是「{0}」喔！","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle"
"2","ENEMY_SELECT_GREAT1","「{0}」怎麼樣啊！","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle"
