201b7aeeac72b3a4f4e4d3e871bb3faf79dc612445a7638d04016f3d225c420c,7a4fca7bb4df60d70768b3be215279cc2c59528c5660cc1511f7b315a4dc9d25,148901d2edb182aa6e622c71ae2b65656a9748b3661216e0133a85064decc108,1a4071d190bced454a2718bbed8ea26c8616f6b380780e2f440fe1cf1de00a25,9f63713f2489047883e66801cf66e0b99103be91acbe641ad0dcda880fbcd545
"2","1","1","3","10201"
"2","2","2","3","10202"
"2","3","3","3","10203"
"2","4","4","10","10301"
"2","5","5","10","10302"
"2","6","6","10","10303"
"2","7","7","10","10304"
"2","8","8","20","10401"
"2","9","9","20","10402"
"2","10","10","20","10403"
"2","11","11","20","10404"
"2","12","12","20","10405"
"2","13","13","20","10406"
"2","14","14","20","10407"
"2","15","15","20","10408"
"2","16","16","20","10409"
"1","1","17","3","10701"
"1","2","18","3","10601"
"1","3","19","3","10602"
"1","4","20","3","10603"
"1","5","21","3","10604"
"1","6","22","10","11301"
"1","7","23","10","11302"
"1","8","24","10","11303"
"1","9","25","20","11401"
"1","10","26","20","11402"
"1","11","27","20","11403"
"1","12","28","20","11601"
"1","13","29","20","11602"
"1","14","30","20","11603"
"1","15","31","20","11604"
"1","16","32","20","11605"
"1","17","33","20","11606"
"1","18","34","20","11101"
"1","19","35","20","11102"
"1","20","36","20","11103"
"1","21","37","20","11701"
"1","22","38","20","11702"
"1","23","39","20","11703"
"3","1","40","3","10501"
"3","2","41","3","10502"
"3","3","42","3","10503"
"3","4","43","10","11201"
"3","5","44","10","10801"
"3","6","45","10","10802"
"3","7","46","10","10803"
"3","8","47","10","10804"
"3","9","48","20","10901"
"3","10","49","20","10902"
"3","11","50","20","10903"
"3","12","51","20","10904"
"3","13","52","20","11001"
"3","14","53","20","11002"
"3","15","54","20","11003"
"3","16","55","20","11501"
"3","17","56","20","11502"
"3","18","57","20","11503"
"3","19","58","20","11504"
"3","20","59","20","11505"
"3","21","60","20","11506"
