5c6e6f0dbf71abad27beb7f461ca07130ca9db4b212208015550ccec5351c13b,a4f0738911a41e1d5e6f1ab25a37d85bec726c17ec2a86a3d510bba1ecafe345,0fc307ec47338f37144705844fd061f094e819987aef84c626e54568d63fdc77,34c97307f0036353818a4e85f064f8e082ad059d94f8d998c7cb9ec4f58a984a,47ecb617cb6248c126fd65606c4a9fe388ba104e5c359147f35457c75e4b6293,2f933bdb81b502fa622c458214b71a65970b93811ff2353a9e73314874bf67c4
"1","","1","自動","1","2019/02/15 15:00:00"
"2","","2","預設","2","2019/02/15 15:00:00"
"3","","3","周年","3","2020/08/03 16:00:00"
"1","","4","粉紅色","4","2020/04/20 12:00:00"
"1","","5","紅色","5","2020/04/20 12:00:00"
"1","","6","黃色","6","2020/04/20 12:00:00"
"1","","7","綠色","7","2020/04/20 12:00:00"
"1","","8","淺藍色","8","2020/04/20 12:00:00"
"1","","9","藍色","9","2020/04/20 12:00:00"
"1","","10","紫色","10","2020/04/20 12:00:00"
"1","","11","灰色","11","2020/04/20 12:00:00"
