7bd5e9d5198a9390bb989cf9013d3f317b01fd45da40ddfacc1d166dfef382fb,d9b4262d7d957d0f4390a0f046a980f48a1869bb95413507e774858909f89ade,f067df64ec5bb8f889a45a785752afd030d21e724fd1ce7ad641a27a29dd83e9,f7b81ee57143bb2c4107260b9e5ca008f9a80a24e389ceb84dc99dc96ec4b2b0,ed9b3eff0d18fc15feaaae4574437624edd4751ec9ee1de638d36edfd74d6284,701b630b1d99d1de2fe5a577cef6a01033a39e6e6a1ec0ad22d42eecc98ee497,6f82d88a064f1d98380343ec493dc90753b57498e32fb036547a8bc48cc0cd47,121040c64dba17b9ede1e172b23a5ad96c8a6ec635a64a4394dd728457de3918,9f8787db21b69953a074ff5a8898efcc8c639a56fceb842ed19cedca92f291dc,6c43622e37cff844f4345eb73e334c20e059a10e688d2385298314b11bb66b37,d95e6e81bfe16e058ef3730cd2d61d0ae370baaf425dc00d72cc123f97602677,5536159d09ac052cb83e1e55a68e6b80aea1315bf5586d7688e2be5b21026af5,c644a3d67467308d409d81d128548475d9faad4eecbf89d1ea0bdfe967e4a7e4,b27bac62283e08aa686bbb17274ba460bd1c10b8c6615fda1179d19195abc07f
"1","2023/11/01 16:00:00","2002","-470","1.47","克蘿茜","10001","1","0","2","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","1","2024/01/16 15:59:59","126401"
"1","2023/11/01 16:00:00","2002","-470","2.15","克蘿茜","10002","2","0","1","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","2","2024/01/16 15:59:59","126401"
"1","2023/11/01 16:00:00","2002","-470","0","萊拉耶爾","10003","1","0","2","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","2","2024/01/16 15:59:59","126501"
"1","2023/11/01 16:00:00","2002","-470","0","萊拉耶爾","10004","2","0","1","還請在此商店\n購買東西，\n享受愉快的旅途吧","1","2024/01/16 15:59:59","126501"
"2","2024/01/16 16:00:00","2002","-470","0","琳德","10005","1","0","2","歡迎光臨\n可以利用巡遊幣\n來買東西喔","2","2024/04/23 15:59:59","127702"
"2","2024/01/16 16:00:00","2002","-470","0","琳德","10006","2","0","2","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","2","2024/04/23 15:59:59","127702"
"2","2024/01/16 16:00:00","2002","-470","0","烏爾姆","10007","1","0","1","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","1","2024/04/23 15:59:59","127802"
"2","2024/01/16 16:00:00","2002","-470","6.5","烏爾姆","10008","2","0","1","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","2","2024/04/23 15:59:59","127802"
"3","2024/04/16 16:00:00","2002","-470","0","安涅默涅","10009","1","0","1","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","2","2024/07/23 15:59:59","129602"
"3","2024/04/16 16:00:00","2002","-470","0","安涅默涅","10010","2","0","1","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","2","2024/07/23 15:59:59","129602"
