e9a18c62f18a8e3a3a18a0d0b08aaeb179f97f90deaf5fbdb81c862a108530b6,7dc2f880757654bd7b56619e0259963594b9423ff00ac470e2c678f2959ed34c,e7e9a51601c461d4a7095fcdd25fa81da0d5588a369d826db77133c4ddf9b54d,8ae3c87f46c454ebcaed18795fccbb5dc65aef3285bd282658486a8edcbdaa89
"100101","1001","無法戰鬥的角色為0人以下時獲勝","0"
"100102","1001","無法戰鬥的角色為1人以下時獲勝","1"
"100103","1001","無法戰鬥的角色為2人以下時獲勝","2"
"100201","1002","戰鬥剩餘時間為1:15以上時獲勝","74001"
"100202","1002","戰鬥剩餘時間為1:10以上時獲勝","69001"
"100203","1002","戰鬥剩餘時間為1:00以上時獲勝","59001"
"100204","1002","戰鬥剩餘時間為0:50以上時獲勝","49001"
"100205","1002","戰鬥剩餘時間為0:45以上時獲勝","44001"
"100206","1002","戰鬥剩餘時間為0:40以上時獲勝","39001"
"100207","1002","戰鬥剩餘時間為0:30以上時獲勝","29001"
"100301","1003","我方的Total HP為100%以上時獲勝","1000"
"100302","1003","我方的Total HP為90%以上時獲勝","900"
"100303","1003","我方的Total HP為80%以上時獲勝","800"
"100304","1003","我方的Total HP為70%以上時獲勝","700"
"100305","1003","我方的Total HP為60%以上時獲勝","600"
"100306","1003","我方的Total HP為50%以上時獲勝","500"
"100307","1003","我方的Total HP為99%以上時獲勝","990"
