1100c028fe9a830a81b3a9360153b78c19c63221443547c3de2c26efc90fbcc4,1498a13b111f6b9193f825a4693d7d1c6de7ac4eb1737c4e1c812c3a81a4ac4c,234c94fcdc6804528298ab06aad639840c0bd9345bf3915147f27a9b810fc158,742a1307af6fa7a5232aad8543efd18c34db15f7b44d4a85097f7642f18d4f07,e5bb2388fc998f0cf777a24d668aaec80b3f7fb8809698b01c7fd62a83cf6c37,1f2a553fe0f8c6f4c14d2d88b3c4ac39efa786e59199aa45b1f1ace1459f2fe4,af8398a7f4ff1223976f5aab876f24803f7d85dee372082525b0a509025fd6aa,ec1e12a30ec681feed8aceb7f0d4668c57aa10d0ab3ca7ca230f5388c3a3edf8,ee27b3906ee47dbaf8b4dea166b156412b0eb8b72fe36fc7f9b0b0124a86fa30,b9521bcded10d18f3352a46dcd9132c33de7295aba9eec4a423d05b15a626789,bb82764bd1172e6b6928c77c702216138e1a30b5f01a0b10c3ec3b01160529ef,f663c5d199303072f363f78e7937cf270e2d5c61a84b1c9cbba1d51512f1d5eb,8df4a81407988ef64e6adf685871c3555482a85b35ec3c6875cd62032358a24c,d1e1a9d05b39d052b38942ebe61a29b5774c2b37260fc7f462a4db5a06e76d6a,2119a39f79f72e1b716b5efaacf45f6efd9b1ba6b067ecc52c9091e6c592c827,d66b48fcabc745290237bb943c8b76aa793cef786f874d03255ad3e2d4088076,59c426c7620f9af63775eb679c2d478607637420106ae6be9d9f441ffee8d4a0,e3b430466df8eca2bf38140efb8c87e331ef3134dca771b3abb642f4fc86ecdc,fecafa00efb6d4d003af332213925ebf38e212fd7fc17b1bd7acb7fe4d884c9c
"1000","0","25021","0","0","1000","25014","2","2","2","abyss_reward_icon_masterpieces_piece","92407","240701","200","25102","1000000000","25015","10","2"
"1000","0","25011","0","0","1000","25012","2","2","2","abyss_reward_icon_astralshard","92407","240702","1000","25021","2000000000","25013","300","2"
"1000","0","25021","0","0","1000","25014","2","2","2","abyss_reward_icon_masterpieces_piece","92407","240703","500","25102","3000000000","25015","10","2"
"1000","0","25011","0","0","1000","25012","2","2","2","abyss_reward_icon_astralshard","92407","240704","1000","25021","4000000000","25013","500","2"
"1000","0","25021","0","0","1000","25014","2","2","2","abyss_reward_icon_masterpieces_piece","92407","240705","1000","25102","5000000000","25015","10","2"
"1000","0","25011","0","0","1000","25012","2","2","2","abyss_reward_icon_astralshard","92407","240706","1000","25021","6000000000","25013","1000","2"
"3000","0","25021","0","0","3000","25014","2","2","2","abyss_reward_icon_masterpieces_piece","92407","240707","1000","25102","7000000000","25015","10","2"
"3000","0","25011","0","0","3000","25012","2","2","2","abyss_reward_icon_astralshard","92407","240708","3000","25021","8000000000","25013","1000","2"
"3000","0","25021","0","0","3000","25014","2","2","2","abyss_reward_icon_masterpieces_piece","92407","240709","1000","25102","9000000000","25015","10","2"
"3000","0","25021","0","0","3000","25011","2","2","2","abyss_reward_icon_masterpieces_piece","92407","240710","1000","25102","10000000000","25012","10","2"
"3000","0","25021","0","0","3000","25013","2","2","2","abyss_reward_icon_masterpieces_piece","92407","240711","1000","25102","12000000000","25015","10","2"
"3000","0","25011","0","0","3000","25012","2","2","2","abyss_reward_icon_astralshard","92407","240712","3000","25021","16000000000","25014","1000","2"
