2119a39f79f72e1b716b5efaacf45f6efd9b1ba6b067ecc52c9091e6c592c827,f663c5d199303072f363f78e7937cf270e2d5c61a84b1c9cbba1d51512f1d5eb,d66b48fcabc745290237bb943c8b76aa793cef786f874d03255ad3e2d4088076,ec1e12a30ec681feed8aceb7f0d4668c57aa10d0ab3ca7ca230f5388c3a3edf8,ee27b3906ee47dbaf8b4dea166b156412b0eb8b72fe36fc7f9b0b0124a86fa30,bb82764bd1172e6b6928c77c702216138e1a30b5f01a0b10c3ec3b01160529ef,e5bb2388fc998f0cf777a24d668aaec80b3f7fb8809698b01c7fd62a83cf6c37,fecafa00efb6d4d003af332213925ebf38e212fd7fc17b1bd7acb7fe4d884c9c,b9521bcded10d18f3352a46dcd9132c33de7295aba9eec4a423d05b15a626789,e3b430466df8eca2bf38140efb8c87e331ef3134dca771b3abb642f4fc86ecdc,af8398a7f4ff1223976f5aab876f24803f7d85dee372082525b0a509025fd6aa,8df4a81407988ef64e6adf685871c3555482a85b35ec3c6875cd62032358a24c,59c426c7620f9af63775eb679c2d478607637420106ae6be9d9f441ffee8d4a0,1498a13b111f6b9193f825a4693d7d1c6de7ac4eb1737c4e1c812c3a81a4ac4c,1100c028fe9a830a81b3a9360153b78c19c63221443547c3de2c26efc90fbcc4,234c94fcdc6804528298ab06aad639840c0bd9345bf3915147f27a9b810fc158,1f2a553fe0f8c6f4c14d2d88b3c4ac39efa786e59199aa45b1f1ace1459f2fe4,742a1307af6fa7a5232aad8543efd18c34db15f7b44d4a85097f7642f18d4f07,d1e1a9d05b39d052b38942ebe61a29b5774c2b37260fc7f462a4db5a06e76d6a
"25102","92407","1000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240701","25015","0","1000","25021","1000","0","200"
"25021","92407","2000000000","2","2","abyss_reward_icon_astralshard","0","2","2","300","25012","240702","25013","0","1000","25011","1000","0","1000"
"25102","92407","3000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240703","25015","0","1000","25021","1000","0","500"
"25021","92407","4000000000","2","2","abyss_reward_icon_astralshard","0","2","2","500","25012","240704","25013","0","1000","25011","1000","0","1000"
"25102","92407","5000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240705","25015","0","1000","25021","1000","0","1000"
"25021","92407","6000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25012","240706","25013","0","1000","25011","1000","0","1000"
"25102","92407","7000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240707","25015","0","3000","25021","3000","0","1000"
"25021","92407","8000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25012","240708","25013","0","3000","25011","3000","0","3000"
"25102","92407","9000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240709","25015","0","3000","25021","3000","0","1000"
"25102","92407","10000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25011","240710","25012","0","3000","25021","3000","0","1000"
"25102","92407","12000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25013","240711","25015","0","3000","25021","3000","0","1000"
"25021","92407","16000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25012","240712","25014","0","3000","25011","3000","0","3000"
"25021","92407","20000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25014","240713","25015","0","3000","25013","3000","0","3000"
"25021","92407","25000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25012","240714","25013","0","3000","25011","3000","0","3000"
"90005","92407","30000000000","0","2","abyss_reward_icon_hiseki","0","0","0","10","0","240715","0","0","0","0","0","0","0"
"90005","92407","35000000000","0","2","abyss_reward_icon_hiseki","0","0","0","20","0","240716","0","0","0","0","0","0","0"
"90005","92407","40000000000","0","2","abyss_reward_icon_hiseki","0","0","0","30","0","240717","0","0","0","0","0","0","0"
"90005","92407","50000000000","0","2","abyss_reward_icon_hiseki","0","0","0","50","0","240718","0","0","0","0","0","0","0"
"25102","92408","1000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240801","25015","0","1000","25021","1000","0","200"
"25021","92408","2000000000","2","2","abyss_reward_icon_astralshard","0","2","2","300","25012","240802","25013","0","1000","25011","1000","0","1000"
"25102","92408","3000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240803","25015","0","1000","25021","1000","0","500"
"25021","92408","4000000000","2","2","abyss_reward_icon_astralshard","0","2","2","500","25012","240804","25013","0","1000","25011","1000","0","1000"
"25102","92408","5000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240805","25015","0","1000","25021","1000","0","1000"
"25021","92408","6000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25012","240806","25013","0","1000","25011","1000","0","1000"
"25102","92408","7000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240807","25015","0","3000","25021","3000","0","1000"
"25021","92408","8000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25012","240808","25013","0","3000","25011","3000","0","3000"
"25102","92408","9000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25014","240809","25015","0","3000","25021","3000","0","1000"
"25102","92408","10000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25011","240810","25012","0","3000","25021","3000","0","1000"
"25102","92408","12000000000","2","2","abyss_reward_icon_masterpieces_piece","0","2","2","10","25013","240811","25015","0","3000","25021","3000","0","1000"
"25021","92408","16000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25012","240812","25014","0","3000","25011","3000","0","3000"
"25021","92408","20000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25014","240813","25015","0","3000","25013","3000","0","3000"
"25021","92408","25000000000","2","2","abyss_reward_icon_astralshard","0","2","2","1000","25012","240814","25013","0","3000","25011","3000","0","3000"
"90005","92408","30000000000","0","2","abyss_reward_icon_hiseki","0","0","0","10","0","240815","0","0","0","0","0","0","0"
"90005","92408","35000000000","0","2","abyss_reward_icon_hiseki","0","0","0","20","0","240816","0","0","0","0","0","0","0"
