cd7b6f7fa69e3615931149542e153d625d1b89062a8ec15db47da3331b838942,c335ddd20255fa0c66bc8ec271d30bd7228941ba85bf82081499c03caacde575,cdc605114adaf93ab7a6e27738d8843d1a4df216c10d8f136bc98b327d2664ac,7843ea67277210a15f084f0732da9d4a2b2dc32345879d949f7f152c5166640f,013d659f9693a0f0012d03bb39e95a3971b115f7446cd5b44e6237cad6d2bed4,f3aa48742053691bef84aab01691cb5f47199f3b684a3c78e0617e7fcff1a603,f649991b9e7f0e2bb753dd2f390bd73f20056486d72d0d90ac5869970f496d1c,10758e6dc7eb9f079302516d453e358b77425ff21eb1c432ecfd202c5ef2fb23,b1b65fef31b2be950ad0fc617e5c9de2a7041108b771f2d547903c8adc6d4740,9f7fe5727ab5a938a2ac8bc7b17952122fdb29aaf7b451ac5981b65842f88721,69e30779df4aa623e5682497b90c401dc2b9893fb0ac4a45b47cc90ad0fb09e6,13217e8344a37730d6c1bc543054c4e27c9653e64045f2e22668fa5f5bf78893,4ae3bc32ca827b0368c88dfd5804a417369888e8ca26fbc20bba09ada7be7ead,05aee2f47a2d9d6480464613ec5de1c7873888c537d14f2704f42af9480455a2,242dd8a5ec71464ae815f7de2afd9b52eb8d066844a9f9db019c410cf117dd4f,06683fcccb7909a9545a62de0b27b8f61bff1bc941c0e5a014ee52a1ab7d05d4,0dac79d730eb2524a10203d1d5eacddb2619afcba055c98bd1f24d29b9e07e5d,efb55644805bb82cca715c98c750e519dce1550db1e9eb6d1f8fe12eb26daef2,5aea8951525b847132f7b5d09ebc4f71ea7c33dcbcb1167386d69387162f4115,df3da8c98b42562cf61d17a399cdc1c783f8b2ea4370eac67ac07885d67ec463,17d10a7f2337fa8a3076359d521a070203558b0fe389bc73df8219b6d7ff0cdc,8e835a3233e0b418d69473d055f6b3358661d0bfab2f6969d9085f5ecd39facd,918bb5d48ce422f62a57eabcda0f5c52d5fb368c8049041cd76d6e5e0eaca67c,05bae4f5827979c11b587b4f066018494253d3fb9800dc0d9d001f5d6595f9c1,ac6ea90c8e8cc77fb27b9240d2c59693e12609beff16e71df66f85e308c10eb2,4b4183bec1806573b38afc9a9eca1686bcda4637cb60c33966b34288267b71c2,44ff627483b6d8c1e14571cf171ccdd13afd6cbb75ae325a149480e884fc8933,fa44080a7babe2ae7b0312fa80ef92a7d3e7aa9587351d8e9738f9d127518355,203030b2f37ae0490b12df0477bff440aea708f755e97a0462eac0e378c6c10f,6c3f492eb87b7f9e4d686f3181545c0f6be59ba555e5ad11b96169f29b0008d5,40f0b310c4753969e7e5c98e76d7f79e90c329c363f83469e352d9e3061c5de2,3d5d08a4c0e2bbbe12fd3d9f6e4d33cd43412d524548c12220e59d7e07548a2f,a9608a89c0966c6d6db83dce6d411b12a35008609e0df10573be2793bb1eaea6,32fbb2b86e751b879eded8cc0d0350eddd5f05baf3574db8bf160909f1caf6e6,365978fc04fe3fda12261c2766cbe440a0548019b96afa05abc844a4b4d61885,e0150d582d39b05b33edc93a3db6068ddcb58629409c35a8814333e0d439fc64,644f7af4f99f0ea45309db6f4afdfd73058f643f00a3bd2ae82be5155d959ddc,572b35c737aad0dcbe8166a352cb186195ad193be37349fa7238481f14502f22,9af95a8b4538fd7ea852a6bcbbd9e5451fcff4c37107d7200a6d06b10d657d75,a666180f0e67ca1f9980da8ae87e16b705dfd4f8144747fac4ddec92a9e5bc8f,3a32f316a1a2989927ba2b8756c1fb7a10567b4ee477585e859729988f1f49b6,9f7d7de1a8cb78f41fa24614af4b9801eff0f912b3d21dd69d25fdde9fb6ea6b,2938bff37ecf91fe770de5a678da7ab15aa3d3189d05b628b48b0597fb95b529,91d95aacc6040458337e22ed29d9af30c41257b61fcfd5add9095ae1a9ed850e,9dfbe550242d9cd3d4cb468211590b7d3bff2b4f76c2707371019373f8987d1d,c4570dc8104f333b06a3069ebc3534886cdd37d4fa8d98a10372ddd1a842989c,662abd960cc8fefded37aa229cb8d17cd8c5f5af843c551d84498b38bd3f0475,44d2c4662bd015f5a4a8c2ec49c9cee018e66d3769db6535a309fd71b9dc7801,cf206130191dcfc8f3e027b20785a58d55e91ec96e57924a39cc5ef46eb0e7c7,1701b7a215b85f7c5bdb5298f2e848af76c494ab787e2da5fd43c78f87b8ed11
"-101","0","30","0.7","71010001","101181","bgm_M127","0","1","0.7","-301","0","0","0","0","1","5","0","0","0","40001","0","1","0","710100011","0","500","0","0","1","100","-100","99","0","2100101","0","94002","0.7","1","0.7","91002","100","299","0.7","0","90","12000","0","113011","0"
"-101","0","30","0.7","71010002","101181","bgm_M127","0","3","0.7","-301","0","0","0","0","2","5","1","0","0","40001","0","1","0","710100021","0","500","0","0","1","100","-100","99","0","2100102","0","94002","0.7","1","0.7","91002","100","299","0.7","0","90","12100","0","123042","0"
"-101","0","30","0.7","71010003","101181","bgm_M127","0","4","0.7","-301","0","0","0","0","3","5","1","0","0","40004","0","1","0","710100031","0","500","0","0","1","100","-100","99","0","2100103","0","94002","0.7","1","0.7","91002","100","299","0.7","0","90","12200","0","113071","0"
"-101","0","30","0.7","71010004","101181","bgm_M127","0","2","0.7","-301","0","0","0","0","4","5","1","0","0","40001","0","1","0","710100041","0","500","0","0","1","100","-100","99","0","2100104","0","94002","0.7","1","0.7","91002","100","299","0.7","0","90","12300","0","123072","0"
"-101","0","30","0.7","71010005","101181","bgm_M127","0","1","0.7","-301","0","0","0","0","5","5","1","0","0","40001","0","1","0","710100051","0","500","0","0","1","100","-100","99","0","2100105","0","94002","0.7","1","0.7","91002","100","299","0.7","0","90","12400","0","113012","0"
"-168","0","30","0.7","71010006","101181","bgm_M127","0","3","0.9","-335","0","0","0","0","6","5","1","0","0","40004","0","1","0","710100061","0","500","0","333","1","100","-100","-1","0","2100106","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","12500","0","113013","0"
"-168","0","30","0.7","71010007","101181","bgm_M127","0","4","0.7","-335","0","0","0","0","7","5","1","0","0","40004","0","1","0","710100071","0","500","0","333","1","100","-100","-1","0","2100107","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","12600","0","123041","0"
"-168","0","30","0.7","71010008","101181","bgm_M127","0","2","0.7","-335","0","0","0","0","8","5","1","0","0","40004","0","1","0","710100081","0","500","0","333","1","100","-100","-1","0","2100108","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","12700","0","123161","0"
"-168","0","30","0.7","71010009","101181","bgm_M127","0","1","0.7","-335","0","0","0","0","9","5","1","0","0","40004","0","1","0","710100091","0","500","0","333","1","100","-100","-1","0","2100109","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","12800","0","113162","0"
"0","0","1","0.7","71010010","101183","bgm_M126","12900","3","1","-1","1","0","0","0","10","100","-1","0","0","40004","0","1","0","710100101","-20","500","94002","0","1","100","-100","0","0","2100110","0","113191","0.7","1","0.7","140000","100","0","0.7","0","90","5","0","91002","0"
"-168","0","30","0.7","71010011","101181","bgm_M127","0","4","0.7","-335","0","0","0","0","11","5","1","0","0","40004","0","1","0","710100111","0","500","0","333","1","100","-100","-1","0","2100111","0","94002","0.7","1","0.7","91002","100","166","0.9","0","90","13000","0","123192","0"
"-168","0","30","0.7","71010012","101181","bgm_M127","0","2","0.7","-335","0","0","0","0","12","5","1","0","0","40004","0","1","0","710100121","0","500","0","333","1","100","-100","-1","0","2100112","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","13100","0","123193","0"
"-168","0","30","0.7","71010013","101181","bgm_M127","0","1","0.7","-335","0","0","0","0","13","5","1","0","0","40004","0","1","0","710100131","0","500","0","333","1","100","-100","-1","0","2100113","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","13200","0","113221","0"
"-168","0","30","0.7","71010014","101181","bgm_M127","0","3","0.7","-335","0","0","0","0","14","5","1","0","0","40004","0","1","0","710100141","0","500","0","333","1","100","-100","-1","0","2100114","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","13300","0","113222","0"
"-168","0","30","0.7","71010015","101181","bgm_M127","0","4","0.7","-335","0","0","0","0","15","5","1","0","0","40004","0","1","0","710100151","0","500","0","333","1","100","-100","-1","0","2100115","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","13400","0","123251","0"
"-168","0","30","0.7","71010016","101181","bgm_M127","0","2","0.7","-335","0","0","0","0","16","5","1","0","0","40004","0","1","0","710100161","0","500","0","333","1","100","-100","-1","0","2100116","0","94002","0.7","1","0.7","91002","100","166","0.7","0","90","13500","0","113252","0"
