3e5fb5e468b41e84042a65c0a5d1aee20e02c9455efe6c3817358558610848e0,c91412b885f24cf6e0305d3ffa461f88fd940d4a720b5009c69f34c0084b1b8d,e05cd1636a7342800bd6c60569747939186a19996867b47e0321a53e647b321a,42ed1304b3c2b321a83270802323c3c97efc6ea3f72cf958b7df566449022eea,917e5a2c2b7baf39c6e7d85a4801d24c8af95426494957f13484224a5a34bb6f,58042b74bfdec05eac73492d0ca7402b55df58d8a2b0ec31066029ee5806528c,5d12d299a4adfd9d84e5b962604c2ef018ee766cd7279de074db8a44a41e8c20,d701231d49b98254137603af1435c78d08dc12cfafeadcf58f439dfdcc209751,5370eb0c4a3267f5f25be7b3f3667017ed54636ba8dfaf4525be32c1957b1224,c0eb2b93e2ea14c46d62031a13dc008a93690aadf0814736c9a910c038352246,11caca0c0250ba796046e13a4df31fb534c3b2bfb8229da46c8928bb3bf8b14f
"30001","0","0","380000","380000","2015/04/01 15:00:00","0","2018/08/08 15:59:59","1","1","0"
"30002","0","0","380000","380000","2018/08/08 16:00:00","0","2018/08/20 15:59:59","1","2","0"
"30003","0","0","380000","380000","2018/08/20 16:00:00","0","2018/08/31 15:59:59","1","3","0"
"30004","0","0","380000","380000","2018/08/31 16:00:00","0","2018/09/14 15:59:59","1","4","0"
"30005","0","0","380000","380000","2018/09/14 16:00:00","0","2018/09/21 15:59:59","1","5","0"
"30006","0","0","380000","380000","2018/09/21 16:00:00","0","2018/10/09 15:59:59","1","6","0"
"30007","0","0","380000","380000","2018/10/09 16:00:00","0","2018/10/22 15:59:59","1","7","0"
"30008","0","0","380000","380000","2018/10/22 16:00:00","0","2018/11/08 15:59:59","1","8","0"
"30009","0","0","380000","380000","2018/11/08 16:00:00","0","2018/11/15 15:59:59","1","9","0"
"30010","0","0","380000","380000","2018/11/15 16:00:00","0","2018/11/30 15:59:59","1","10","0"
"30011","0","0","380000","380000","2018/11/30 16:00:00","0","2018/12/13 15:59:59","1","11","0"
"30012","0","0","380000","380000","2018/12/13 16:00:00","0","2018/12/27 15:59:59","1","12","0"
"30014","0","0","380000","380000","2019/01/09 16:00:00","0","2019/01/22 15:59:59","1","14","0"
"30015","0","0","380000","380000","2019/01/22 16:00:00","0","2019/02/01 11:59:59","1","15","0"
"50018","0","380000","380000","0","2019/02/01 12:00:00","380000","2019/02/04 23:59:59","2","16","0"
"30016","0","0","380000","380000","2019/02/13 16:00:00","0","2019/02/27 15:59:59","1","17","0"
"30017","0","0","380000","380000","2019/02/27 16:00:00","0","2019/03/13 15:59:59","1","18","0"
"30019","0","0","380000","380000","2019/03/13 16:00:00","0","2019/03/27 15:59:59","1","20","0"
