58687c83e0a8e36ad78fad91f3f1a32b25a72e3dfe6d23c5d3fd14a2e70c1c29,2e42e7ac4abb91f48a48facb2a8889547ca323f8b5a3bfa545e60be9fbd48dc1,2c62d0fcfec9bcce386ba1f11c64a31501d6647478c3fd7e8965ece2251f941a,4674f944518cf6ddc89c74d7650ce76c55138838ea5cbb951ee40ae179b8a898,ef6800e8bf4a1323581fc5019c1b8a3822eac3bcfeac740c49d47fa0dd026038
"91002","1","8","100","1"
"91002","2","8","100","2"
"91002","3","8","100","3"
"91002","4","8","100","4"
"91002","5","8","100","5"
"23003","6","2","500","6"
"140001","7","4","100","7"
"21953","8","2","1","8"
"23003","9","2","500","9"
"25001","10","2","100","10"
"90005","11","2","100","11"
"41000","12","2","1","12"
"23003","13","2","500","13"
"25011","14","2","10000","14"
"25012","15","2","10000","15"
"25013","16","2","10000","16"
"25014","17","2","10000","17"
"25015","18","2","10000","18"
"25021","19","2","5000","19"
"25101","20","2","1","20"
"23003","21","2","100","21"
"25011","22","2","10000","22"
"25012","23","2","10000","23"
"25013","24","2","10000","24"
"25014","25","2","10000","25"
"25015","26","2","10000","26"
"25021","27","2","5000","27"
"91002","28","8","100","28"
"23003","29","2","150","29"
"23003","30","2","150","30"
"23003","31","2","150","31"
"23003","32","2","150","32"
"23003","33","2","150","33"
"23003","34","2","150","34"
"26202","35","2","50000","35"
"26202","36","2","50000","36"
"26203","37","2","1","37"
"26202","38","2","50000","38"
"26202","39","2","50000","39"
"26203","40","2","1","40"
"26202","41","2","50000","41"
"26202","42","2","50000","42"
"26203","43","2","1","43"
"26202","44","2","50000","44"
"26202","45","2","50000","45"
"26203","46","2","1","46"
"26202","47","2","50000","47"
"26202","48","2","50000","48"
"26203","49","2","1","49"
