095ee1a62d32ff0e54516c4dae014d8539855daec18b5767427bdb1188eea2c6,61adfc5661790d1161edbcaf4502044b95001688d77f7e475f62dc3500beac7f,ddcacc006b22edf6d225d3978554002556e41c37345a061ec44acfbc3ec4faab,c17c94573c48b66d68d56bfcc3f0ea5c234d3d27bec2f9ca17fc25e71512504d,77804d06c3344f78288e12936bbbb024d2d67e8684efe122fb26f9160d96c80b,df8816534c2d7b1c88ea523304eddc10a956f488de26291f376c104b0e8a942f,a1689a0e3707d7709002bfc8fcb5359e409a8c7ee36acb47c5cde446d44d6d5a,08d490bca67edcce811e102a2b44f9ed650761c6d15ee7b46de84fe43f9ea2e1,8532f3e8fcb30b35e7a8169e8aebca6bfea9a3d83ca59897757db869f584ffbc,60ed49e16388f18bc71172621cda3bb240321453911f0704c38aabe09872f1f5,5afaa7c169956b5b45130e6b0e4ad7c9b1d5fd7bb3c29d33291319aa555829d0,a3570fa964f30e0d4f146e30b121f39a4576d91856bd53f2c48fea5f0644b345,ebbdebc2ba6bfb93adc30f400fb5eb1d44eb2e47237bfc72f31560edafcefeaa,4e91b218524000ae28ee0827d5625f31d69109bc0757f1e4f74d226a96c58ed0,86cac6470a1d63c125612523ad0623435c49960bbd7076b5b6df29f76c8fa362,f9146ed5034fbbddff48dce0aceaf0660d0b93eea991bc213ab297ed54dbdd91,2e8078026344d84914b58f4a6d86a5e118fd4c476de99a97f504c6aadb84307d,75fb7d09215ba91f755ad9ab75362d182964b061a4c4d4a4882e85fae4e961eb
"20000","94002","0","0","0","累積獲得分數2000點","0","0","0","1","2000","0","0","12","0","0","0","0"
"30000","94002","0","0","0","累積獲得分數4000點","0","0","0","2","4000","0","0","12","0","0","0","0"
"25","91002","0","0","0","累積獲得分數8000點","0","0","0","3","8000","0","0","8","0","0","0","0"
"40000","94002","0","0","0","累積獲得分數10000點","0","0","0","4","10000","0","0","12","0","0","0","0"
"50000","94002","0","0","0","累積獲得分數12000點","0","0","0","5","12000","0","0","12","0","0","0","0"
"20","23001","0","0","0","累積獲得分數14000點","0","0","0","6","14000","0","0","2","0","0","0","0"
"50","91002","0","0","0","累積獲得分數18000點","0","0","0","7","18000","0","0","8","0","0","0","0"
"70000","94002","0","0","0","累積獲得分數21000點","0","0","0","8","21000","0","0","12","0","0","0","0"
"80000","94002","0","0","0","累積獲得分數24000點","0","0","0","9","24000","0","0","12","0","0","0","0"
"75","91002","0","0","0","累積獲得分數27000點","0","0","0","10","27000","0","0","8","0","0","0","0"
"50","23001","0","0","0","累積獲得分數35000點","0","0","0","11","35000","0","0","2","0","0","0","0"
"100","91002","0","0","0","累積獲得分數40000點","0","0","0","12","40000","0","0","8","0","0","0","0"
"100000","94002","0","0","0","累積獲得分數45000點","0","0","0","13","45000","0","0","12","0","0","0","0"
"1","11001086","0","0","0","累積獲得分數50000點","0","0","0","14","50000","0","0","15","0","0","0","0"
