2fca826b548c37bdb0133a41ab2f0bfe85d1f79f1285402ebc8ac4ee0dcd913d,0acf69437044dc4e0bcf976fd6244a32900224d0df8fc9a35ffcb3809ca1f063,5aacec8c42594d6715fe1a59ba6f3c646098f89e1d5e994d4cefdf3ed1b6ff3d,da19b9144bba38f1b0a67fc3691ea106563afa34a0d0d294c0975a7ebc7c5a3c,1cf5c1cbb0c6ff0699b08a54dd300bb4323c187e4c064ce5cd4ccddd9fd76dac,9696606071a5644919bb61b5df4bfdeceb07c44677b753653c7b725f974904f5,f9e1b6cd340182f8b329023745c8c80aa149d5c625db141f3d3fcade9be72a9c,a6be605fdab81fa2cafffb00e45a1f32dec6df27967788f82e725c38fe3f127c,46acdba1185669c48abde270b1eb5a58d90bcdf0eb87cd9e179e1cb0980a53b2,095d595eef5e55e057f4b5b214ba393469954768cf3c89a104a0d37b6c199333,8da7e30ec6006cf2213139555b50ab6dfdf6c351fdd2209ff2046f8dc768c0fa
"25","10128","20070115","2","91002","0","5128071","0","0","8","只有兩人的元旦日出"
"25","10128","0","2","91002","0","5128072","5128071","0","8","新家的必備條件"
"25","10128","0","2","91002","0","5128073","5128072","0","8","其實比誰都還要"
"25","10128","0","2","91002","0","5128074","5128073","0","8","想要一家人\n一起珍惜的事"
"50","10128","0","2","91002","0","5128075","5128074","0","8","誓約的諾言"
"25","10128","20070115","3","91002","0","5128081","0","0","8","染血的訂婚通知"
"25","10128","0","3","91002","0","5128082","5128081","0","8","漂泊之人的尋家路"
"25","10128","0","3","91002","0","5128083","5128082","0","8","珍愛時光"
"25","10128","0","3","91002","0","5128084","5128083","0","8","東國的\n家族文化"
"50","10128","0","3","91002","0","5128085","5128084","0","8","傳達真誠的愛"
"0","10128","0","4","0","5128085","5128091","5128075","0","0","口頭約定是禍端"
"0","10128","0","4","0","0","5128092","5128091","11001271","0","不容退讓的家庭味道"
"0","10128","20070115","1","0","0","5128161","0","0","0","夢境說書人的邀請"
