da19b9144bba38f1b0a67fc3691ea106563afa34a0d0d294c0975a7ebc7c5a3c,a6be605fdab81fa2cafffb00e45a1f32dec6df27967788f82e725c38fe3f127c,f9e1b6cd340182f8b329023745c8c80aa149d5c625db141f3d3fcade9be72a9c,9696606071a5644919bb61b5df4bfdeceb07c44677b753653c7b725f974904f5,5aacec8c42594d6715fe1a59ba6f3c646098f89e1d5e994d4cefdf3ed1b6ff3d,8da7e30ec6006cf2213139555b50ab6dfdf6c351fdd2209ff2046f8dc768c0fa,46acdba1185669c48abde270b1eb5a58d90bcdf0eb87cd9e179e1cb0980a53b2,0acf69437044dc4e0bcf976fd6244a32900224d0df8fc9a35ffcb3809ca1f063,2fca826b548c37bdb0133a41ab2f0bfe85d1f79f1285402ebc8ac4ee0dcd913d,1cf5c1cbb0c6ff0699b08a54dd300bb4323c187e4c064ce5cd4ccddd9fd76dac,095d595eef5e55e057f4b5b214ba393469954768cf3c89a104a0d37b6c199333
"2","0","5128071","0","20070115","只有兩人的元旦日出","0","10128","25","91002","8"
"2","5128071","5128072","0","0","新家的必備條件","0","10128","25","91002","8"
"2","5128072","5128073","0","0","其實比誰都還要","0","10128","25","91002","8"
"2","5128073","5128074","0","0","想要一家人\n一起珍惜的事","0","10128","25","91002","8"
"2","5128074","5128075","0","0","誓約的諾言","0","10128","50","91002","8"
"3","0","5128081","0","20070115","染血的訂婚通知","0","10128","25","91002","8"
"3","5128081","5128082","0","0","漂泊之人的尋家路","0","10128","25","91002","8"
"3","5128082","5128083","0","0","珍愛時光","0","10128","25","91002","8"
"3","5128083","5128084","0","0","東國的\n家族文化","0","10128","25","91002","8"
"3","5128084","5128085","0","0","傳達真誠的愛","0","10128","50","91002","8"
"4","5128075","5128091","5128085","0","口頭約定是禍端","0","10128","0","0","0"
"4","5128091","5128092","0","0","不容退讓的家庭味道","11001271","10128","0","0","0"
"1","0","5128161","0","20070115","夢境說書人的邀請","0","10128","0","0","0"
