3d1e0fe38babac2548e6893b189231ba9bd40bc48ca84698b18711071ce6e0b6,da6ad9d90c875df0244331259c7332b3607568a2fe07e94b538d9bbf7e73c602,13fab2cd3114789c2dc632ac55a289630a812a6846e1f6160eaf2e8097bb8644,0080f7616ece9ba86630d70ddcdde483bf04183ef0cb48f1ec2128196e5e7f0a,ea434118e538db5be7a985f1dcd7c31e24f91f89de3885dc4b5cc68242b8e790,589e1a2f8a47fbc5dcf62ec71f27a98429e47d283587a3bf674519448bf76b21
"2114001","1005","212","802100290","211","1"
"2114002","1006","212","802100290","211","1"
"2114003","1007","212","802100290","211","1"
"2114004","1008","212","802100290","211","1"
"2113061","100501","100","802100266","104","0"
"2113062","100502","100","802100266","104","0"
"2113063","100503","102","802100266","105","0"
"2113064","100504","103","802100266","106","0"
"2113065","100505","100","802100266","104","0"
"2113066","100506","100","802100266","104","0"
"2113067","100507","102","802100266","105","0"
"2113068","100508","103","802100266","106","0"
"2113069","100509","100","802100266","104","0"
"2113070","100510","100","802100266","104","0"
"2113071","100511","100","802100267","104","0"
"2113072","100512","100","802100267","104","0"
"2113073","100513","102","802100267","105","0"
"2113074","100514","103","802100267","106","0"
"2113075","100515","100","802100267","104","0"
"2113076","100516","100","802100267","104","0"
"2113077","100517","102","802100267","105","0"
"2113078","100518","103","802100267","106","0"
"2113079","100519","100","802100267","104","0"
"2113080","100520","100","802100267","104","0"
"2113081","100521","100","802100268","104","0"
"2113082","100522","100","802100268","104","0"
"2113083","100523","102","802100268","105","0"
"2113084","100524","103","802100268","106","0"
"2113085","100525","100","802100268","104","0"
"2113086","100526","112","802100268","208","1"
"2113087","100527","110","802100268","201","1"
"2113088","100528","100","802100268","104","0"
"2113089","100529","102","802100268","105","0"
"2113090","100530","103","802100268","106","0"
"2113031","100601","114","802100263","203","1"
"2113032","100602","113","802100263","202","1"
"2113033","100603","102","802100263","105","0"
"2113034","100604","103","802100263","106","0"
"2113035","100605","114","802100263","203","1"
"2113036","100606","113","802100263","202","1"
"2113037","100607","111","802100263","204","1"
"2113038","100608","113","802100263","202","1"
"2113039","100609","113","802100263","202","1"
"2113040","100610","103","802100263","106","0"
"2113041","100611","114","802100264","203","1"
"2113042","100612","113","802100264","202","1"
"2113043","100613","102","802100264","105","0"
"2113044","100614","103","802100264","106","0"
"2113045","100615","114","802100264","203","1"
"2113046","100616","113","802100264","202","1"
"2113047","100617","111","802100264","204","1"
"2113048","100618","113","802100264","202","1"
"2113049","100619","113","802100264","202","1"
"2113050","100620","103","802100264","106","0"
"2113051","100621","102","802100265","105","0"
"2113052","100622","114","802100265","203","1"
"2113053","100623","113","802100265","202","1"
"2113054","100624","111","802100265","204","1"
"2113055","100625","103","802100265","106","0"
"2113056","100626","112","802100265","208","1"
"2113057","100627","110","802100265","201","1"
"2113058","100628","114","802100265","203","1"
"2113059","100629","113","802100265","202","1"
"2113060","100630","103","802100265","106","0"
"2113091","100701","112","802100269","205","1"
"2113092","100702","112","802100269","206","1"
"2113093","100703","117","802100269","102","0"
"2113094","100704","102","802100269","105","0"
"2113095","100705","102","802100269","105","0"
"2113096","100706","113","802100269","202","1"
"2113097","100707","114","802100269","203","1"
"2113098","100708","117","802100269","102","0"
"2113099","100709","102","802100269","105","0"
"2113100","100710","113","802100269","202","1"
"2115001","100711","112","802100270","205","1"
"2115002","100712","117","802100270","102","0"
"2115003","100713","102","802100270","105","0"
"2115004","100714","103","802100270","106","0"
"2115005","100715","114","802100270","203","1"
"2115006","100716","113","802100270","202","1"
"2115007","100717","112","802100270","207","1"
"2115008","100718","102","802100270","105","0"
"2115009","100719","103","802100270","106","0"
"2115010","100720","113","802100270","202","1"
"2115011","100721","112","802100271","205","1"
"2115012","100722","112","802100271","208","1"
"2115013","100723","117","802100271","102","0"
"2115014","100724","102","802100271","105","0"
"2115015","100725","103","802100271","106","0"
"2115016","100726","112","802100271","208","1"
"2115017","100727","110","802100271","201","1"
"2115018","100728","117","802100271","102","0"
"2115019","100729","102","802100271","105","0"
"2115020","100730","103","802100271","106","0"
"2113001","100801","104","802100260","103","0"
"2113002","100802","100","802100260","104","0"
"2113003","100803","100","802100260","104","0"
"2113004","100804","102","802100260","105","0"
"2113005","100805","102","802100260","105","0"
"2113006","100806","100","802100260","104","0"
"2113007","100807","100","802100260","104","0"
"2113008","100808","102","802100260","105","0"
"2113009","100809","102","802100260","105","0"
"2113010","100810","101","802100260","107","0"
"2113011","100811","104","802100261","103","0"
"2113012","100812","100","802100261","104","0"
"2113013","100813","100","802100261","104","0"
"2113014","100814","102","802100261","105","0"
"2113015","100815","103","802100261","106","0"
"2113016","100816","100","802100261","104","0"
"2113017","100817","100","802100261","104","0"
"2113018","100818","102","802100261","105","0"
"2113019","100819","103","802100261","106","0"
"2113020","100820","100","802100261","104","0"
"2113021","100821","104","802100262","103","0"
"2113022","100822","100","802100262","104","0"
"2113023","100823","100","802100262","104","0"
"2113024","100824","102","802100262","105","0"
"2113025","100825","102","802100262","105","0"
"2113026","100826","112","802100262","208","1"
"2113027","100827","110","802100262","201","1"
"2113028","100828","102","802100262","105","0"
"2113029","100829","103","802100262","106","0"
"2113030","100830","104","802100262","103","0"
