0fe5a72348f266148ce8ce2f8811c6c08627f1d8a2700a9b6e3da64d13a2e1a2,fddd051fe5dd4c073c3f900aa06c4953f326719bac78993d76854501e23d831f,32ea4645b7a0c9d0888381662c5e2150aef63c507d6a62f5b1d367e209d094ea,ff626e10bf61ae08b1457d24cce0cb514f5bec41ac231d83047ec98c6fbc6197,967cbc9ee6155f24cfc370e290c2627f460fd01ca561b2b47306db91f210a6e3,05092627a1b5e23728ac8584d0f7bc420920175629eb11b5a70afdf60c364590,89b051f5705171e6a1862280fed234ba85fdcb45751a05597e7e6cc7d08a1af4,c6b258dbf26283d9d16123ac1222f58ce07b1471d602b07179bff5e58350e4dc,14531f249c3a4952be1e7c27115e7ae3e02ca27f985639542db2affe0a316351,1bd589d4dc8b365fd91f107e3174673303c9410fc877cc7f0b19644ace07c004,b0ff59303cf58fd6e3eabfc40f62b6aa9214055515a3b2b809d2f06e7301c47a,653656675b98a7968b24104e86729565f509e4d7442225601f4dd709bda958ad,b06a6d7028bdf4c3fbb27d0b94f846b50c752dd9799243d7c5853ea1233011fb,a241ff8c6f36811dba222ac2ca0c8cacff6e7a0f91f62029db694845c416c19e,2798b248cf51908dbfad018d6f8bd80048dea6e18fff174d45eb44a4fc23253e,7093d1840fe1215809cd8c024be3a00e9ff039a798101760a92eeb50369150e0,7a37838250ec5d5de9f98c44bf260084208a4540880f1cadfe0b9b3968aa7e68,42023f231d515d9d4967a3ad592f637f7cf7e5ac9ee340e1243c41a2858897be,e4091e495eedfea3912041b37ebdca0fa34e95eda068b92baac59ee9e9cdf4a7,fcd5b3d8fdfea8e9e81aca4551a27c9998815042085f7aaf1c02da205d4bf7ea,de345f2229c21ea5317c040d3391d5b38d8760393acf7fec0e88e8c180362f45,84e4cca0f839677454fc75ceb4295aeb10c3ecf8a341b9c3091589d35a243578,0eec9b0c1a5de560d1538e9d7dd1bd91bfd20818329594c3b6d4f86738723737,5972312a19ee6e9322f757bb769b7a685a9e1aa5aa99191c322b6a22df09f06d,61f4b102fb62cd2ecd945758a9598509dc7e174f7ad6c2683c1845fde061e906,4226a70e2ec9ef9db5a2f8a530ee54873f35bcbbab311fc7920360632e55e58c,01df54d5b9b80b7acbe61962e2c829537fa88ce2b7863b78d6d94c944bf86c28,6844932d6f58a10856d66eca683c187f47e0698a9e88b10f79d180566ed6846d,bcfa388abe0072f6b5de53cc2dc800d44aa8832e390e985c7a102190ee535a86,4acb98db2457bb748bfcf234827cc2001fba8cd01dd282283d72bdd1ec0c95e9,c716196e87323d6b7418a3c3ecf36266df4748977d5c63ac83ffa81865ba88cc,6d8f82386e21b540d6df214008b37673da9a609e45340a144363044a81b13f17,0211eaf41895f570dfe2ac7a7f3435763ab77ad45934b3871a1e6deeb1f893c7,dec981e57bdf3ceabbcebfafce9fc0cda091671fe3a1d43ef5bc3475318d7af3,3b6d4c1116d7b912d956154568142cdba46f7fbca6ac3c9501c2b9090bdef79b,9d2cd74d4a78e0e94236526386eca229035af4aedacd4b87c93bcb6c5056b5e4,166543828b17950d9190737ffb8ed82e17a53b32cc2eb4700853e746b049642b,468a6c5ed91e470085175567f72614dbdaccd0230627f176fecb1e58024c3c3d,6a01735eada64ace895030967a9ec32dcbeddd1b1a75630de4fda2758c07ffb9,90479a21d4b604de0cc7d3923c0ca3ab322e79cbedc25bc7d79ebbf3bbc90ba7,f9c5b1c4edead1326131ff923a5da24a9b45d03fb70c481dbd95408ce9f3ccd4,9fbc154fd9027cf8c1aaac0958d5494f6580c46d3396dc3312508a5332333cc1,16068688c6c5b9169d0e56f0250d5f0476642bd6be6fe0f9bad93abe13382073,8c48fba8ae2c8803f3079c7cdde494e4056ce9492059e678885f4613bb31f7e3
"1","20001101","90","0","650001101","20001101","20001","0","0","bgm_M41","0","650001124","塔爾格姆地區 1-1","0","650130011","bgm_M41","bgm_M41","100015","bgm_M41","100020","100014","0","8","1","0","0","-50","100014","120","0","0","0","0","8","0","100016","650130013","bgm_M41","1","-820","650130012","0","bgm_M41","8"
"2","20001101","90","0","650001102","20001102","20001","0","0","bgm_M41","0","650001125","塔爾格姆地區 1-2","0","650140011","bgm_M41","bgm_M41","100015","bgm_M41","100020","100014","0","8","1","0","0","-140","100014","120","0","0","0","0","8","0","100016","650140013","bgm_M41","1","-710","650140012","0","bgm_M41","8"
"3","20001101","90","0","650001103","20001103","20001","0","0","bgm_M41","0","650001126","塔爾格姆地區 1-3","0","650150011","bgm_M41","bgm_M41","100092","bgm_M41","100030","100091","0","8","1","0","0","0","100091","120","0","0","0","0","8","0","100093","650150013","bgm_M41","1","-620","650150012","0","bgm_M41","8"
"4","20001101","90","0","650001104","20001104","20001","0","0","bgm_M41","0","650001127","塔爾格姆地區 1-4","0","650160011","bgm_M41","bgm_M41","100042","bgm_M41","100040","100041","0","8","1","0","0","-90","100041","120","0","0","0","0","8","0","100043","650160013","bgm_M41","1","-500","650160012","0","bgm_M41","8"
"5","20001101","90","0","650001105","20001105","20001","0","0","bgm_M41","0","650001123","塔爾格姆地區 1-5","0","650170011","bgm_M41","bgm_M41","100092","bgm_M41","100030","100091","0","8","1","0","0","45","100091","120","0","0","0","0","8","0","100093","650170013","bgm_M41","1","-425","650170012","0","bgm_M41","8"
"6","20001101","90","0","650001106","20001106","20001","0","0","bgm_M41","0","650001124","塔爾格姆地區 1-6","0","650180011","bgm_M41","bgm_M41","100062","bgm_M41","100010","100061","0","9","1","0","0","0","100061","135","0","0","0","0","9","0","100063","650180013","bgm_M41","1","-280","650180012","0","bgm_M41","9"
"7","20001101","90","0","650001107","20001107","20001","0","0","bgm_M41","0","650001125","塔爾格姆地區 1-7","0","650190011","bgm_M41","bgm_M41","100022","bgm_M41","100050","100021","0","9","1","0","0","-160","100021","135","0","0","0","0","9","0","100023","650190013","bgm_M41","1","-220","650190012","0","bgm_M41","9"
"8","20001101","90","0","650001108","20001108","20001","0","0","bgm_M41","0","650001126","塔爾格姆地區 1-8","0","650200011","bgm_M41","bgm_M41","100042","bgm_M41","100040","100041","0","9","1","0","0","-10","100041","135","0","0","0","0","9","0","100043","650200013","bgm_M41","1","-100","650200012","0","bgm_M41","9"
"9","20001101","90","0","650001109","20001109","20001","0","0","bgm_M41","0","650001127","塔爾格姆地區 1-9","0","650210011","bgm_M41","bgm_M41","100015","bgm_M41","100020","100014","0","9","1","0","0","30","100014","135","0","0","0","0","9","0","100016","650210013","bgm_M41","1","30","650210012","0","bgm_M41","9"
"10","20001101","90","0","650001110","20001110","20001","0","0","bgm_M41","0","650001122","塔爾格姆地區 1-10","0","650220011","bgm_M41","bgm_M41","100092","bgm_M41","100030","100091","0","9","1","0","0","-80","100091","135","0","0","0","0","9","0","100093","650220013","bgm_M41","1","140","650220012","0","bgm_M41","9"
"11","20001101","90","0","650001111","20001111","20001","0","0","bgm_M41","0","650001124","塔爾格姆地區 1-11","0","650230011","bgm_M41","bgm_M41","100102","bgm_M41","100070","100101","0","10","1","0","0","61","100101","150","0","0","0","0","10","0","100103","650230013","bgm_M41","1","260","650230012","0","bgm_M41","10"
"12","20001101","90","0","650001112","20001112","20001","0","0","bgm_M41","0","650001125","塔爾格姆地區 1-12","0","650240011","bgm_M41","bgm_M41","100062","bgm_M41","100010","100061","0","10","1","0","0","-96","100061","150","0","0","0","0","10","0","100063","650240013","bgm_M41","1","345","650240012","0","bgm_M41","10"
