dd3f624cd8e99cbd3f0a18715e5daedde132bdafc2d0efc98fbbb8cd9bcac166,11f2da4c00b9da3afa03c11efd2f9c3d6f4a664378f8a4aae931db545cbb22cd,c4bf01da04d4651bc5590e39b28cf9657bc901a6957066099d273f0fa75b116a,4cd6c84cda7d5652f69930af466f34b2454300885a71d9ea5e61b432c7358adf,5076fb1c2d22f1efa456490aedccbe7fc15bbe40c7605369649ca52ecd9a752f,5bbb09cc4806e0034847e26cacae2c13060a9d42a91ec89b0525bfa15f115bfd,9cd109500f1c16c9127c8bc43070d2aa44ae3b7e7ea70ff4255acf3facf2655e,1d527258ed71ab08fdadc80347c6ba46df2761b39b7e9b6f043e22812e0883e1,e0aa90f7721ab19d685dd3a2e533979878fe5326c5329658dc9699ca2271c590,4a59883cf4fcfdaaf71c9acaf5ecfce92fce70e9b8d0642a3146bf835becdca4,30f5151588dbb0bd91071f9241ccc62510a977a40c1773f2529e73e61f991d4d,dbf6c7f5a5191938e6d16e71bedf4b2586e7c48b2fe3341eb2099377eb5742b1,49153734831ef526334d9f8e916aa840b5ac7aa5d9854cb811b902fccef8bece
"2","3001","-416.5","1","130011","2025/03/01 16:00:00","0","2030/01/01 14:59:59","倭","2.1","3001100","100","任務嗎……\n剛剛好，\n我們就來賭一下\n能解決到哪裡吧。"
"2","3001","-416.5","4","130011","2025/03/01 16:00:00","0","2030/01/01 14:59:59","倭","5.68","3001101","101","雖然乖乖照別人指示\n去執行任務這種事，\n不合我的個性就是了……\n不過，就去收下報酬吧。"
"1","3001","-416.5","1","130011","2025/03/01 16:00:00","0","2030/01/01 14:59:59","倭","0","3001102","102","什麼事？\n要做的話就快點做完吧。\n布武機在抱怨說\n快點把要做的事情做完了喔。"
"1","3002","-416.5","1","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","0","3002100","100","咦～？你有事情要拜託我～？\n要怎麼辦才好呢～\n如果你能好好拜託我的話，\n我可以考慮幫你看看喔～？"
"1","3002","-416.5","1","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","0","3002101","101","好啦好啦，\n你想要這個對吧～？\n真拿你沒辦法呢～\n雜碎哥～哥♡"
"2","3002","-416.5","5","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","8.53","3002102","102","嘿～你想要嗎～？\n想要我重‧要‧的‧東‧西，\n啊哈哈！你在想什麼啊？\n你真是變態又可疑呢～ｗ"
"1","3002","-416.5","7","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","5.67","3002103","103","什麼什麼～？\n難道說你又打算來求我了嗎？\n你雖然是那麼說，\n但是會不會其實只是想來見我吧～？"
"1","3002","-416.5","1","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","0","3002104","104","雜碎哥哥\n你拜託人的方式只有一種嗎～？\n你不再拼命一點的話，\n是打動不了我的心的喔～"
"3","3004","-416.5","3","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","0","3002300","300","我說啊～雜碎哥哥，\n你是不是有點～得意忘形了啊？\n你是不是把我當成\n什麼都會給你的好哄的人了啊？"
"7","3005","-416.5","7","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","0","3002400","301","很遺憾～♪\n我已經不會給很煩人的哥哥任～何東西了～♡\n你真是丟臉呢～♪\n掰掰～♡"
"1","3003","-416.5","2","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","4.4","3003200","200","呀哈哈，真的很拼命～♡\n哈～真有趣。\n因為讓我笑了所以可以喔～\n拿去吧，這是賞你的～♪"
"7","3003","-416.5","7","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","0","3003201","201","哈～真拿你沒辦法呢～♡\n雜碎哥哥\n你真的有夠弱的，\n真丟臉呢～ｗ"
"2","3003","-416.5","1","130211","2025/03/01 16:00:00","0","2030/01/01 14:59:59","布武機","5.6","3003202","202","哥哥你沒有我在的話，\n真的非常雜碎呢～\n你要再多感謝我一點啊～♪"
