dd3f624cd8e99cbd3f0a18715e5daedde132bdafc2d0efc98fbbb8cd9bcac166,9cd109500f1c16c9127c8bc43070d2aa44ae3b7e7ea70ff4255acf3facf2655e,4cd6c84cda7d5652f69930af466f34b2454300885a71d9ea5e61b432c7358adf,4a59883cf4fcfdaaf71c9acaf5ecfce92fce70e9b8d0642a3146bf835becdca4,5076fb1c2d22f1efa456490aedccbe7fc15bbe40c7605369649ca52ecd9a752f,5bbb09cc4806e0034847e26cacae2c13060a9d42a91ec89b0525bfa15f115bfd,1d527258ed71ab08fdadc80347c6ba46df2761b39b7e9b6f043e22812e0883e1,49153734831ef526334d9f8e916aa840b5ac7aa5d9854cb811b902fccef8bece,30f5151588dbb0bd91071f9241ccc62510a977a40c1773f2529e73e61f991d4d,e0aa90f7721ab19d685dd3a2e533979878fe5326c5329658dc9699ca2271c590,dbf6c7f5a5191938e6d16e71bedf4b2586e7c48b2fe3341eb2099377eb5742b1,c4bf01da04d4651bc5590e39b28cf9657bc901a6957066099d273f0fa75b116a,11f2da4c00b9da3afa03c11efd2f9c3d6f4a664378f8a4aae931db545cbb22cd
"2","0","1","2.1","130011","2025/03/01 16:00:00","2030/01/01 14:59:59","任務嗎……\n剛剛好，\n我們就來賭一下\n能解決到哪裡吧。","3001100","倭","100","-416.5","3001"
"2","0","4","5.68","130011","2025/03/01 16:00:00","2030/01/01 14:59:59","雖然乖乖照別人指示\n去執行任務這種事，\n不合我的個性就是了……\n不過，就去收下報酬吧。","3001101","倭","101","-416.5","3001"
"1","0","1","0","130011","2025/03/01 16:00:00","2030/01/01 14:59:59","什麼事？\n要做的話就快點做完吧。\n布武機在抱怨說\n快點把要做的事情做完了喔。","3001102","倭","102","-416.5","3001"
"1","0","1","0","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","咦～？你有事情要拜託我～？\n要怎麼辦才好呢～\n如果你能好好拜託我的話，\n我可以考慮幫你看看喔～？","3002100","布武機","100","-416.5","3002"
"1","0","1","0","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","好啦好啦，\n你想要這個對吧～？\n真拿你沒辦法呢～\n雜碎哥～哥♡","3002101","布武機","101","-416.5","3002"
"2","0","5","8.53","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","嘿～你想要嗎～？\n想要我重‧要‧的‧東‧西，\n啊哈哈！你在想什麼啊？\n你真是變態又可疑呢～ｗ","3002102","布武機","102","-416.5","3002"
"1","0","7","5.67","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","什麼什麼～？\n難道說你又打算來求我了嗎？\n你雖然是那麼說，\n但是會不會其實只是想來見我吧～？","3002103","布武機","103","-416.5","3002"
"1","0","1","0","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","雜碎哥哥\n你拜託人的方式只有一種嗎～？\n你不再拼命一點的話，\n是打動不了我的心的喔～","3002104","布武機","104","-416.5","3002"
"3","0","3","0","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","我說啊～雜碎哥哥，\n你是不是有點～得意忘形了啊？\n你是不是把我當成\n什麼都會給你的好哄的人了啊？","3002300","布武機","300","-416.5","3004"
"7","0","7","0","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","很遺憾～♪\n我已經不會給很煩人的哥哥任～何東西了～♡\n你真是丟臉呢～♪\n掰掰～♡","3002400","布武機","301","-416.5","3005"
"1","0","2","4.4","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","呀哈哈，真的很拼命～♡\n哈～真有趣。\n因為讓我笑了所以可以喔～\n拿去吧，這是賞你的～♪","3003200","布武機","200","-416.5","3003"
"7","0","7","0","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","哈～真拿你沒辦法呢～♡\n雜碎哥哥\n你真的有夠弱的，\n真丟臉呢～ｗ","3003201","布武機","201","-416.5","3003"
"2","0","1","5.6","130211","2025/03/01 16:00:00","2030/01/01 14:59:59","哥哥你沒有我在的話，\n真的非常雜碎呢～\n你要再多感謝我一點啊～♪","3003202","布武機","202","-416.5","3003"
