544272977e14c275d8c98fbf20d9997a4d4f4887791e31726d390f6411d47442,e0ff90754c5e217e7c8b9f4eb31af81b0ce8a2322e2d111205e0a3f339659e5f,ba054b0d29f2b4f8f03c53a2aa53920c48d5265a9f8d9659bd0c70455bbfc614,8059d4986edb23fcfb17985a85e899883c0ac450c8d32dd2ac2eebc5a0097853,bc2efb399b86737e68ab21607ff5dac5cac0ab72cc2e1ec406e11974d97e5a3a,685f641daccd35f238ab87a3ef720a028dc99b12c704f7a83631a2b2393380d5
"1","20025","1","0","0","1101"
"1","20025","1","0","0","1102"
"0","20025","1","1","5042002","1103"
"1","20025","1","0","0","1104"
"0","20025","1","1","5042003","1105"
"1","20025","1","0","0","1106"
"0","20025","1","2","5042005","1107"
"0","20025","2","1","5042007","1201"
"0","20025","2","2","5042007","1202"
"1","20025","2","0","0","1203"
"1","20025","2","0","0","1204"
"0","20025","1","0","0","1301"
