2be127f5000c4105dfbed19223173ee6411c19c6a42bf4078a52f0a81a11858d,7417a7646bc331c85273d6e7bcb64641d95127819ec27872bef31afa5a506ffd,0eba65afc356b1c89520bdc0ecf941a80fd3bdc96c045636d91af51efd217119,c147a73899865122c953fb13b95860428b847b90f9af7f855bb7b428667afbd4,9e45952e9abb0a2a9daf42c4171c8498d7faa748be4c64b2c80100f1602bfe08,169c1f2e29dcafb10cbc4324c6d82ea296295fe12d9abfa1b6efb0109142a947
"0","2","10201","102010201","5201009","2"
"0","2","10201","102010202","5201010","3"
"0","3","10201","102010301","0","502510"
"0","2","10202","102020201","0","501220"
"0","3","10202","102020301","0","501201"
"0","2","10203","102030201","0","500801"
"0","3","10203","102030301","0","500031"
"0","2","10204","102040201","0","502360"
"0","3","10204","102040301","0","500030"
"0","2","10205","102050201","0","502170"
"0","3","10205","102050301","0","502080"
"0","2","10206","102060201","0","501030"
"0","3","10206","102060301","0","500160"
"0","2","10207","102070201","0","500690"
"0","3","10207","102070301","0","500163"
"0","3","10208","102080201","0","532300"
"0","2","10209","102090201","0","502460"
"0","3","10209","102090301","0","502290"
"0","3","10210","102100201","0","502080"
"0","2","10211","102110201","0","501460"
"0","3","10211","102110301","0","500037"
