ddad479bd8e65ca82549d62346cda6c38f394a0d4a8b7e14e9c4316e31a7daa9,ca80dac688c4a663e34527c4d1c274bf593938d4cf8bc21116120bb130275b3e,27c9c56ebfa15f444d8ccad2bb2a6bf4717e592a801fdf5277510276366dce56,c6993bbd008f5db1fe11d0c76c3e15fc4b575d75ba7b14905d7b77ee109975ef,1b7e07020e2ffc5998b90d10dccc703de31342fb4b1bd869b14f03ce2cf9e8d2,176e6c04071ba507a33f24a79e043c60b8bce289a3df9f310bf72ef04766ff14,cfca4981b11697c776fa0040cd512fb2b83f79a23bd7787a0671fc386162687b,f6c8d8d6da52612d762aa95dfaabf4dda823bdd1bf799e2b1aa1d5ba6e4d1efd,842206f2eee53fb44d0b1dc6408c98f865f9f5d4505d777037885960451d71cf,2df8bcad191e0bf3ae61abe36639cbe174ac714d08bb818811a4beea2b0f10c1,bc9cf5bce345e68984048189b913330ae7dd7180c5c7e81c7ff3ce925ce92764,224d9a88f49312cddfd177872af36a811370567f1f3ce0da8e4e5ed64b6d0cbf
"0","4","1009801","1","0.8","0","100980101","0","0","1","0","0"
"0","2","1009801","0","0","0","100980102","0","0","2","vo_lsv_0101","vo_lsv"
"1","1","1009801","0","0","300","100980103","2","0","3","0","0"
"0","4","1009801","1","2.3","0","100980104","0","0","4","0","0"
"2","1","1009801","0","0","280","100980105","2","0","5","0","0"
"0","4","1009801","1","3","0","100980106","0","0","6","0","0"
"0","2","1009801","0","0","0","100980107","0","0","7","vo_lsv_0102","vo_lsv"
"3","1","1009801","0","0","300","100980108","2.05","0","8","0","0"
"0","4","1009801","1","2.05","0","100980109","0","0","9","0","0"
"4","1","1009801","0","0","327","100980110","1.8","0","10","0","0"
"0","4","1009801","1","2.8","0","100980111","0","0","11","0","0"
"0","2","1009801","0","0","0","100980112","0","0","12","vo_lsv_0103","vo_lsv"
"5","1","1009801","0","0","300","100980113","2.3","0","13","0","0"
"0","4","1009801","1","2.5","0","100980114","0","0","14","0","0"
"6","1","1009801","0","0","275","100980115","1.9","0","15","0","0"
"0","4","1009801","1","2.9","0","100980116","0","0","16","0","0"
"0","2","1009801","0","0","0","100980117","0","0","17","vo_lsv_0104","vo_lsv"
"7","1","1009801","0","0","300","100980118","2.7","0","18","0","0"
"0","4","1009801","1","2.9","0","100980119","0","0","19","0","0"
"8","1","1009801","0","0","310","100980120","2.3","0","20","0","0"
"0","4","1009801","1","2.3","0","100980121","0","0","21","0","0"
"9","1","1009801","0","0","250","100980122","1.8","0","22","0","0"
"0","4","1009801","1","2.8","0","100980123","0","0","23","0","0"
"0","2","1009801","0","0","0","100980124","0","0","24","vo_lsv_0105","vo_lsv"
"10","1","1009801","0","0","320","100980125","2.5","0","25","0","0"
"0","4","1009801","1","2.5","0","100980126","0","0","26","0","0"
"11","1","1009801","0","0","165","100980127","0.7","15","27","0","0"
"0","4","1009802","1","0.8","0","100980201","0","0","1","0","0"
"0","2","1009802","0","0","0","100980202","0","0","2","vo_lsv_0201","vo_lsv"
"1","1","1009802","0","0","300","100980203","1.51","0","3","0","0"
"0","4","1009802","1","1.51","0","100980204","0","0","4","0","0"
"1","1","1009802","0","0","300","100980205","1.5","300","5","0","0"
"0","4","1009802","1","2.5","0","100980206","0","0","6","0","0"
"0","2","1009802","0","0","0","100980207","0","0","7","vo_lsv_0202","vo_lsv"
"2","1","1009802","0","0","300","100980208","1.8","0","8","0","0"
"0","4","1009802","1","1.8","0","100980209","0","0","9","0","0"
"3","1","1009802","0","0","300","100980210","1.1","0","10","0","0"
"0","4","1009802","1","2.1","0","100980211","0","0","11","0","0"
"0","2","1009802","0","0","0","100980212","0","0","12","vo_lsv_0203","vo_lsv"
"4","1","1009802","0","0","300","100980213","1.95","0","13","0","0"
"0","4","1009802","1","1.95","0","100980214","0","0","14","0","0"
"5","1","1009802","0","0","310","100980215","2.05","0","15","0","0"
"0","4","1009802","1","2.05","0","100980216","0","0","16","0","0"
"5","1","1009802","0","0","310","100980217","0.8","310","17","0","0"
"0","4","1009802","1","1.8","0","100980218","0","0","18","0","0"
"0","2","1009802","0","0","0","100980219","0","0","19","vo_lsv_0204","vo_lsv"
"6","1","1009802","0","0","300","100980220","1.7","0","20","0","0"
"0","4","1009802","1","2.1","0","100980221","0","0","21","0","0"
"7","1","1009802","0","0","327","100980222","2.3","0","22","0","0"
"0","4","1009802","1","3.3","0","100980223","0","0","23","0","0"
"0","2","1009802","0","0","0","100980224","0","0","24","vo_lsv_0205","vo_lsv"
"8","1","1009802","0","0","300","100980225","1.83","0","25","0","0"
