dfc1bc35d2d9d688416a387ae607f9f7453511bfaa49e263e207d5f6a440f96a,1de05d2a03c04491e299aac3365a8f6419531731e839124ccff839151827fc46,57714dc9e975fa7e6207b0f9cf7d16269120110567e6b1447f74e17efedc72b6,905036411e6afd0b2b7a15161932ed7c4c376c541cf86064c23428171c720406,8d8361a2ffd5f5cd01b9e99be933c4aaae3c35c25e76fe352725b1cc9b466231,7e1af2435b076e43887cc90da2bde8e6e9417c6d54dbf28f4c7da58b40d56239,cb1923d6af9f45bb84a1f78183b76e3f0c9813cbd682fa0055d1f61b9cccb55c,efbaa0bc948b72c449845f0b5ca09fb5f8fdd6878b2ca59aabd313c5fe68d49b,69a0a540c99fc4f81708aa98dbcb0b71e734b4cc915b5420e72050e88f2f195e,b145f6a37af85508d3b6c48950ee67bf16fa698548879cb45d47566f1a053d58,6e7bf5a34452b0fa429e15f83aadd72373998791dafcbdd7d8334be233220767,69e806a1708bc92ab3b90860910a1476a2a3252eb397f8e6fceecdd4346976c3,9d5294d786fb75208097339c7d42ad347e452ea41003b1a0fed2d69480c45a50,984feb74b1390352d44b4fb53ddabb0a20a4bbb7a57e24de279657a06839e480,303c75bbd605fcee3e1823fc248e5635174d609bf966cdb63986c930a31765ad,30a929a984e4b9efa549044e4dde45ff996c319e42cbf671aea209cfa1e24711,bf60f8b980787615af2354dc1bb142d1010900826f34a3fcb30f4219a56b9666,71fdc744959d05051a1189276feee959d89df821ccf912eb79d9f56029546e54,e5651807b65bf7b680b5ed1c086fcf1521447d4999f3b81e45c4b2684dfb692f
"invasion_reward_icon_connectpiece_1","0","2","0","0","0","40","30","0","0","2","0","1001","25202","500000","0","25201","0","1"
"invasion_reward_icon_connectpiece_2","0","2","0","0","0","40","15","0","0","2","0","1001","25204","1000000","0","25203","0","2"
"invasion_reward_icon_connectpiece_3","0","2","0","0","0","40","5","0","0","2","0","1001","25206","2000000","0","25205","0","3"
"invasion_reward_icon_jewel","0","8","0","0","0","50","50","0","0","4","0","1001","91002","3000000","0","150001","0","4"
"invasion_reward_icon_connectpiece_1","0","2","0","0","0","40","30","0","0","2","0","1001","25202","4000000","0","25201","0","5"
"invasion_reward_icon_connectpiece_2","0","2","0","0","0","40","15","0","0","2","0","1001","25204","7000000","0","25203","0","6"
"invasion_reward_icon_connectpiece_3","0","2","0","0","0","40","5","0","0","2","0","1001","25206","10000000","0","25205","0","7"
"invasion_reward_icon_jewel","0","8","0","0","0","50","50","0","0","4","0","1001","91002","13000000","0","150001","0","8"
"invasion_reward_icon_connectpiece_1","0","2","0","0","0","40","30","0","0","2","0","1001","25202","16000000","0","25201","0","9"
"invasion_reward_icon_connectpiece_2","0","2","0","0","0","40","15","0","0","2","0","1001","25204","19000000","0","25203","0","10"
"invasion_reward_icon_connectpiece_3","0","2","0","0","0","40","5","0","0","2","0","1001","25206","25000000","0","25205","0","11"
"invasion_reward_icon_jewel","0","8","0","0","0","50","100","0","0","4","0","1001","91002","31000000","0","150002","0","12"
"invasion_reward_icon_connectpiece_1","0","2","0","0","0","40","30","0","0","2","0","1001","25202","37000000","0","25201","0","13"
"invasion_reward_icon_connectpiece_2","0","2","0","0","0","40","15","0","0","2","0","1001","25204","43000000","0","25203","0","14"
"invasion_reward_icon_connectpiece_3","0","2","0","0","0","40","5","0","0","2","0","1001","25206","49000000","0","25205","0","15"
"invasion_reward_icon_jewel","0","8","0","0","0","50","100","0","0","4","0","1001","91002","56000000","0","150002","0","16"
"invasion_reward_icon_connectpiece_1","0","2","0","0","0","40","30","0","0","2","0","1001","25202","63000000","0","25201","0","17"
"invasion_reward_icon_connectpiece_2","0","2","0","0","0","40","15","0","0","2","0","1001","25204","70000000","0","25203","0","18"
"invasion_reward_icon_connectpiece_3","0","2","0","0","0","40","5","0","0","2","0","1001","25206","77000000","0","25205","0","19"
"invasion_reward_icon_jewel","0","8","0","0","0","50","200","0","0","4","0","1001","91002","84000000","0","150003","0","20"
"invasion_reward_icon_piece_p_heart","0","4","0","0","0","0","10","0","0","0","0","1001","140001","92000000","0","0","0","21"
"invasion_reward_icon_piece_p_heart","0","4","0","0","0","0","10","0","0","0","0","1001","140001","100000000","0","0","0","22"
"invasion_reward_icon_piece_p_heart","0","4","0","0","0","0","20","0","0","0","0","1001","140001","108000000","0","0","0","23"
"invasion_reward_icon_hiseki","0","2","0","0","0","20","10","0","0","4","0","1001","90005","116000000","0","140001","0","24"
"invasion_reward_icon_hiseki","0","2","0","0","0","30","10","0","0","4","0","1001","90005","124000000","0","140001","0","25"
